11.3288 	EXP 	Created Gracias = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Gracias', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0210 	EXP 	textbox: autoLog = True
0.0688 	EXP 	Instrucciones: autoDraw = True
0.0688 	EXP 	cont_boton_2: autoDraw = True
2.5939 	DATA 	Mouse: Left button down, pos=(1053,138)
2.6388 	EXP 	Imported choose_digitSpan.xlsx as conditions, 5 conditions, 1 params
2.6392 	EXP 	Created sequence: sequential, trialTypes=5, nReps=1, seed=None
2.6394 	EXP 	New trial (rep=0, index=0): {'condition_file': 'three.xlsx'}
2.6439 	EXP 	Imported three.xlsx as conditions, 3 conditions, 2 params
2.6443 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
2.6445 	EXP 	New trial (rep=0, index=0): {'digitSpan': 3, 'digits': 217}
2.6446 	EXP 	Created sequence: sequential, trialTypes=1, nReps=3, seed=None
2.6448 	EXP 	New trial (rep=0, index=0): None
2.6529 	EXP 	Instrucciones: autoDraw = False
2.6529 	EXP 	cont_boton_2: autoDraw = False
2.6529 	EXP 	pres_text: height = 0.1
2.6529 	EXP 	pres_text: height = 0.1
2.6529 	EXP 	pres_text: height = 0.1
2.6529 	EXP 	pres_text: text = '2'
2.6529 	EXP 	fixation: autoDraw = True
2.7172 	DATA 	Mouse:  Left button up, pos=(1053,139)
3.6316 	EXP 	pres_text: autoDraw = True
3.6583 	EXP 	fixation: autoDraw = False
4.6192 	EXP 	New trial (rep=1, index=0): None
4.6320 	EXP 	pres_text: autoDraw = False
4.6320 	EXP 	fixation: autoDraw = False
4.6320 	EXP 	pres_text: autoDraw = False
4.6320 	EXP 	pres_text: height = 0.1
4.6320 	EXP 	pres_text: height = 0.1
4.6320 	EXP 	pres_text: height = 0.1
4.6320 	EXP 	pres_text: text = '1'
4.6320 	EXP 	fixation: autoDraw = True
5.6323 	EXP 	fixation: autoDraw = False
5.6323 	EXP 	pres_text: autoDraw = True
6.6201 	EXP 	New trial (rep=2, index=0): None
6.6328 	EXP 	pres_text: autoDraw = False
6.6328 	EXP 	fixation: autoDraw = False
6.6328 	EXP 	pres_text: autoDraw = False
6.6328 	EXP 	pres_text: height = 0.1
6.6328 	EXP 	pres_text: height = 0.1
6.6328 	EXP 	pres_text: height = 0.1
6.6328 	EXP 	pres_text: text = '7'
6.6328 	EXP 	fixation: autoDraw = True
7.6331 	EXP 	fixation: autoDraw = False
7.6331 	EXP 	pres_text: autoDraw = True
8.6335 	EXP 	pres_text: autoDraw = False
8.6335 	EXP 	fixation: autoDraw = False
8.6335 	EXP 	pres_text: autoDraw = False
8.6335 	EXP 	recall_txt: autoDraw = True
8.6335 	EXP 	textbox: autoDraw = True
8.6335 	EXP 	cont_button: autoDraw = True
14.1291 	DATA 	Keypress: 2
14.3562 	DATA 	Keypress: 1
15.0628 	DATA 	Keypress: 7
15.8631 	DATA 	Keypress: return
17.8239 	DATA 	Mouse: Left button down, pos=(1016,95)
17.8369 	EXP 	recall_txt: autoDraw = False
17.8369 	EXP 	textbox: autoDraw = False
17.8369 	EXP 	cont_button: autoDraw = False
17.8369 	EXP 	Texto_Retroalimentación: height = 0.05
17.8369 	EXP 	Texto_Retroalimentación: height = 0.05
17.8369 	EXP 	Texto_Retroalimentación: height = 0.05
17.8369 	EXP 	Texto_Retroalimentación: text = 'Incorrecto'
17.8369 	EXP 	Texto_Retroalimentación: autoDraw = True
17.9317 	DATA 	Mouse:  Left button up, pos=(1016,95)
18.8246 	EXP 	New trial (rep=0, index=1): {'digitSpan': 3, 'digits': 486}
18.8248 	EXP 	Created sequence: sequential, trialTypes=1, nReps=3, seed=None
18.8249 	EXP 	New trial (rep=0, index=0): None
18.8373 	EXP 	Texto_Retroalimentación: autoDraw = False
18.8373 	EXP 	Texto_Retroalimentación: autoDraw = False
18.8373 	EXP 	pres_text: height = 0.1
18.8373 	EXP 	pres_text: height = 0.1
18.8373 	EXP 	pres_text: height = 0.1
18.8373 	EXP 	pres_text: text = '4'
18.8373 	EXP 	fixation: autoDraw = True
19.8244 	EXP 	pres_text: autoDraw = True
19.8376 	EXP 	fixation: autoDraw = False
20.8120 	EXP 	New trial (rep=1, index=0): None
20.8247 	EXP 	pres_text: autoDraw = False
20.8247 	EXP 	fixation: autoDraw = False
20.8247 	EXP 	pres_text: autoDraw = False
20.8247 	EXP 	pres_text: height = 0.1
20.8247 	EXP 	pres_text: height = 0.1
20.8247 	EXP 	pres_text: height = 0.1
20.8247 	EXP 	pres_text: text = '8'
20.8247 	EXP 	fixation: autoDraw = True
21.8250 	EXP 	fixation: autoDraw = False
21.8250 	EXP 	pres_text: autoDraw = True
22.8145 	EXP 	New trial (rep=2, index=0): None
22.8391 	EXP 	pres_text: autoDraw = False
22.8391 	EXP 	fixation: autoDraw = False
22.8391 	EXP 	pres_text: autoDraw = False
22.8391 	EXP 	pres_text: height = 0.1
22.8391 	EXP 	pres_text: height = 0.1
22.8391 	EXP 	pres_text: height = 0.1
22.8391 	EXP 	pres_text: text = '6'
22.8391 	EXP 	fixation: autoDraw = True
23.8261 	EXP 	pres_text: autoDraw = True
23.8394 	EXP 	fixation: autoDraw = False
24.8398 	EXP 	pres_text: autoDraw = False
24.8398 	EXP 	fixation: autoDraw = False
24.8398 	EXP 	pres_text: autoDraw = False
24.8398 	EXP 	recall_txt: autoDraw = True
24.8398 	EXP 	textbox: autoDraw = True
24.8398 	EXP 	cont_button: autoDraw = True
26.2536 	DATA 	Keypress: 4
26.8405 	DATA 	Keypress: 8
27.3741 	DATA 	Keypress: 6
28.5114 	DATA 	Mouse: Left button down, pos=(1009,86)
28.5342 	EXP 	recall_txt: autoDraw = False
28.5342 	EXP 	textbox: autoDraw = False
28.5342 	EXP 	cont_button: autoDraw = False
28.5342 	EXP 	Texto_Retroalimentación: height = 0.05
28.5342 	EXP 	Texto_Retroalimentación: height = 0.05
28.5342 	EXP 	Texto_Retroalimentación: height = 0.05
28.5342 	EXP 	Texto_Retroalimentación: text = '¡Correcto!'
28.5342 	EXP 	Texto_Retroalimentación: autoDraw = True
28.6423 	DATA 	Mouse:  Left button up, pos=(1009,86)
29.5218 	EXP 	New trial (rep=0, index=2): {'digitSpan': 3, 'digits': 760}
29.5220 	EXP 	Created sequence: sequential, trialTypes=1, nReps=3, seed=None
29.5222 	EXP 	New trial (rep=0, index=0): None
29.5346 	EXP 	Texto_Retroalimentación: autoDraw = False
29.5346 	EXP 	Texto_Retroalimentación: autoDraw = False
29.5346 	EXP 	pres_text: height = 0.1
29.5346 	EXP 	pres_text: height = 0.1
29.5346 	EXP 	pres_text: height = 0.1
29.5346 	EXP 	pres_text: text = '7'
29.5346 	EXP 	fixation: autoDraw = True
30.5217 	EXP 	pres_text: autoDraw = True
30.5350 	EXP 	fixation: autoDraw = False
31.5093 	EXP 	New trial (rep=1, index=0): None
31.5221 	EXP 	pres_text: autoDraw = False
31.5221 	EXP 	fixation: autoDraw = False
31.5221 	EXP 	pres_text: autoDraw = False
31.5221 	EXP 	pres_text: height = 0.1
31.5221 	EXP 	pres_text: height = 0.1
31.5221 	EXP 	pres_text: height = 0.1
31.5221 	EXP 	pres_text: text = '6'
31.5221 	EXP 	fixation: autoDraw = True
32.5224 	EXP 	fixation: autoDraw = False
32.5224 	EXP 	pres_text: autoDraw = True
33.5100 	EXP 	New trial (rep=2, index=0): None
33.5227 	EXP 	pres_text: autoDraw = False
33.5227 	EXP 	fixation: autoDraw = False
33.5227 	EXP 	pres_text: autoDraw = False
33.5227 	EXP 	pres_text: height = 0.1
33.5227 	EXP 	pres_text: height = 0.1
33.5227 	EXP 	pres_text: height = 0.1
33.5227 	EXP 	pres_text: text = '0'
33.5227 	EXP 	fixation: autoDraw = True
34.5231 	EXP 	fixation: autoDraw = False
34.5231 	EXP 	pres_text: autoDraw = True
35.5235 	EXP 	pres_text: autoDraw = False
35.5235 	EXP 	fixation: autoDraw = False
35.5235 	EXP 	pres_text: autoDraw = False
35.5235 	EXP 	recall_txt: autoDraw = True
35.5235 	EXP 	textbox: autoDraw = True
35.5235 	EXP 	cont_button: autoDraw = True
36.9678 	DATA 	Keypress: 7
37.5512 	DATA 	Keypress: 6
38.0472 	DATA 	Keypress: 0
39.1518 	DATA 	Mouse: Left button down, pos=(1011,110)
39.1649 	EXP 	recall_txt: autoDraw = False
39.1649 	EXP 	textbox: autoDraw = False
39.1649 	EXP 	cont_button: autoDraw = False
39.1649 	EXP 	Texto_Retroalimentación: text = '¡Correcto!'
39.1649 	EXP 	Texto_Retroalimentación: autoDraw = True
39.2463 	DATA 	Mouse:  Left button up, pos=(1011,110)
40.1526 	EXP 	New trial (rep=0, index=1): {'condition_file': 'four.xlsx'}
40.1567 	EXP 	Imported four.xlsx as conditions, 3 conditions, 2 params
40.1570 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
40.1572 	EXP 	New trial (rep=0, index=0): {'digitSpan': 4, 'digits': 3141}
40.1574 	EXP 	Created sequence: sequential, trialTypes=1, nReps=4, seed=None
40.1576 	EXP 	New trial (rep=0, index=0): None
40.1653 	EXP 	Texto_Retroalimentación: autoDraw = False
40.1653 	EXP 	Texto_Retroalimentación: autoDraw = False
40.1653 	EXP 	pres_text: height = 0.1
