condition_file,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,Instrucciones.started,Instrucciones.stopped,cont_boton_2.started,cont_boton_2.stopped,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,start_mouse.started,start_mouse.stopped,fixation.started,fixation.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,textbox.text,textbox.started,textbox.stopped,cont_button.started,cont_button.stopped,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,Texto_Retroalimentación.started,Texto_Retroalimentación.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,32.960171800106764,None,32.960171800106764,None,0.03425926,-0.42222223,1,0,0,cont_button,0.013517533196136355,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2022_Feb_14_1155,Español Digit Span Task,2021.2.3,None,
three.xlsx,3,217,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,49.48039639997296,50.49163440009579,50.472789000021294,None,51.509482900146395,None,76462,51.509482900146395,None,51.509482900146395,None,0,0.026851851,-0.43425927,1,0,0,cont_button,0.01454576663672924,None,56.925623500021175,None,1,001,2022_Feb_14_1155,Español Digit Span Task,2021.2.3,None,
three.xlsx,3,486,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,61.9534389001783,62.97140450007282,62.951840800000355,None,63.93254950013943,None,486,63.93254950013943,None,63.93254950013943,None,1,0.08240741,-0.41203704,1,0,0,cont_button,0.011352266417816281,None,68.97322100005113,None,1,001,2022_Feb_14_1155,Español Digit Span Task,2021.2.3,None,
