condition_file,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,instructions.started,instructions.stopped,cont_button_2.started,cont_button_2.stopped,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,start_mouse.started,start_mouse.stopped,fixation.started,fixation.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,textbox.text,textbox.started,textbox.stopped,cont_button.started,cont_button.stopped,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,feedback_text.started,feedback_text.stopped,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
six.xlsx,6,408288,0,3,3,3,0,2,2,2,,,,,,,,,,,,,,,,,217.52520480006933,218.54900270001963,218.5051399001386,217.52520480006933,219.5340525000356,None,,219.5340525000356,None,219.5340525000356,None,0,0.033333335,-0.4148148,1,0,0,cont_button,0.01162046636454761,None,222.183721100213,None,,,12,001,2022_Feb_14_1128,Español Digit Span Task,2021.2.3,None,
seven.xlsx,7,4498237,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,235.19856600021012,236.20819410006516,236.1815925000701,None,237.20677860011347,None,,237.20677860011347,None,237.20677860011347,None,0,0.033333335,-0.4148148,1,0,0,cont_button,0.0076616667211055756,None,244.75341140013188,None,,,12,001,2022_Feb_14_1128,Español Digit Span Task,2021.2.3,None,
seven.xlsx,7,2544371,0,4,4,4,0,1,1,1,,,,,,,,,,,,,,,,,257.7739488000516,258.7942221001722,258.75248860009015,None,259.76465890021063,None,,259.76465890021063,None,259.76465890021063,None,0,0.033333335,-0.4148148,1,0,0,cont_button,0.012737666489556432,None,260.6903270999901,None,,,12,001,2022_Feb_14_1128,Español Digit Span Task,2021.2.3,None,
seven.xlsx,7,8875085,0,4,4,4,0,2,2,2,,,,,,,,,,,,,,,,,273.6887165000662,274.702480400214,274.702480400214,273.6887165000662,275.70603590016253,None,,275.70603590016253,None,275.70603590016253,None,0,0.033333335,-0.4148148,1,0,0,cont_button,0.01235986640676856,None,277.6956683001481,None,,,12,001,2022_Feb_14_1128,Español Digit Span Task,2021.2.3,None,
eight.xlsx,8,46229408,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,292.71118840016425,293.72690290003084,293.71005780017003,None,294.72115840017796,None,,294.72115840017796,None,294.72115840017796,None,0,0.033333335,-0.4148148,1,0,0,cont_button,0.010582366492599249,None,310.68373500020243,None,,,12,001,2022_Feb_14_1128,Español Digit Span Task,2021.2.3,None,
eight.xlsx,8,70967882,0,5,5,5,0,1,1,1,,,,,,,,,,,,,,,,,325.6966840000823,326.7251150000375,326.67884599999525,None,327.6934617999941,None,,327.6934617999941,None,327.6934617999941,None,0,-0.008333334,-0.39444444,1,0,0,cont_button,0.01140926661901176,None,330.9184052001219,None,,,12,001,2022_Feb_14_1128,Español Digit Span Task,2021.2.3,None,
eight.xlsx,8,27139320,0,5,5,5,0,2,2,2,,,,,,,,,,,,,,,,,345.9226807001978,346.9477276999969,346.9297327999957,None,347.9313139000442,None,,347.9313139000442,None,347.9313139000442,None,0,-0.008333334,-0.39444444,1,0,0,cont_button,0.014118166640400887,None,352.80932120000944,None,,,12,001,2022_Feb_14_1128,Español Digit Span Task,2021.2.3,None,
nine.xlsx,9,368373442,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,369.81261790008284,370.82315250020474,370.8008012000937,None,371.8126090001315,None,,371.8126090001315,None,371.8126090001315,None,0,-0.008333334,-0.39444444,1,0,0,cont_button,0.014968266477808356,None,374.9550569001585,None,,,12,001,2022_Feb_14_1128,Español Digit Span Task,2021.2.3,None,
nine.xlsx,9,576270919,0,6,6,6,0,1,1,1,,,,,,,,,,,,,,,,,391.9849791000597,392.99704940011725,392.97522970009595,None,393.97720380011015,None,,393.97720380011015,None,393.97720380011015,None,0,-0.008333334,-0.39444444,1,0,0,cont_button,0.014439166756346822,None,395.28414660017006,None,,,12,001,2022_Feb_14_1128,Español Digit Span Task,2021.2.3,None,
nine.xlsx,9,688655957,0,6,6,6,0,2,2,2,,,,,,,,,,,,,,,,,412.302239500219,413.3270082999952,413.3075918999966,None,414.3079851001967,None,"
 9",414.3079851001967,None,414.3079851001967,None,0,-0.008333334,-0.39444444,1,0,0,cont_button,0.013877666555345058,None,421.36392720020376,None,,,12,001,2022_Feb_14_1128,Español Digit Span Task,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.37555490015075,None,,,,,,,
