7.7555 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
158.7068 	EXP 	fixation: autoDraw = False
159.7022 	EXP 	fixation: autoDraw = False
159.7022 	EXP 	pres_text: autoDraw = False
159.7022 	EXP 	recall_txt: autoDraw = True
159.7022 	EXP 	textbox: autoDraw = True
159.7022 	EXP 	cont_button: autoDraw = True
162.8090 	DATA 	Keypress: 2
163.1173 	DATA 	Keypress: 3
163.3827 	DATA 	Keypress: 1
164.0936 	DATA 	Keypress: 4
164.3590 	DATA 	Keypress: 2
165.2117 	DATA 	Mouse: Left button down, pos=(996,92)
165.2495 	EXP 	recall_txt: autoDraw = False
165.2495 	EXP 	textbox: autoDraw = False
165.2495 	EXP 	cont_button: autoDraw = False
165.2495 	EXP 	feedback_text: text = 'Incorrect'
165.2495 	EXP 	feedback_text: autoDraw = True
165.3431 	DATA 	Mouse:  Left button up, pos=(996,92)
166.2453 	EXP 	New trial (rep=0, index=3): {'condition_file': 'six.xlsx'}
166.2712 	EXP 	Imported six.xlsx as conditions, 3 conditions, 2 params
166.2721 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
166.2726 	EXP 	New trial (rep=0, index=0): {'digitSpan': 6, 'digits': 934648}
166.2732 	EXP 	Created sequence: sequential, trialTypes=1, nReps=6, seed=None
166.2737 	EXP 	New trial (rep=0, index=0): None
166.2925 	EXP 	feedback_text: autoDraw = False
166.2925 	EXP 	pres_text: text = '9'
166.2925 	EXP 	fixation: autoDraw = True
167.2774 	EXP 	pres_text: autoDraw = True
167.2947 	EXP 	fixation: autoDraw = False
168.2426 	EXP 	New trial (rep=1, index=0): None
168.2709 	EXP 	fixation: autoDraw = False
168.2709 	EXP 	pres_text: autoDraw = False
168.2709 	EXP 	pres_text: text = '3'
168.2709 	EXP 	fixation: autoDraw = True
169.2436 	EXP 	pres_text: autoDraw = True
169.2929 	EXP 	fixation: autoDraw = False
170.2454 	EXP 	New trial (rep=2, index=0): None
170.2677 	EXP 	fixation: autoDraw = False
170.2677 	EXP 	pres_text: autoDraw = False
170.2677 	EXP 	pres_text: text = '4'
170.2677 	EXP 	fixation: autoDraw = True
171.2599 	EXP 	pres_text: autoDraw = True
171.2902 	EXP 	fixation: autoDraw = False
172.2365 	EXP 	New trial (rep=3, index=0): None
172.2580 	EXP 	fixation: autoDraw = False
172.2580 	EXP 	pres_text: autoDraw = False
172.2580 	EXP 	pres_text: text = '6'
172.2580 	EXP 	fixation: autoDraw = True
173.2353 	EXP 	pres_text: autoDraw = True
173.2775 	EXP 	fixation: autoDraw = False
174.2431 	EXP 	New trial (rep=4, index=0): None
174.2642 	EXP 	fixation: autoDraw = False
174.2642 	EXP 	pres_text: autoDraw = False
174.2642 	EXP 	pres_text: text = '4'
174.2642 	EXP 	fixation: autoDraw = True
175.2731 	EXP 	fixation: autoDraw = False
175.2731 	EXP 	pres_text: autoDraw = True
176.2362 	EXP 	New trial (rep=5, index=0): None
176.2584 	EXP 	fixation: autoDraw = False
176.2584 	EXP 	pres_text: autoDraw = False
176.2584 	EXP 	pres_text: text = '8'
176.2584 	EXP 	fixation: autoDraw = True
177.2590 	EXP 	pres_text: autoDraw = True
177.2708 	EXP 	fixation: autoDraw = False
178.2670 	EXP 	fixation: autoDraw = False
178.2670 	EXP 	pres_text: autoDraw = False
178.2670 	EXP 	recall_txt: autoDraw = True
178.2670 	EXP 	textbox: autoDraw = True
178.2670 	EXP 	cont_button: autoDraw = True
188.2316 	DATA 	Keypress: 1
188.4844 	DATA 	Keypress: 2
188.6987 	DATA 	Keypress: 3
188.9509 	DATA 	Keypress: 4
189.2209 	DATA 	Keypress: 5
189.5011 	DATA 	Keypress: 6
190.0492 	DATA 	Mouse: Left button down, pos=(996,92)
190.0903 	EXP 	recall_txt: autoDraw = False
190.0903 	EXP 	textbox: autoDraw = False
190.0903 	EXP 	cont_button: autoDraw = False
190.0903 	EXP 	feedback_text: text = 'Incorrect'
190.0903 	EXP 	feedback_text: autoDraw = True
190.1168 	DATA 	Mouse:  Left button up, pos=(996,92)
191.0911 	EXP 	New trial (rep=0, index=1): {'digitSpan': 6, 'digits': 179390}
191.0927 	EXP 	Created sequence: sequential, trialTypes=1, nReps=6, seed=None
191.0933 	EXP 	New trial (rep=0, index=0): None
191.1164 	EXP 	feedback_text: autoDraw = False
191.1164 	EXP 	pres_text: text = '1'
191.1164 	EXP 	fixation: autoDraw = True
192.1022 	EXP 	pres_text: autoDraw = True
192.1367 	EXP 	fixation: autoDraw = False
193.0787 	EXP 	New trial (rep=1, index=0): None
193.1041 	EXP 	fixation: autoDraw = False
193.1041 	EXP 	pres_text: autoDraw = False
193.1041 	EXP 	pres_text: text = '7'
193.1041 	EXP 	fixation: autoDraw = True
194.0872 	EXP 	pres_text: autoDraw = True
194.1114 	EXP 	fixation: autoDraw = False
195.0799 	EXP 	New trial (rep=2, index=0): None
195.0985 	EXP 	fixation: autoDraw = False
195.0985 	EXP 	pres_text: autoDraw = False
195.0985 	EXP 	pres_text: text = '9'
195.0985 	EXP 	fixation: autoDraw = True
196.0821 	EXP 	pres_text: autoDraw = True
196.1083 	EXP 	fixation: autoDraw = False
197.0773 	EXP 	New trial (rep=3, index=0): None
197.0983 	EXP 	fixation: autoDraw = False
197.0983 	EXP 	pres_text: autoDraw = False
197.0983 	EXP 	pres_text: text = '3'
197.0983 	EXP 	fixation: autoDraw = True
198.0828 	EXP 	pres_text: autoDraw = True
198.1237 	EXP 	fixation: autoDraw = False
199.0756 	EXP 	New trial (rep=4, index=0): None
199.0950 	EXP 	fixation: autoDraw = False
199.0950 	EXP 	pres_text: autoDraw = False
199.0950 	EXP 	pres_text: text = '9'
199.0950 	EXP 	fixation: autoDraw = True
200.0792 	EXP 	pres_text: autoDraw = True
200.0985 	EXP 	fixation: autoDraw = False
201.0691 	EXP 	New trial (rep=5, index=0): None
201.0799 	EXP 	pres_text: autoDraw = False
201.0799 	EXP 	fixation: autoDraw = False
201.0799 	EXP 	pres_text: autoDraw = False
201.0799 	EXP 	pres_text: text = '0'
201.0799 	EXP 	fixation: autoDraw = True
202.0819 	EXP 	pres_text: autoDraw = True
202.0933 	EXP 	fixation: autoDraw = False
203.1026 	EXP 	fixation: autoDraw = False
203.1026 	EXP 	pres_text: autoDraw = False
203.1026 	EXP 	recall_txt: autoDraw = True
203.1026 	EXP 	textbox: autoDraw = True
203.1026 	EXP 	cont_button: autoDraw = True
206.5071 	DATA 	Mouse: Left button down, pos=(996,92)
206.5240 	EXP 	recall_txt: autoDraw = False
206.5240 	EXP 	textbox: autoDraw = False
206.5240 	EXP 	cont_button: autoDraw = False
206.5240 	EXP 	feedback_text: text = 'Incorrect'
206.5240 	EXP 	feedback_text: autoDraw = True
206.5847 	DATA 	Mouse:  Left button up, pos=(996,92)
207.5234 	EXP 	New trial (rep=0, index=2): {'digitSpan': 6, 'digits': 408288}
207.5245 	EXP 	Created sequence: sequential, trialTypes=1, nReps=6, seed=None
207.5249 	EXP 	New trial (rep=0, index=0): None
207.5465 	EXP 	feedback_text: autoDraw = False
207.5465 	EXP 	pres_text: text = '4'
207.5465 	EXP 	fixation: autoDraw = True
208.5267 	EXP 	pres_text: autoDraw = True
208.5698 	EXP 	fixation: autoDraw = False
209.5246 	EXP 	New trial (rep=1, index=0): None
209.5454 	EXP 	fixation: autoDraw = False
209.5454 	EXP 	pres_text: autoDraw = False
209.5454 	EXP 	pres_text: text = '0'
209.5454 	EXP 	fixation: autoDraw = True
210.5457 	EXP 	pres_text: autoDraw = True
210.5585 	EXP 	fixation: autoDraw = False
211.5233 	EXP 	New trial (rep=2, index=0): None
211.5403 	EXP 	fixation: autoDraw = False
211.5403 	EXP 	pres_text: autoDraw = False
211.5403 	EXP 	pres_text: text = '8'
211.5403 	EXP 	fixation: autoDraw = True
212.5252 	EXP 	pres_text: autoDraw = True
212.5402 	EXP 	fixation: autoDraw = False
213.5209 	EXP 	New trial (rep=3, index=0): None
213.5474 	EXP 	fixation: autoDraw = False
213.5474 	EXP 	pres_text: autoDraw = False
213.5474 	EXP 	pres_text: text = '2'
213.5474 	EXP 	fixation: autoDraw = True
214.5263 	EXP 	pres_text: autoDraw = True
214.5727 	EXP 	fixation: autoDraw = False
215.5197 	EXP 	New trial (rep=4, index=0): None
215.5423 	EXP 	fixation: autoDraw = False
215.5423 	EXP 	pres_text: autoDraw = False
215.5423 	EXP 	pres_text: text = '8'
215.5423 	EXP 	fixation: autoDraw = True
216.5074 	EXP 	pres_text: autoDraw = True
216.5539 	EXP 	fixation: autoDraw = False
217.5128 	EXP 	New trial (rep=5, index=0): None
217.5252 	EXP 	pres_text: autoDraw = False
217.5252 	EXP 	fixation: autoDraw = False
217.5252 	EXP 	pres_text: autoDraw = False
217.5252 	EXP 	pres_text: text = '8'
217.5252 	EXP 	fixation: autoDraw = True
218.5051 	EXP 	pres_text: autoDraw = True
218.5490 	EXP 	fixation: autoDraw = False
219.5341 	EXP 	pres_text: autoDraw = False
219.5341 	EXP 	fixation: autoDraw = False
219.5341 	EXP 	pres_text: autoDraw = False
219.5341 	EXP 	recall_txt: autoDraw = True
219.5341 	EXP 	textbox: autoDraw = True
219.5341 	EXP 	cont_button: autoDraw = True
222.1437 	DATA 	Mouse: Left button down, pos=(996,92)
222.1837 	EXP 	recall_txt: autoDraw = False
222.1837 	EXP 	textbox: autoDraw = False
222.1837 	EXP 	cont_button: autoDraw = False
222.1837 	EXP 	feedback_text: text = 'Incorrect'
222.1837 	EXP 	feedback_text: autoDraw = True
222.2570 	DATA 	Mouse:  Left button up, pos=(996,92)
223.1817 	EXP 	New trial (rep=0, index=4): {'condition_file': 'seven.xlsx'}
223.2186 	EXP 	Imported seven.xlsx as conditions, 3 conditions, 2 params
223.2194 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
223.2200 	EXP 	New trial (rep=0, index=0): {'digitSpan': 7, 'digits': 4498237}
223.2206 	EXP 	Created sequence: sequential, trialTypes=1, nReps=7, seed=None
223.2210 	EXP 	New trial (rep=0, index=0): None
223.2332 	EXP 	feedback_text: autoDraw = False
223.2332 	EXP 	pres_text: text = '4'
223.2332 	EXP 	fixation: autoDraw = True
224.2418 	EXP 	fixation: autoDraw = False
224.2418 	EXP 	pres_text: autoDraw = True
225.1750 	EXP 	New trial (rep=1, index=0): None
225.1921 	EXP 	fixation: autoDraw = False
225.1921 	EXP 	pres_text: autoDraw = False
225.1921 	EXP 	pres_text: text = '4'
225.1921 	EXP 	fixation: autoDraw = True
226.1849 	EXP 	pres_text: autoDraw = True
226.2130 	EXP 	fixation: autoDraw = False
227.1837 	EXP 	New trial (rep=2, index=0): None
227.2035 	EXP 	fixation: autoDraw = False
227.2035 	EXP 	pres_text: autoDraw = False
227.2035 	EXP 	pres_text: text = '9'
227.2035 	EXP 	fixation: autoDraw = True
228.1876 	EXP 	pres_text: autoDraw = True
228.2214 	EXP 	fixation: autoDraw = False
229.1791 	EXP 	New trial (rep=3, index=0): None
229.2000 	EXP 	fixation: autoDraw = False
229.2000 	EXP 	pres_text: autoDraw = False
229.2000 	EXP 	pres_text: text = '8'
229.2000 	EXP 	fixation: autoDraw = True
230.1837 	EXP 	pres_text: autoDraw = True
230.2104 	EXP 	fixation: autoDraw = False
231.1699 	EXP 	New trial (rep=4, index=0): None
231.1868 	EXP 	pres_text: autoDraw = False
231.1868 	EXP 	fixation: autoDraw = False
231.1868 	EXP 	pres_text: autoDraw = False
231.1868 	EXP 	pres_text: text = '2'
231.1868 	EXP 	fixation: autoDraw = True
232.2001 	EXP 	fixation: autoDraw = False
232.2001 	EXP 	pres_text: autoDraw = True
233.1904 	EXP 	New trial (rep=5, index=0): None
233.2024 	EXP 	fixation: autoDraw = False
233.2024 	EXP 	pres_text: autoDraw = False
233.2024 	EXP 	pres_text: text = '3'
233.2024 	EXP 	fixation: autoDraw = True
234.1985 	EXP 	pres_text: autoDraw = True
234.2141 	EXP 	fixation: autoDraw = False
235.1728 	EXP 	New trial (rep=6, index=0): None
235.1986 	EXP 	fixation: autoDraw = False
235.1986 	EXP 	pres_text: autoDraw = False
235.1986 	EXP 	pres_text: text = '7'
235.1986 	EXP 	fixation: autoDraw = True
236.1816 	EXP 	pres_text: autoDraw = True
236.2082 	EXP 	fixation: autoDraw = False
237.2068 	EXP 	fixation: autoDraw = False
237.2068 	EXP 	pres_text: autoDraw = False
237.2068 	EXP 	recall_txt: autoDraw = True
237.2068 	EXP 	textbox: autoDraw = True
237.2068 	EXP 	cont_button: autoDraw = True
244.7098 	DATA 	Mouse: Left button down, pos=(996,92)
244.7534 	EXP 	recall_txt: autoDraw = False
244.7534 	EXP 	textbox: autoDraw = False
244.7534 	EXP 	cont_button: autoDraw = False
244.7534 	EXP 	feedback_text: text = 'Incorrect'
244.7534 	EXP 	feedback_text: autoDraw = True
244.8445 	DATA 	Mouse:  Left button up, pos=(996,92)
245.7465 	EXP 	New trial (rep=0, index=1): {'digitSpan': 7, 'digits': 2544371}
245.7471 	EXP 	Created sequence: sequential, trialTypes=1, nReps=7, seed=None
245.7473 	EXP 	New trial (rep=0, index=0): None
245.7599 	EXP 	feedback_text: autoDraw = False
245.7599 	EXP 	pres_text: text = '2'
245.7599 	EXP 	fixation: autoDraw = True
246.7414 	EXP 	pres_text: autoDraw = True
246.7772 	EXP 	fixation: autoDraw = False
247.7435 	EXP 	New trial (rep=1, index=0): None
247.7670 	EXP 	fixation: autoDraw = False
247.7670 	EXP 	pres_text: autoDraw = False
247.7670 	EXP 	pres_text: text = '5'
247.7670 	EXP 	fixation: autoDraw = True
248.7481 	EXP 	pres_text: autoDraw = True
248.7956 	EXP 	fixation: autoDraw = False
249.7418 	EXP 	New trial (rep=2, index=0): None
249.7575 	EXP 	fixation: autoDraw = False
249.7575 	EXP 	pres_text: autoDraw = False
249.7575 	EXP 	pres_text: text = '4'
249.7575 	EXP 	fixation: autoDraw = True
250.7570 	EXP 	pres_text: autoDraw = True
250.7751 	EXP 	fixation: autoDraw = False
251.7444 	EXP 	New trial (rep=3, index=0): None
251.7558 	EXP 	fixation: autoDraw = False
251.7558 	EXP 	pres_text: autoDraw = False
251.7558 	EXP 	pres_text: text = '4'
251.7558 	EXP 	fixation: autoDraw = True
252.7457 	EXP 	pres_text: autoDraw = True
252.7722 	EXP 	fixation: autoDraw = False
253.7493 	EXP 	New trial (rep=4, index=0): None
253.7643 	EXP 	fixation: autoDraw = False
253.7643 	EXP 	pres_text: autoDraw = False
253.7643 	EXP 	pres_text: text = '3'
253.7643 	EXP 	fixation: autoDraw = True
254.7640 	EXP 	pres_text: autoDraw = True
254.7876 	EXP 	fixation: autoDraw = False
255.7379 	EXP 	New trial (rep=5, index=0): None
255.7631 	EXP 	fixation: autoDraw = False
255.7631 	EXP 	pres_text: autoDraw = False
255.7631 	EXP 	pres_text: text = '7'
255.7631 	EXP 	fixation: autoDraw = True
256.7422 	EXP 	pres_text: autoDraw = True
256.7851 	EXP 	fixation: autoDraw = False
257.7490 	EXP 	New trial (rep=6, index=0): None
257.7739 	EXP 	fixation: autoDraw = False
257.7739 	EXP 	pres_text: autoDraw = False
257.7739 	EXP 	pres_text: text = '1'
257.7739 	EXP 	fixation: autoDraw = True
258.7525 	EXP 	pres_text: autoDraw = True
258.7942 	EXP 	fixation: autoDraw = False
259.7647 	EXP 	fixation: autoDraw = False
259.7647 	EXP 	pres_text: autoDraw = False
259.7647 	EXP 	recall_txt: autoDraw = True
259.7647 	EXP 	textbox: autoDraw = True
259.7647 	EXP 	cont_button: autoDraw = True
260.6564 	DATA 	Mouse: Left button down, pos=(996,92)
260.6903 	EXP 	recall_txt: autoDraw = False
260.6903 	EXP 	textbox: autoDraw = False
260.6903 	EXP 	cont_button: autoDraw = False
260.6903 	EXP 	feedback_text: text = 'Incorrect'
260.6903 	EXP 	feedback_text: autoDraw = True
260.7431 	DATA 	Mouse:  Left button up, pos=(996,92)
261.6769 	EXP 	New trial (rep=0, index=2): {'digitSpan': 7, 'digits': 8875085}
261.6781 	EXP 	Created sequence: sequential, trialTypes=1, nReps=7, seed=None
261.6786 	EXP 	New trial (rep=0, index=0): None
261.6930 	EXP 	feedback_text: autoDraw = False
261.6930 	EXP 	pres_text: text = '8'
261.6930 	EXP 	fixation: autoDraw = True
262.6915 	EXP 	pres_text: autoDraw = True
262.7161 	EXP 	fixation: autoDraw = False
263.6916 	EXP 	New trial (rep=1, index=0): None
263.7090 	EXP 	fixation: autoDraw = False
263.7090 	EXP 	pres_text: autoDraw = False
263.7090 	EXP 	pres_text: text = '8'
263.7090 	EXP 	fixation: autoDraw = True
264.6993 	EXP 	pres_text: autoDraw = True
264.7160 	EXP 	fixation: autoDraw = False
265.6764 	EXP 	New trial (rep=2, index=0): None
265.6894 	EXP 	fixation: autoDraw = False
265.6894 	EXP 	pres_text: autoDraw = False
265.6894 	EXP 	pres_text: text = '7'
265.6894 	EXP 	fixation: autoDraw = True
266.6749 	EXP 	pres_text: autoDraw = True
266.7009 	EXP 	fixation: autoDraw = False
267.6700 	EXP 	New trial (rep=3, index=0): None
267.6912 	EXP 	pres_text: autoDraw = False
267.6912 	EXP 	fixation: autoDraw = False
267.6912 	EXP 	pres_text: autoDraw = False
267.6912 	EXP 	pres_text: text = '5'
267.6912 	EXP 	fixation: autoDraw = True
268.6816 	EXP 	pres_text: autoDraw = True
268.7074 	EXP 	fixation: autoDraw = False
269.6742 	EXP 	New trial (rep=4, index=0): None
269.7011 	EXP 	fixation: autoDraw = False
269.7011 	EXP 	pres_text: autoDraw = False
269.7011 	EXP 	pres_text: text = '0'
269.7011 	EXP 	fixation: autoDraw = True
270.6835 	EXP 	pres_text: autoDraw = True
270.6986 	EXP 	fixation: autoDraw = False
271.6714 	EXP 	New trial (rep=5, index=0): None
271.6973 	EXP 	fixation: autoDraw = False
271.6973 	EXP 	pres_text: autoDraw = False
271.6973 	EXP 	pres_text: text = '8'
271.6973 	EXP 	fixation: autoDraw = True
272.6851 	EXP 	pres_text: autoDraw = True
272.7060 	EXP 	fixation: autoDraw = False
273.6720 	EXP 	New trial (rep=6, index=0): None
273.6887 	EXP 	pres_text: autoDraw = False
273.6887 	EXP 	fixation: autoDraw = False
273.6887 	EXP 	pres_text: autoDraw = False
273.6887 	EXP 	pres_text: text = '5'
273.6887 	EXP 	fixation: autoDraw = True
274.7025 	EXP 	fixation: autoDraw = False
274.7025 	EXP 	pres_text: autoDraw = True
275.7060 	EXP 	fixation: autoDraw = False
275.7060 	EXP 	pres_text: autoDraw = False
275.7060 	EXP 	recall_txt: autoDraw = True
275.7060 	EXP 	textbox: autoDraw = True
275.7060 	EXP 	cont_button: autoDraw = True
277.6684 	DATA 	Mouse: Left button down, pos=(996,92)
277.6957 	EXP 	recall_txt: autoDraw = False
277.6957 	EXP 	textbox: autoDraw = False
277.6957 	EXP 	cont_button: autoDraw = False
277.6957 	EXP 	feedback_text: text = 'Incorrect'
277.6957 	EXP 	feedback_text: autoDraw = True
277.7345 	DATA 	Mouse:  Left button up, pos=(996,92)
278.6811 	EXP 	New trial (rep=0, index=5): {'condition_file': 'eight.xlsx'}
278.7120 	EXP 	Imported eight.xlsx as conditions, 3 conditions, 2 params
278.7128 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
278.7135 	EXP 	New trial (rep=0, index=0): {'digitSpan': 8, 'digits': 46229408}
278.7141 	EXP 	Created sequence: sequential, trialTypes=1, nReps=8, seed=None
278.7145 	EXP 	New trial (rep=0, index=0): None
278.7251 	EXP 	feedback_text: autoDraw = False
278.7251 	EXP 	pres_text: text = '4'
278.7251 	EXP 	fixation: autoDraw = True
279.7142 	EXP 	pres_text: autoDraw = True
279.7300 	EXP 	fixation: autoDraw = False
280.7057 	EXP 	New trial (rep=1, index=0): None
280.7260 	EXP 	fixation: autoDraw = False
280.7260 	EXP 	pres_text: autoDraw = False
280.7260 	EXP 	pres_text: text = '6'
280.7260 	EXP 	fixation: autoDraw = True
281.7183 	EXP 	pres_text: autoDraw = True
281.7303 	EXP 	fixation: autoDraw = False
282.6814 	EXP 	New trial (rep=2, index=0): None
282.6999 	EXP 	fixation: autoDraw = False
282.6999 	EXP 	pres_text: autoDraw = False
282.6999 	EXP 	pres_text: text = '2'
282.6999 	EXP 	fixation: autoDraw = True
283.6835 	EXP 	pres_text: autoDraw = True
283.7007 	EXP 	fixation: autoDraw = False
284.6851 	EXP 	New trial (rep=3, index=0): None
284.6935 	EXP 	fixation: autoDraw = False
284.6935 	EXP 	pres_text: autoDraw = False
284.6935 	EXP 	pres_text: text = '2'
284.6935 	EXP 	fixation: autoDraw = True
285.6755 	EXP 	pres_text: autoDraw = True
285.7123 	EXP 	fixation: autoDraw = False
286.6701 	EXP 	New trial (rep=4, index=0): None
286.6819 	EXP 	pres_text: autoDraw = False
286.6819 	EXP 	fixation: autoDraw = False
286.6819 	EXP 	pres_text: autoDraw = False
286.6819 	EXP 	pres_text: text = '9'
286.6819 	EXP 	fixation: autoDraw = True
287.6797 	EXP 	pres_text: autoDraw = True
287.6908 	EXP 	fixation: autoDraw = False
288.6762 	EXP 	New trial (rep=5, index=0): None
288.6963 	EXP 	pres_text: autoDraw = False
288.6963 	EXP 	fixation: autoDraw = False
288.6963 	EXP 	pres_text: autoDraw = False
288.6963 	EXP 	pres_text: text = '4'
288.6963 	EXP 	fixation: autoDraw = True
289.6833 	EXP 	pres_text: autoDraw = True
289.7053 	EXP 	fixation: autoDraw = False
290.6783 	EXP 	New trial (rep=6, index=0): None
290.6966 	EXP 	pres_text: autoDraw = False
290.6966 	EXP 	fixation: autoDraw = False
290.6966 	EXP 	pres_text: autoDraw = False
290.6966 	EXP 	pres_text: text = '0'
290.6966 	EXP 	fixation: autoDraw = True
291.7021 	EXP 	fixation: autoDraw = False
291.7021 	EXP 	pres_text: autoDraw = True
292.6992 	EXP 	New trial (rep=7, index=0): None
292.7112 	EXP 	fixation: autoDraw = False
292.7112 	EXP 	pres_text: autoDraw = False
292.7112 	EXP 	pres_text: text = '8'
292.7112 	EXP 	fixation: autoDraw = True
293.7101 	EXP 	pres_text: autoDraw = True
293.7269 	EXP 	fixation: autoDraw = False
294.7212 	EXP 	fixation: autoDraw = False
294.7212 	EXP 	pres_text: autoDraw = False
294.7212 	EXP 	recall_txt: autoDraw = True
294.7212 	EXP 	textbox: autoDraw = True
294.7212 	EXP 	cont_button: autoDraw = True
310.6529 	DATA 	Mouse: Left button down, pos=(996,92)
310.6837 	EXP 	recall_txt: autoDraw = False
310.6837 	EXP 	textbox: autoDraw = False
310.6837 	EXP 	cont_button: autoDraw = False
310.6837 	EXP 	feedback_text: text = 'Incorrect'
310.6837 	EXP 	feedback_text: autoDraw = True
310.7902 	DATA 	Mouse:  Left button up, pos=(996,92)
311.6679 	EXP 	New trial (rep=0, index=1): {'digitSpan': 8, 'digits': 70967882}
311.6687 	EXP 	Created sequence: sequential, trialTypes=1, nReps=8, seed=None
311.6692 	EXP 	New trial (rep=0, index=0): None
311.6917 	EXP 	feedback_text: autoDraw = False
311.6917 	EXP 	pres_text: text = '7'
311.6917 	EXP 	fixation: autoDraw = True
311.7869 	DATA 	Mouse: wheel shift=(0,1), pos=(996,92)
312.6686 	EXP 	pres_text: autoDraw = True
312.7133 	EXP 	fixation: autoDraw = False
313.6720 	EXP 	New trial (rep=1, index=0): None
313.6894 	EXP 	fixation: autoDraw = False
313.6894 	EXP 	pres_text: autoDraw = False
313.6894 	EXP 	pres_text: text = '0'
313.6894 	EXP 	fixation: autoDraw = True
314.6948 	EXP 	pres_text: autoDraw = True
314.7156 	EXP 	fixation: autoDraw = False
315.6708 	EXP 	New trial (rep=2, index=0): None
315.6885 	EXP 	fixation: autoDraw = False
315.6885 	EXP 	pres_text: autoDraw = False
315.6885 	EXP 	pres_text: text = '9'
315.6885 	EXP 	fixation: autoDraw = True
316.6818 	EXP 	pres_text: autoDraw = True
316.7033 	EXP 	fixation: autoDraw = False
317.6798 	EXP 	New trial (rep=3, index=0): None
317.7046 	EXP 	fixation: autoDraw = False
317.7046 	EXP 	pres_text: autoDraw = False
317.7046 	EXP 	pres_text: text = '6'
317.7046 	EXP 	fixation: autoDraw = True
318.6773 	EXP 	pres_text: autoDraw = True
318.7156 	EXP 	fixation: autoDraw = False
319.6671 	EXP 	New trial (rep=4, index=0): None
319.6904 	EXP 	pres_text: autoDraw = False
319.6904 	EXP 	fixation: autoDraw = False
319.6904 	EXP 	pres_text: autoDraw = False
319.6904 	EXP 	pres_text: text = '7'
319.6904 	EXP 	fixation: autoDraw = True
320.6785 	EXP 	pres_text: autoDraw = True
320.7000 	EXP 	fixation: autoDraw = False
321.6762 	EXP 	New trial (rep=5, index=0): None
321.6962 	EXP 	fixation: autoDraw = False
321.6962 	EXP 	pres_text: autoDraw = False
321.6962 	EXP 	pres_text: text = '8'
321.6962 	EXP 	fixation: autoDraw = True
322.6821 	EXP 	pres_text: autoDraw = True
322.6976 	EXP 	fixation: autoDraw = False
323.6933 	EXP 	New trial (rep=6, index=0): None
323.7039 	EXP 	fixation: autoDraw = False
323.7039 	EXP 	pres_text: autoDraw = False
323.7039 	EXP 	pres_text: text = '8'
323.7039 	EXP 	fixation: autoDraw = True
324.6971 	EXP 	pres_text: autoDraw = True
324.7187 	EXP 	fixation: autoDraw = False
325.6848 	EXP 	New trial (rep=7, index=0): None
325.6967 	EXP 	fixation: autoDraw = False
325.6967 	EXP 	pres_text: autoDraw = False
325.6967 	EXP 	pres_text: text = '2'
325.6967 	EXP 	fixation: autoDraw = True
326.6788 	EXP 	pres_text: autoDraw = True
326.7251 	EXP 	fixation: autoDraw = False
327.6935 	EXP 	pres_text: autoDraw = False
327.6935 	EXP 	fixation: autoDraw = False
327.6935 	EXP 	pres_text: autoDraw = False
327.6935 	EXP 	recall_txt: autoDraw = True
327.6935 	EXP 	textbox: autoDraw = True
327.6935 	EXP 	cont_button: autoDraw = True
330.8775 	DATA 	Mouse: Left button down, pos=(951,114)
330.9184 	EXP 	recall_txt: autoDraw = False
330.9184 	EXP 	textbox: autoDraw = False
330.9184 	EXP 	cont_button: autoDraw = False
330.9184 	EXP 	feedback_text: text = 'Incorrect'
330.9184 	EXP 	feedback_text: autoDraw = True
330.9472 	DATA 	Mouse:  Left button up, pos=(951,114)
331.9228 	EXP 	New trial (rep=0, index=2): {'digitSpan': 8, 'digits': 27139320}
331.9236 	EXP 	Created sequence: sequential, trialTypes=1, nReps=8, seed=None
331.9240 	EXP 	New trial (rep=0, index=0): None
331.9432 	EXP 	feedback_text: autoDraw = False
331.9432 	EXP 	pres_text: text = '2'
331.9432 	EXP 	fixation: autoDraw = True
332.9265 	EXP 	pres_text: autoDraw = True
332.9469 	EXP 	fixation: autoDraw = False
333.9089 	EXP 	New trial (rep=1, index=0): None
333.9313 	EXP 	fixation: autoDraw = False
333.9313 	EXP 	pres_text: autoDraw = False
333.9313 	EXP 	pres_text: text = '7'
333.9313 	EXP 	fixation: autoDraw = True
334.9108 	EXP 	pres_text: autoDraw = True
334.9411 	EXP 	fixation: autoDraw = False
335.9079 	EXP 	New trial (rep=2, index=0): None
335.9223 	EXP 	fixation: autoDraw = False
335.9223 	EXP 	pres_text: autoDraw = False
335.9223 	EXP 	pres_text: text = '1'
335.9223 	EXP 	fixation: autoDraw = True
336.9117 	EXP 	pres_text: autoDraw = True
336.9235 	EXP 	fixation: autoDraw = False
337.9151 	EXP 	New trial (rep=3, index=0): None
337.9282 	EXP 	fixation: autoDraw = False
337.9282 	EXP 	pres_text: autoDraw = False
337.9282 	EXP 	pres_text: text = '3'
