7.7555 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
33.0584 	EXP 	cont_button_2: autoDraw = True
34.9598 	DATA 	Mouse: Left button down, pos=(934,116)
35.0111 	EXP 	Imported choose_digitSpan.xlsx as conditions, 7 conditions, 1 params
35.0124 	EXP 	Created sequence: sequential, trialTypes=7, nReps=1, seed=None
35.0133 	EXP 	New trial (rep=0, index=0): {'condition_file': 'three.xlsx'}
35.0367 	EXP 	Imported three.xlsx as conditions, 3 conditions, 2 params
35.0380 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
35.0388 	EXP 	New trial (rep=0, index=0): {'digitSpan': 3, 'digits': 217}
35.0401 	EXP 	Created sequence: sequential, trialTypes=1, nReps=3, seed=None
35.0406 	EXP 	New trial (rep=0, index=0): None
35.0558 	DATA 	Mouse:  Left button up, pos=(934,116)
35.0725 	EXP 	instructions: autoDraw = False
35.0725 	EXP 	cont_button_2: autoDraw = False
35.0725 	EXP 	pres_text: text = '2'
35.0725 	EXP 	fixation: autoDraw = True
36.0496 	EXP 	pres_text: autoDraw = True
36.0970 	EXP 	fixation: autoDraw = False
36.9806 	EXP 	New trial (rep=1, index=0): None
37.0133 	EXP 	fixation: autoDraw = False
37.0133 	EXP 	pres_text: autoDraw = False
37.0133 	EXP 	pres_text: text = '1'
37.0133 	EXP 	fixation: autoDraw = True
37.9808 	EXP 	pres_text: autoDraw = True
38.0299 	EXP 	fixation: autoDraw = False
38.9780 	EXP 	New trial (rep=2, index=0): None
39.0099 	EXP 	fixation: autoDraw = False
39.0099 	EXP 	pres_text: autoDraw = False
39.0099 	EXP 	pres_text: text = '7'
39.0099 	EXP 	fixation: autoDraw = True
39.9949 	EXP 	pres_text: autoDraw = True
40.0240 	EXP 	fixation: autoDraw = False
41.0102 	EXP 	fixation: autoDraw = False
41.0102 	EXP 	pres_text: autoDraw = False
41.0102 	EXP 	recall_txt: autoDraw = True
41.0102 	EXP 	textbox: autoDraw = True
41.0102 	EXP 	cont_button: autoDraw = True
42.4607 	DATA 	Keypress: 2
42.6813 	DATA 	Keypress: 1
43.4442 	DATA 	Keypress: 7
43.7604 	DATA 	Keypress: return
44.9806 	DATA 	Keypress: backspace
45.6973 	DATA 	Mouse: Left button down, pos=(934,116)
45.7363 	DATA 	Mouse:  Left button up, pos=(934,116)
45.7402 	EXP 	recall_txt: autoDraw = False
45.7402 	EXP 	textbox: autoDraw = False
45.7402 	EXP 	cont_button: autoDraw = False
45.7402 	EXP 	feedback_text: text = 'Correct!'
45.7402 	EXP 	feedback_text: autoDraw = True
46.7254 	EXP 	New trial (rep=0, index=1): {'digitSpan': 3, 'digits': 486}
46.7262 	EXP 	Created sequence: sequential, trialTypes=1, nReps=3, seed=None
46.7266 	EXP 	New trial (rep=0, index=0): None
46.7565 	EXP 	feedback_text: autoDraw = False
46.7565 	EXP 	pres_text: text = '4'
46.7565 	EXP 	fixation: autoDraw = True
47.7454 	EXP 	pres_text: autoDraw = True
47.7714 	EXP 	fixation: autoDraw = False
48.7282 	EXP 	New trial (rep=1, index=0): None
48.7495 	EXP 	fixation: autoDraw = False
48.7495 	EXP 	pres_text: autoDraw = False
48.7495 	EXP 	pres_text: text = '8'
48.7495 	EXP 	fixation: autoDraw = True
49.7485 	EXP 	pres_text: autoDraw = True
49.7690 	EXP 	fixation: autoDraw = False
50.7241 	EXP 	New trial (rep=2, index=0): None
50.7549 	EXP 	fixation: autoDraw = False
50.7549 	EXP 	pres_text: autoDraw = False
