condition_file,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,thisRow.t,notes,Instructions.started,Instrucciones.started,cont_boton_2.started,start_mouse.started,Instructions.stopped,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,Presentation.started,fixation.started,pres_text.started,fixation.stopped,pres_text.stopped,Presentation.stopped,Recall.started,recall_txt.started,textbox.started,cont_button.started,mouse.started,Recall.stopped,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Feedback.started,Texto_Retroalimentación.started,Texto_Retroalimentación.stopped,Feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.02111440000589937,0.06884780002292246,0.06884780002292246,0.020919799979310483,2.6314447000040673,0.08611111111111111,-0.37222222222222223,1,0,0,cont_button,,,,,,,,,,,,,,,,,,,,,,,,,cris,001,2024-03-06_13h28.52.032,Español Digit Span Task,2023.2.3,74.98500297905072,2024-03-06 13h28.58.947138 -0300,
three.xlsx,3,217,0,0,0,0,0,0,0,0,,,,,6.632760300009977,,,,,,,,,,,,,6.620119599974714,6.632760300009977,7.633062899985816,7.633062899985816,8.633476499991957,8.620488899992779,8.620536000002176,8.633476499991957,8.633476499991957,8.633476499991957,0.0014894999912939966,17.824431399989408,"217
",0,0.05185185185185185,-0.41203703703703703,1,0,0,cont_button,17.82527560001472,17.836883099982515,18.83725450001657,18.824413200025447,cris,001,2024-03-06_13h28.52.032,Español Digit Span Task,2023.2.3,74.98500297905072,2024-03-06 13h28.58.947138 -0300,
three.xlsx,3,486,0,0,0,0,0,1,1,1,,,,,22.839062999992166,,,,,,,,,,,,,22.814537999976892,22.839062999992166,23.82606749999104,23.839394200011156,24.839775300002657,24.814409099984914,24.814624199992977,24.839775300002657,24.839775300002657,24.839775300002657,0.014784800005145371,28.521605200017802,486,1,0.04537037037037037,-0.4203703703703704,1,0,0,cont_button,28.52221309999004,28.53421559999697,29.534616700024344,29.521631499985233,cris,001,2024-03-06_13h28.52.032,Español Digit Span Task,2023.2.3,74.98500297905072,2024-03-06 13h28.58.947138 -0300,
three.xlsx,3,760,0,0,0,0,0,2,2,2,,,,,33.52274280000711,,,,,,,,,,,,,33.510029900004156,33.52274280000711,34.52313500002492,34.52313500002492,35.52352460002294,35.51059870002791,35.51065309997648,35.52352460002294,35.52352460002294,35.52352460002294,0.0013886999804526567,39.152350799995475,760,1,0.04722222222222222,-0.39814814814814814,1,0,0,cont_button,39.152933400007896,39.16485760000069,40.16526320000412,40.15228749997914,cris,001,2024-03-06_13h28.52.032,Español Digit Span Task,2023.2.3,74.98500297905072,2024-03-06 13h28.58.947138 -0300,
four.xlsx,4,3141,0,1,1,1,0,0,0,0,,,,,46.154162999999244,,,,,,,,,,,,,46.14150020002853,46.154162999999244,47.15450940001756,47.15450940001756,48.15490929997759,48.14197170000989,48.1420198000269,48.15490929997759,48.15490929997759,48.15490929997759,0.002060099970549345,52.94410850002896,3141,1,0.0962962962962963,-0.39537037037037037,1,0,0,cont_button,52.944905299984384,52.956702600000426,53.95709729997907,53.94414699997287,cris,001,2024-03-06_13h28.52.032,Español Digit Span Task,2023.2.3,74.98500297905072,2024-03-06 13h28.58.947138 -0300,
,,,,,,,,,,,,,,,57.94520930002909,,,,,,,,,,,,,57.932512899977155,57.94520930002909,58.94567589997314,58.94567589997314,57.94520930002909,57.93227519997163,,,,,,,,,,,,,,,,,,,,,,,,,,
