subject,type,condition,goal,block,block_num,block_instr_text,trial_num,stim_0,stim_0_value,stim_1,stim_1_value,position_changed,stim_left,stim_right,stim_left_name,stim_right_name,stim_left_name_feedback,stim_right_name_feedback,optimal_stim,optimal_choice,practice_round.thisRepN,practice_round.thisTrialN,practice_round.thisN,practice_round.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,key_resp_1.started,intro.stopped,instr1.started,instr1.stopped,instr2.started,key_resp_4.started,instr2.stopped,instr3.started,instr3.stopped,prac_instr.started,prac_instr.stopped,BlockInstruct.started,BlockInstr_disp.started,BlockInstruct.stopped,fixation.started,iti.started,fixation.stopped,stimuli.started,left.started,right.started,key_resp.started,stimuli.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,chosen_stim_name,chosen_stim_0,chosen_stim_1,true_accuracy,stimuli_feedback.started,left_feedback.started,right_feedback.started,stimuli_feedback.stopped,feedback.started,cumulativePts_self,outcomeDescr,outcome,feedback_text.started,feedback.stopped,instr4.started,instr4.stopped,exp_instr.started,exp_instr.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
1,0,self,win,self_win,1,Play to WIN points,0,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left,,,,,0,0,0,0,66.1161701999954,,0.011697800000547431,0.024968400000943802,1.346617499992135,1.3466380999889225,1.9202780999912648,1.9203084999899147,1.9322795999905793,2.320073199996841,2.3200921999959974,2.7604349999892293,2.7604678999923635,3.1211441999912495,66.11097759999393,66.1161701999954,71.09147790000134,72.66553249998833,72.67862979999336,73.17232409999997,71.5984305999882,71.63822749999235,71.63822749999235,71.63822749999235,72.1595793999877,left,1,0.5189090999920154,None,stimuli/slot1_up.jpg,1,0,1,72.16015979999793,72.19854549999582,72.19854549999582,72.66550989999087,73.17234929998813,2300,self win,1,73.18546449999849,74.6662454999896,62.981833799989545,65.21006439998746,65.21008509999956,66.09053589998803,01,2024-04-17_23h51.08.862,two-armed-bandit,2023.2.3,74.92337212206898,2024-04-17 23h51.20.192507 -0400,
1,0,self,win,self_win,1,Play to WIN points,1,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,,,,,0,1,1,1,74.67935069999658,,,,,,,,,,,,,,74.66665059998923,74.67935069999658,74.66712030000053,76.34676760000002,76.36007629999949,76.85367909999331,75.17309929999465,75.19954809999035,75.19954809999035,75.19954809999035,75.84070619998965,right,1,0.6375058999983594,None,stimuli/slot1_up.jpg,1,0,1,75.84118249999301,75.8664684999967,75.8664684999967,76.34674949999317,76.85369929998706,2400,self win,1,76.86691299999075,78.34752909999224,,,,,01,2024-04-17_23h51.08.862,two-armed-bandit,2023.2.3,74.92337212206898,2024-04-17 23h51.20.192507 -0400,
1,0,self,win,self_win,1,Play to WIN points,2,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,,,,,0,2,2,2,78.3607050999999,,,,,,,,,,,,,,78.34792169999855,78.3607050999999,78.3484177999926,79.78820969999651,79.80126989999553,80.29496400000062,78.8543909,78.89423349998833,78.89423349998833,78.89423349998833,79.28200329998799,right,1,0.3752085000014631,None,stimuli/slot1_up.jpg,1,0,1,79.28248019999592,79.30770659999689,79.30770659999689,79.78819009999279,80.29498349998903,2500,self win,1,80.30818929999077,81.78874109999742,,,,,01,2024-04-17_23h51.08.862,two-armed-bandit,2023.2.3,74.92337212206898,2024-04-17 23h51.20.192507 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.80201980000129,,,,,,,,,,,,,,81.78926419999334,81.80201980000129,81.78984819998732,81.78986409999197,81.80201980000129,82.29566779999004,82.29568569999537,82.32215699998778,82.32215699998778,82.32215699998778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
