Column1;subject;type;condition;goal;block;block_num;block_instr_text;trial_num;stim_0;stim_0_value;stim_1;stim_1_value;position_changed;stim_left;stim_right;stim_left_name;stim_right_name;stim_left_name_feedback;stim_right_name_feedback;optimal_stim;optimal_choice;practice_round.thisRepN;practice_round.thisTrialN;practice_round.thisN;practice_round.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;BlockInstr_disp.started;BlockInstr_disp.stopped;iti.started;iti.stopped;left.started;left.stopped;right.started;right.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;chosen_stim_name;chosen_stim_0;chosen_stim_1;true_accuracy;left_feedback.started;left_feedback.stopped;right_feedback.started;right_feedback.stopped;cumulativePts_self;outcomeDescr;outcome;feedback_text.started;feedback_text.stopped;participant;date;expName;psychopyVersion;frameRate
11;0;0;self;win;self_win;1;Play to WIN points;10;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;10;10;10;1.38E+16;None;1.40E+16;None;1.39E+16;None;1.39E+16;None;right;1;3.27E+15;1.39E+16;None;stimuli/slot1_up.jpg;1;0;1;1.39E+16;None;1.39E+16;None;2500;self win;1;1.40E+15;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
12;0;0;self;win;self_win;1;Play to WIN points;11;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;11;11;11;1.42E+15;None;1.43E+16;None;1.42E+16;None;1.42E+16;None;right;1;3.98E+16;1.42E+16;None;stimuli/slot1_up.jpg;1;0;1;1.43E+16;None;1.43E+16;None;2600;self win;1;1.44E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
13;0;0;self;win;self_win;1;Play to WIN points;12;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;12;12;12;1.45E+15;None;1.47E+16;None;1.46E+16;None;1.46E+16;None;right;1;3.23E+16;1.46E+16;None;stimuli/slot1_up.jpg;1;0;1;1.46E+16;None;1.46E+16;None;2700;self win;1;1.47E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
14;0;0;self;win;self_win;1;Play to WIN points;13;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;13;13;13;1.49E+16;None;1.50E+16;None;1.49E+16;None;1.49E+16;None;right;1;4.42E+15;1.49E+16;None;stimuli/slot1_up.jpg;1;0;1;1.50E+15;None;1.50E+15;None;2800;self win;1;1.51E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
15;0;0;self;win;self_win;1;Play to WIN points;14;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;14;14;14;1.52E+15;None;1.54E+15;None;1.53E+14;None;1.53E+14;None;right;1;4.61E+16;1.53E+14;None;stimuli/slot1_up.jpg;1;0;1;1.53E+16;None;1.53E+16;None;2900;self win;1;1.54E+15;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
16;0;0;self;win;self_win;1;Play to WIN points;15;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;15;15;15;1.56E+16;None;1.58E+16;None;1.56E+16;None;1.56E+16;None;left;1;6.71E+15;1.56E+16;None;stimuli/slot1_up.jpg;1;0;1;1.57E+16;None;1.57E+16;None;3000;self win;1;1.58E+14;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
17;0;0;self;win;self_win;1;Play to WIN points;16;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;16;16;16;1.60E+15;None;1.61E+16;None;1.60E+15;None;1.60E+15;None;left;1;3.93E+14;1.60E+15;None;stimuli/slot1_up.jpg;1;0;1;1.60E+16;None;1.60E+16;None;3100;self win;1;1.61E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
18;0;0;self;win;self_win;1;Play to WIN points;17;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;17;17;17;1.63E+16;None;1.65E+16;None;1.64E+16;None;1.64E+16;None;left;1;4.78E+15;1.64E+16;None;stimuli/slot1_up.jpg;1;0;1;1.64E+16;None;1.64E+16;None;3200;self win;1;1.65E+15;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
19;0;0;self;win;self_win;1;Play to WIN points;18;stimuli/slot1_up.jpg;0;stimuli/slot2_up.jpg;1;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot2_up.jpg;right;;;;;0;18;18;18;1.67E+16;None;1.68E+15;None;1.67E+16;None;1.67E+16;None;left;0;3.83E+16;1.67E+16;None;stimuli/slot1_up.jpg;1;0;1;1.68E+15;None;1.68E+15;None;3200;self avoid win;0;1.69E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
20;0;0;self;win;self_win;1;Play to WIN points;19;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;19;19;19;1.70E+16;None;1.71E+15;None;1.71E+13;None;1.71E+13;None;right;0;3.73E+16;1.71E+13;None;stimuli/slot2_up.jpg;0;1;0;1.71E+16;None;1.71E+16;None;3200;self avoid win;0;1.72E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
