Instructions.started,Instructions.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,imageFile,corrAns,sameOrDiff,thanks.started
0.0002,13.7065,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,
,,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,13.7229,15.9507,right,0,2.2045,,15.9512,16.9519,0,0,0,5,1,same/303_DV_C2.jpg,left,same,
,,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,16.9524,18.8165,left,0,1.8484,,18.8167,19.8183,0,1,1,6,1,different/013_235_R.jpg,right,different,
,,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,19.8189,20.6084,left,1,0.7753,,20.609,21.5983,0,2,2,4,1,same/235_C2_DV.jpg,left,same,
,,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,21.5987,23.091,right,1,1.4818,,23.0912,24.0905,0,3,3,11,1,different/077_133_R.jpg,right,different,
,,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,24.0914,25.3335,left,1,1.2256,,25.334,26.3329,0,4,4,1,1,same/139_DV_C2.jpg,left,same,
,,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,26.3337,27.8572,left,1,1.5034,,27.8576,28.8576,0,5,5,3,1,same/170_DV_C2.jpg,left,same,
,,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,28.8581,31.8999,right,1,3.0234,,31.9005,32.8992,0,6,6,7,1,different/019_074_L.jpg,right,different,
,,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,32.8997,34.3567,left,0,1.4399,,34.3568,35.357,0,7,7,8,1,different/025_235_L.jpg,right,different,
,,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,35.3575,37.2069,left,0,1.8325,,37.207,38.2077,0,8,8,10,1,different/076_109_R.jpg,right,different,
,,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,38.2081,39.2996,right,0,1.0719,,39.2999,40.2994,0,9,9,2,1,same/168_C2_DV.jpg,left,same,
,,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,40.2999,41.8164,left,1,1.4996,,41.8168,42.8154,0,10,10,0,1,same/136_C2_DV.jpg,left,same,
,,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,42.8158,44.4409,left,0,1.6064,,44.4411,45.4418,0,11,11,9,1,different/049_218_L.jpg,right,different,
,,584042,001,2024-01-16_11h49.37.867,glasgow_face_matching,2023.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,45.4431
