imageFile,corrAns,sameOrDiff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,background.started,startKey.started,instructionstxt.started,Instructions.stopped,trial.started,background_2.started,faces.started,resp.started,trial_counter.started,reminder.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,background_3.started,textbox.started,reminder_2.started,trial_counter_2.started,feedback.stopped,background_3.stopped,textbox.stopped,reminder_2.stopped,trial_counter_2.stopped,thanks.started,background_4.started,endmsg.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
same/57c.png,left,same,0,0,0,2,3.975561600003857,,0.014889499987475574,0.04056180000770837,0.04056180000770837,0.04056180000770837,3.829529399983585,3.878144699963741,3.975561600003857,3.975561600003857,3.975561600003857,3.975561600003857,3.975561600003857,9.111355700006243,left,1,5.128440500004217,None,9.111867400002666,9.13721539999824,9.13721539999824,9.13721539999824,9.13721539999824,10.164412899990566,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/24b.png,right,different,0,1,1,29,10.20428439998068,,,,,,,10.164676500018686,10.20428439998068,10.20428439998068,10.20428439998068,10.20428439998068,10.20428439998068,11.992498699983116,right,1,1.778131500002928,None,11.992864999978337,12.018338499998208,12.018338499998208,12.018338499998208,12.018338499998208,13.005510699993465,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/82a.png,left,same,0,2,2,15,13.045352499990258,,,,,,,13.00577789999079,13.045352499990258,13.045352499990258,13.045352499990258,13.045352499990258,13.045352499990258,14.179901099996641,right,0,1.1217772000236437,None,14.180216200009454,14.205777900002431,14.205777900002431,14.205777900002431,14.205777900002431,15.192884399963077,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/73a.png,left,same,0,3,3,8,15.232846800005063,,,,,,,15.193120300013106,15.232846800005063,15.232846800005063,15.232846800005063,15.232846800005063,15.232846800005063,16.674279299972113,right,0,1.4303158999537118,None,16.674626599997282,16.70006469998043,16.70006469998043,16.70006469998043,16.70006469998043,17.687217700004112,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/19b.png,right,different,0,4,4,26,17.74046790000284,,,,,,,17.68755669996608,17.74046790000284,17.74046790000284,17.74046790000284,17.74046790000284,17.74046790000284,20.35565450001741,right,1,2.6102611999958754,None,20.355956799990963,20.381417399970815,20.381417399970815,20.381417399970815,20.381417399970815,21.368552699976135,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/26b.png,right,different,0,5,5,31,21.408434899989516,,,,,,,21.36886320001213,21.408434899989516,21.408434899989516,21.408434899989516,21.408434899989516,21.408434899989516,22.903523400018457,right,1,1.4942085000220686,None,22.903857600002084,22.92903200001456,22.92903200001456,22.92903200001456,22.92903200001456,23.916145399969537,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/64b.png,left,same,0,6,6,6,23.969440200016834,,,,,,,23.916374299966265,23.969440200016834,23.969440200016834,23.969440200016834,23.969440200016834,23.969440200016834,24.90384990000166,left,1,0.9258449000190012,None,24.904162199993152,24.929793099989183,24.929793099989183,24.929793099989183,24.929793099989183,25.91691329999594,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/59a.png,left,same,0,7,7,4,25.956867399974726,,,,,,,25.91715649998514,25.956867399974726,25.956867399974726,25.956867399974726,25.956867399974726,25.956867399974726,27.51830070000142,right,0,1.5536119000171311,None,27.51867299998412,27.54411259997869,27.54411259997869,27.54411259997869,27.54411259997869,28.531227500003297,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/76b.png,left,same,0,8,8,11,28.58448469999712,,,,,,,28.53148299996974,28.58448469999712,28.58448469999712,28.58448469999712,28.58448469999712,28.58448469999712,29.945730499981437,right,0,1.3502285000286065,None,29.946025000012014,29.958341899968218,29.958341899968218,29.958341899968218,29.958341899968218,30.945931900001597,30.998713199980557,30.998713199980557,30.998713199980557,30.998713199980557,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/79a.png,left,same,0,9,9,13,30.998713199980557,,,,,,,30.94620569999097,30.998713199980557,30.998713199980557,30.998713199980557,30.998713199980557,30.998713199980557,33.507149400014896,right,0,2.5042684999643825,None,33.50745289999759,33.53302169998642,33.53302169998642,33.53302169998642,33.53302169998642,34.520126899995375,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
