Instructions.started,Instructions.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,imageFile,corrAns,sameOrDiff
0.0002,16.7297,181215,001,2024-01-08_14h32.43.564,glasgow_face_matching,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,
,,181215,001,2024-01-08_14h32.43.564,glasgow_face_matching,2023.2.2,Win32,59.88023952,16.7409,23.1156,left,1,6.3427,,23.1208,24.1165,0,0,0,4,1,same/235_C2_DV.jpg,left,same
,,181215,001,2024-01-08_14h32.43.564,glasgow_face_matching,2023.2.2,Win32,59.88023952,24.1168,28.5037,right,1,4.3747,,28.5039,29.5049,0,1,1,10,1,different/076_109_R.jpg,right,different
,,181215,001,2024-01-08_14h32.43.564,glasgow_face_matching,2023.2.2,Win32,59.88023952,29.5053,31.1064,right,1,1.5886,,31.1066,32.1072,0,2,2,6,1,different/013_235_R.jpg,right,different
,,181215,001,2024-01-08_14h32.43.564,glasgow_face_matching,2023.2.2,Win32,59.88023952,32.1075,34.2762,left,1,2.1551,,34.2763,35.2774,0,3,3,1,1,same/139_DV_C2.jpg,left,same
,,181215,001,2024-01-08_14h32.43.564,glasgow_face_matching,2023.2.2,Win32,59.88023952,35.2777,37.3794,left,1,2.0884,,37.3795,38.3808,0,4,4,3,1,same/170_DV_C2.jpg,left,same
,,181215,001,2024-01-08_14h32.43.564,glasgow_face_matching,2023.2.2,Win32,59.88023952,38.3811,39.6151,left,1,1.2141,,39.6152,40.6163,0,5,5,0,1,same/136_C2_DV.jpg,left,same
,,181215,001,2024-01-08_14h32.43.564,glasgow_face_matching,2023.2.2,Win32,59.88023952,40.6167,41.7504,right,1,1.118,,41.7506,42.7522,0,6,6,9,1,different/049_218_L.jpg,right,different
,,181215,001,2024-01-08_14h32.43.564,glasgow_face_matching,2023.2.2,Win32,59.88023952,42.7524,43.6691,right,0,0.9021,,43.6692,44.6699,0,7,7,2,1,same/168_C2_DV.jpg,left,same
,,181215,001,2024-01-08_14h32.43.564,glasgow_face_matching,2023.2.2,Win32,59.88023952,44.6702,49.4914,right,1,4.8079,,49.4916,50.4929,0,8,8,11,1,different/077_133_R.jpg,right,different
,,181215,001,2024-01-08_14h32.43.564,glasgow_face_matching,2023.2.2,Win32,59.88023952,50.4931,52.1272,right,1,1.6134,,52.1273,53.1284,0,9,9,8,1,different/025_235_L.jpg,right,different
,,181215,001,2024-01-08_14h32.43.564,glasgow_face_matching,2023.2.2,Win32,59.88023952,53.1288,54.4796,left,1,1.3276,,54.4798,55.4806,0,10,10,5,1,same/303_DV_C2.jpg,left,same
,,181215,001,2024-01-08_14h32.43.564,glasgow_face_matching,2023.2.2,Win32,59.88023952,55.481,56.8486,right,1,1.3447,,56.8487,57.8498,0,11,11,7,1,different/019_074_L.jpg,right,different
