Instructions.started,Instructions.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,imageFile,corrAns,sameOrDiff,thanks.started
0.0003,37.7655,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,,,,,,,,,,,,,,,,,
,,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,37.7909,42.2146,right,1,4.3746,,42.2226,43.2141,0,0,0,7,1,different/019_074_L.jpg,right,different,
,,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,43.215,43.2472,right,1,0.0114,,43.2473,44.2471,0,1,1,9,1,different/049_218_L.jpg,right,different,
,,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,44.2478,45.7643,left,1,1.4952,,45.7644,46.7641,0,2,2,0,1,same/136_C2_DV.jpg,left,same,
,,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,46.7651,48.2477,left,1,1.4609,,48.2479,49.2476,0,3,3,5,1,same/303_DV_C2.jpg,left,same,
,,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,49.2481,52.9148,right,1,3.6509,,52.9152,53.9146,0,4,4,6,1,different/013_235_R.jpg,right,different,
,,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,53.9153,56.4316,left,1,2.4983,,56.4317,57.4316,0,5,5,4,1,same/235_C2_DV.jpg,left,same,
,,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,57.4323,58.7652,right,1,1.3071,,58.7653,59.7652,0,6,6,11,1,different/077_133_R.jpg,right,different,
,,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,59.7665,62.5987,right,1,2.8085,,62.5988,63.5987,0,7,7,10,1,different/076_109_R.jpg,right,different,
,,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,63.5996,66.799,left,1,3.1755,,66.7991,67.7988,0,8,8,2,1,same/168_C2_DV.jpg,left,same,
,,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,67.7998,70.0324,right,1,2.213,,70.0324,71.0323,0,9,9,8,1,different/025_235_L.jpg,right,different,
,,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,71.0331,78.8005,left,1,7.7433,,78.8005,79.7995,0,10,10,3,1,same/170_DV_C2.jpg,left,same,
,,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,79.8,82.9332,left,1,3.1137,,82.9333,83.9334,0,11,11,1,1,same/139_DV_C2.jpg,left,same,
,,607661,001,2023-12-06_15h04.45.366,glasgow_face_matching,2023.2.2,Win32,60.05645307,,,,,,,,,,,,,,,,,83.9344
