25.1306 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
27.6270 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000234F3197BE0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000234F3197B80>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000234F31979A0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000234F35356A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
27.6272 	EXP 	window1: mouseVisible = True
27.6272 	EXP 	window1: backgroundImage = ''
27.6272 	EXP 	window1: backgroundFit = 'none'
27.6300 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
27.6301 	EXP 	window1: recordFrameIntervals = False
27.7598 	EXP 	window1: recordFrameIntervals = True
27.9068 	EXP 	Screen (0) actual frame rate measured at 74.96Hz
27.9068 	EXP 	window1: recordFrameIntervals = False
27.9070 	EXP 	window1: mouseVisible = False
32.0547 	EXP 	glasgow_face_matching: status = STARTED
32.0551 	EXP 	window1: mouseVisible = True
33.2161 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
33.2164 	EXP 	window1: mouseVisible = True
33.2165 	EXP 	window1: mouseVisible = True
33.2171 	EXP 	window1: mouseVisible = True
33.2176 	EXP 	window1: mouseVisible = True
33.3563 	EXP 	window1: mouseVisible = True
33.3565 	EXP 	window1: mouseVisible = True
33.3570 	EXP 	window1: mouseVisible = True
33.3576 	EXP 	window1: mouseVisible = True
33.3683 	EXP 	window1: mouseVisible = True
34.5337 	EXP 	Created background_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
34.5338 	EXP 	window1: mouseVisible = True
34.6117 	EXP 	Created faces = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='faces', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.25, 0.78]), texRes=128, units='height', win=Window(...))
34.6119 	EXP 	window1: mouseVisible = True
34.6121 	EXP 	window1: mouseVisible = True
34.6125 	EXP 	window1: mouseVisible = True
34.6130 	EXP 	window1: mouseVisible = True
34.6168 	EXP 	window1: mouseVisible = True
34.6169 	EXP 	window1: mouseVisible = True
34.6175 	EXP 	window1: mouseVisible = True
34.6180 	EXP 	window1: mouseVisible = True
34.6254 	EXP 	window1: mouseVisible = True
34.6256 	EXP 	window1: mouseVisible = True
34.6260 	EXP 	window1: mouseVisible = True
34.6265 	EXP 	window1: mouseVisible = True
34.6516 	EXP 	window1: mouseVisible = True
34.6517 	EXP 	window1: mouseVisible = True
34.6522 	EXP 	window1: mouseVisible = True
34.6528 	EXP 	window1: mouseVisible = True
34.6571 	EXP 	window1: mouseVisible = True
35.8177 	EXP 	Created background_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
35.8181 	EXP 	window1: mouseVisible = True
35.8182 	EXP 	window1: mouseVisible = True
35.8189 	EXP 	window1: mouseVisible = True
35.8195 	EXP 	window1: mouseVisible = True
35.8237 	EXP 	window1: mouseVisible = True
35.8238 	EXP 	window1: mouseVisible = True
35.8244 	EXP 	window1: mouseVisible = True
35.8250 	EXP 	window1: mouseVisible = True
35.8299 	EXP 	window1: mouseVisible = True
35.8301 	EXP 	window1: mouseVisible = True
35.8308 	EXP 	window1: mouseVisible = True
35.8315 	EXP 	window1: mouseVisible = True
35.8363 	EXP 	window1: mouseVisible = True
35.8365 	EXP 	window1: mouseVisible = True
35.8372 	EXP 	window1: mouseVisible = True
35.8381 	EXP 	window1: mouseVisible = True
35.8422 	EXP 	window1: mouseVisible = True
35.8424 	EXP 	window1: mouseVisible = True
35.8432 	EXP 	window1: mouseVisible = True
35.8441 	EXP 	window1: mouseVisible = True
35.8489 	EXP 	window1: mouseVisible = True
35.8491 	EXP 	window1: mouseVisible = True
35.8496 	EXP 	window1: mouseVisible = True
35.8502 	EXP 	window1: mouseVisible = True
35.8545 	EXP 	window1: mouseVisible = True
37.0407 	EXP 	Created background_4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
37.0410 	EXP 	window1: mouseVisible = True
37.0412 	EXP 	window1: mouseVisible = True
37.0418 	EXP 	window1: mouseVisible = True
37.0424 	EXP 	window1: mouseVisible = True
37.0480 	EXP 	window1: mouseVisible = True
37.0482 	EXP 	window1: mouseVisible = True
37.0488 	EXP 	window1: mouseVisible = True
37.0494 	EXP 	window1: mouseVisible = True
0.0047 	EXP 	instructionstxt: autoLog = True
0.0047 	EXP 	trial_counter: autoLog = True
0.0047 	EXP 	reminder: autoLog = True
0.0047 	EXP 	textbox: autoLog = True
0.0047 	EXP 	reminder_2: autoLog = True
0.0047 	EXP 	trial_counter_2: autoLog = True
0.0047 	EXP 	endmsg: autoLog = True
0.0296 	EXP 	background: autoDraw = True
0.0296 	EXP 	instructionstxt: autoDraw = True
1.8373 	EXP 	Imported conditions_short.xlsx as conditions, 40 conditions, 3 params
1.8776 	EXP 	Created sequence: random, trialTypes=40, nReps=1, seed=None
1.8785 	EXP 	New trial (rep=0, index=0): {'imageFile': 'same/64b.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
2.1992 	DATA 	Keypress: right
2.2184 	EXP 	background: autoDraw = False
2.2184 	EXP 	instructionstxt: autoDraw = False
2.2184 	EXP 	faces: image = 'same/64b.png'
2.2184 	EXP 	background_2: autoDraw = True
2.2184 	EXP 	faces: autoDraw = True
2.2184 	EXP 	trial_counter: autoDraw = True
2.2184 	EXP 	reminder: autoDraw = True
5.7544 	DATA 	Keypress: right
5.7651 	EXP 	background_2: autoDraw = False
5.7651 	EXP 	faces: autoDraw = False
5.7651 	EXP 	trial_counter: autoDraw = False
5.7651 	EXP 	reminder: autoDraw = False
5.7651 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
5.7651 	EXP 	background_3: autoDraw = True
5.7651 	EXP 	textbox: autoDraw = True
5.7651 	EXP 	reminder_2: autoDraw = True
5.7651 	EXP 	trial_counter_2: autoDraw = True
6.7525 	EXP 	New trial (rep=0, index=1): {'imageFile': 'different/40b.png', 'corrAns': 'right', 'sameOrDiff': 'different'}
6.7921 	EXP 	background_3: autoDraw = False
6.7921 	EXP 	textbox: autoDraw = False
6.7921 	EXP 	reminder_2: autoDraw = False
6.7921 	EXP 	trial_counter_2: autoDraw = False
6.7921 	EXP 	faces: image = 'different/40b.png'
6.7921 	EXP 	background_2: autoDraw = True
6.7921 	EXP 	faces: autoDraw = True
6.7921 	EXP 	trial_counter: autoDraw = True
6.7921 	EXP 	reminder: autoDraw = True
8.2028 	DATA 	Keypress: left
8.2194 	EXP 	background_2: autoDraw = False
8.2194 	EXP 	faces: autoDraw = False
8.2194 	EXP 	trial_counter: autoDraw = False
8.2194 	EXP 	reminder: autoDraw = False
8.2194 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
8.2194 	EXP 	background_3: autoDraw = True
8.2194 	EXP 	textbox: autoDraw = True
8.2194 	EXP 	reminder_2: autoDraw = True
8.2194 	EXP 	trial_counter_2: autoDraw = True
9.2067 	EXP 	New trial (rep=0, index=2): {'imageFile': 'different/7c.png', 'corrAns': 'right', 'sameOrDiff': 'different'}
9.2463 	EXP 	background_3: autoDraw = False
9.2463 	EXP 	textbox: autoDraw = False
9.2463 	EXP 	reminder_2: autoDraw = False
9.2463 	EXP 	trial_counter_2: autoDraw = False
9.2463 	EXP 	faces: image = 'different/7c.png'
9.2463 	EXP 	background_2: autoDraw = True
9.2463 	EXP 	faces: autoDraw = True
9.2463 	EXP 	trial_counter: autoDraw = True
9.2463 	EXP 	reminder: autoDraw = True
10.3331 	DATA 	Keypress: right
10.3401 	EXP 	background_2: autoDraw = False
10.3401 	EXP 	faces: autoDraw = False
10.3401 	EXP 	trial_counter: autoDraw = False
10.3401 	EXP 	reminder: autoDraw = False
10.3401 	EXP 	textbox: foreColor = <psychopy.colors.Color: green, alpha=1.0>
10.3401 	EXP 	background_3: autoDraw = True
10.3401 	EXP 	textbox: autoDraw = True
10.3401 	EXP 	reminder_2: autoDraw = True
10.3401 	EXP 	trial_counter_2: autoDraw = True
11.3276 	EXP 	New trial (rep=0, index=3): {'imageFile': 'same/63a.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
11.3672 	EXP 	background_3: autoDraw = False
11.3672 	EXP 	textbox: autoDraw = False
11.3672 	EXP 	reminder_2: autoDraw = False
11.3672 	EXP 	trial_counter_2: autoDraw = False
11.3672 	EXP 	faces: image = 'same/63a.png'
11.3672 	EXP 	background_2: autoDraw = True
11.3672 	EXP 	faces: autoDraw = True
11.3672 	EXP 	trial_counter: autoDraw = True
11.3672 	EXP 	reminder: autoDraw = True
12.6192 	DATA 	Keypress: right
12.6343 	EXP 	background_2: autoDraw = False
12.6343 	EXP 	faces: autoDraw = False
12.6343 	EXP 	trial_counter: autoDraw = False
12.6343 	EXP 	reminder: autoDraw = False
12.6343 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
12.6343 	EXP 	background_3: autoDraw = True
12.6343 	EXP 	textbox: autoDraw = True
12.6343 	EXP 	reminder_2: autoDraw = True
12.6343 	EXP 	trial_counter_2: autoDraw = True
13.6218 	EXP 	New trial (rep=0, index=4): {'imageFile': 'same/55a.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
13.6613 	EXP 	background_3: autoDraw = False
13.6613 	EXP 	textbox: autoDraw = False
13.6613 	EXP 	reminder_2: autoDraw = False
13.6613 	EXP 	trial_counter_2: autoDraw = False
13.6613 	EXP 	faces: image = 'same/55a.png'
13.6613 	EXP 	background_2: autoDraw = True
13.6613 	EXP 	faces: autoDraw = True
13.6613 	EXP 	trial_counter: autoDraw = True
13.6613 	EXP 	reminder: autoDraw = True
14.5128 	DATA 	Keypress: right
14.5284 	EXP 	background_2: autoDraw = False
14.5284 	EXP 	faces: autoDraw = False
14.5284 	EXP 	trial_counter: autoDraw = False
14.5284 	EXP 	reminder: autoDraw = False
14.5284 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
14.5284 	EXP 	background_3: autoDraw = True
14.5284 	EXP 	textbox: autoDraw = True
14.5284 	EXP 	reminder_2: autoDraw = True
14.5284 	EXP 	trial_counter_2: autoDraw = True
15.5157 	EXP 	New trial (rep=0, index=5): {'imageFile': 'different/27b.png', 'corrAns': 'right', 'sameOrDiff': 'different'}
15.5553 	EXP 	background_3: autoDraw = False
15.5553 	EXP 	textbox: autoDraw = False
15.5553 	EXP 	reminder_2: autoDraw = False
