9.7289 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
10.3809 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025273947C70>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025273947C10>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025273947A60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000025273CE8280>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.3810 	EXP 	window1: mouseVisible = True
10.3810 	EXP 	window1: backgroundImage = ''
10.3810 	EXP 	window1: backgroundFit = 'none'
10.3826 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.3826 	EXP 	window1: recordFrameIntervals = False
10.5140 	EXP 	window1: recordFrameIntervals = True
10.6609 	EXP 	Screen (0) actual frame rate measured at 74.97Hz
10.6609 	EXP 	window1: recordFrameIntervals = False
10.6610 	EXP 	window1: mouseVisible = False
13.1967 	EXP 	glasgow_face_matching: status = STARTED
13.1971 	EXP 	window1: mouseVisible = True
14.4183 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
14.4186 	EXP 	window1: mouseVisible = True
14.4187 	EXP 	window1: mouseVisible = True
14.4192 	EXP 	window1: mouseVisible = True
14.4197 	EXP 	window1: mouseVisible = True
14.5589 	EXP 	window1: mouseVisible = True
14.5591 	EXP 	window1: mouseVisible = True
14.5597 	EXP 	window1: mouseVisible = True
14.5602 	EXP 	window1: mouseVisible = True
14.5695 	EXP 	window1: mouseVisible = True
15.7321 	EXP 	Created background_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
15.7322 	EXP 	window1: mouseVisible = True
