2.6112 	EXP 	faces: autoDraw = True
2.6112 	EXP 	trial_counter: autoDraw = True
5.4880 	DATA 	Keypress: left
5.4920 	EXP 	background_2: autoDraw = False
5.4920 	EXP 	faces: autoDraw = False
5.4920 	EXP 	trial_counter: autoDraw = False
5.4920 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
5.4920 	EXP 	background_3: autoDraw = True
5.4920 	EXP 	textbox: autoDraw = True
6.4798 	EXP 	New trial (rep=0, index=1): {'imageFile': 'same/57c.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
6.5191 	EXP 	background_3: autoDraw = False
6.5191 	EXP 	textbox: autoDraw = False
6.5191 	EXP 	background_3: autoDraw = False
6.5191 	EXP 	textbox: autoDraw = False
6.5191 	EXP 	faces: image = 'same/57c.png'
6.5191 	EXP 	background_2: autoDraw = True
6.5191 	EXP 	faces: autoDraw = True
6.5191 	EXP 	trial_counter: autoDraw = True
6.9514 	DATA 	Keypress: right
6.9592 	EXP 	background_2: autoDraw = False
6.9592 	EXP 	faces: autoDraw = False
6.9592 	EXP 	trial_counter: autoDraw = False
6.9592 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
6.9592 	EXP 	background_3: autoDraw = True
6.9592 	EXP 	textbox: autoDraw = True
7.9469 	EXP 	New trial (rep=0, index=2): {'imageFile': 'same/79a.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
7.9862 	EXP 	background_3: autoDraw = False
7.9862 	EXP 	textbox: autoDraw = False
7.9862 	EXP 	background_3: autoDraw = False
7.9862 	EXP 	textbox: autoDraw = False
7.9862 	EXP 	faces: image = 'same/79a.png'
7.9862 	EXP 	background_2: autoDraw = True
7.9862 	EXP 	faces: autoDraw = True
7.9862 	EXP 	trial_counter: autoDraw = True
8.2431 	DATA 	Keypress: right
8.2664 	EXP 	background_2: autoDraw = False
8.2664 	EXP 	faces: autoDraw = False
8.2664 	EXP 	trial_counter: autoDraw = False
8.2664 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
8.2664 	EXP 	background_3: autoDraw = True
8.2664 	EXP 	textbox: autoDraw = True
9.2542 	EXP 	New trial (rep=0, index=3): {'imageFile': 'same/88b.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
9.2801 	EXP 	background_3: autoDraw = False
9.2801 	EXP 	textbox: autoDraw = False
9.2801 	EXP 	background_3: autoDraw = False
