13.8353 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
14.5707 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002542A40CD00>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002542A40C9A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002542A40CB20>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002542A7A7520>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.5708 	EXP 	window1: mouseVisible = True
14.5709 	EXP 	window1: backgroundImage = ''
14.5709 	EXP 	window1: backgroundFit = 'none'
14.5733 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.5733 	EXP 	window1: recordFrameIntervals = False
14.7037 	EXP 	window1: recordFrameIntervals = True
14.8511 	EXP 	Screen (0) actual frame rate measured at 74.87Hz
14.8512 	EXP 	window1: recordFrameIntervals = False
14.8515 	EXP 	window1: mouseVisible = False
17.8406 	EXP 	glasgow_face_matching: status = STARTED
17.8409 	EXP 	window1: mouseVisible = True
18.0026 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='height', win=Window(...))
18.0029 	EXP 	window1: mouseVisible = True
18.0031 	EXP 	window1: mouseVisible = True
18.0037 	EXP 	window1: mouseVisible = True
18.0042 	EXP 	window1: mouseVisible = True
18.1580 	EXP 	window1: mouseVisible = True
18.1583 	EXP 	window1: mouseVisible = True
18.1591 	EXP 	window1: mouseVisible = True
18.1597 	EXP 	window1: mouseVisible = True
18.1704 	EXP 	window1: mouseVisible = True
18.3216 	EXP 	Created background_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='height', win=Window(...))
18.3217 	EXP 	window1: mouseVisible = True
18.3367 	EXP 	Created faces = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='faces', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.1, 0.8]), texRes=128, units='height', win=Window(...))
18.3370 	EXP 	window1: mouseVisible = True
18.3372 	EXP 	window1: mouseVisible = True
18.3377 	EXP 	window1: mouseVisible = True
18.3382 	EXP 	window1: mouseVisible = True
18.3420 	EXP 	window1: mouseVisible = True
18.3422 	EXP 	window1: mouseVisible = True
18.3427 	EXP 	window1: mouseVisible = True
18.3433 	EXP 	window1: mouseVisible = True
18.3482 	EXP 	window1: mouseVisible = True
18.3484 	EXP 	window1: mouseVisible = True
18.3490 	EXP 	window1: mouseVisible = True
18.3496 	EXP 	window1: mouseVisible = True
18.3782 	EXP 	window1: mouseVisible = True
18.3784 	EXP 	window1: mouseVisible = True
18.3791 	EXP 	window1: mouseVisible = True
18.3797 	EXP 	window1: mouseVisible = True
18.3840 	EXP 	window1: mouseVisible = True
18.5374 	EXP 	Created background_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.55, 1.  ]), texRes=128.0, units='height', win=Window(...))
18.5377 	EXP 	window1: mouseVisible = True
18.5378 	EXP 	window1: mouseVisible = True
18.5384 	EXP 	window1: mouseVisible = True
18.5389 	EXP 	window1: mouseVisible = True
18.5428 	EXP 	window1: mouseVisible = True
18.5429 	EXP 	window1: mouseVisible = True
18.5435 	EXP 	window1: mouseVisible = True
18.5440 	EXP 	window1: mouseVisible = True
18.5485 	EXP 	window1: mouseVisible = True
18.5488 	EXP 	window1: mouseVisible = True
18.5494 	EXP 	window1: mouseVisible = True
18.5500 	EXP 	window1: mouseVisible = True
18.5543 	EXP 	window1: mouseVisible = True
18.5545 	EXP 	window1: mouseVisible = True
18.5551 	EXP 	window1: mouseVisible = True
18.5557 	EXP 	window1: mouseVisible = True
18.5603 	EXP 	window1: mouseVisible = True
18.5605 	EXP 	window1: mouseVisible = True
18.5611 	EXP 	window1: mouseVisible = True
18.5617 	EXP 	window1: mouseVisible = True
18.5659 	EXP 	window1: mouseVisible = True
18.5661 	EXP 	window1: mouseVisible = True
18.5667 	EXP 	window1: mouseVisible = True
18.5672 	EXP 	window1: mouseVisible = True
18.5709 	EXP 	window1: mouseVisible = True
