imageFile,corrAns,sameOrDiff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,background.started,startKey.started,instructionstxt.started,Instructions.stopped,trial.started,background_2.started,faces.started,resp.started,trial_counter.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,background_3.started,textbox.started,background_3.stopped,textbox.stopped,feedback.stopped,thanks.started,background_4.started,endmsg.started,session,participant,date,expName,psychopyVersion,frameRate,expStart,
different/28b.png,right,different,0,0,0,33,2.611239599995315,,0.010924400005023926,0.023296100029256195,0.023296100029256195,0.023296100029256195,2.531751400034409,2.5433829000103287,2.611239599995315,2.611239599995315,2.611239599995315,2.611239599995315,5.47949170001084,left,0,2.8625027000089176,None,5.479999899980612,5.492023500031792,5.492023500031792,6.519105700019281,6.519105700019281,6.479580299986992,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
same/57c.png,left,same,0,1,1,2,6.519105700019281,,,,,,,6.479845000023488,6.519105700019281,6.519105700019281,6.519105700019281,6.519105700019281,6.9467185999965295,right,0,0.4185921999742277,None,6.9470387999899685,6.959237800037954,6.959237800037954,7.986236600030679,7.986236600030679,7.94671190000372,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
same/79a.png,left,same,0,2,2,13,7.986236600030679,,,,,,,7.946961000037845,7.986236600030679,7.986236600030679,7.986236600030679,7.986236600030679,8.25384890002897,right,0,0.25504439999349415,None,8.254205000004731,8.26643720001448,8.26643720001448,9.28006409999216,9.28006409999216,9.253964300034568,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
same/88b.png,left,same,0,3,3,17,9.28006409999216,,,,,,,9.254202599986456,9.28006409999216,9.28006409999216,9.28006409999216,9.28006409999216,9.654349600023124,right,0,0.36921749997418374,None,9.654661200009286,9.666964600037318,9.666964600037318,10.693972299981397,10.693972299981397,10.654416300007142,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
same/78a.png,left,same,0,4,4,12,10.693972299981397,,,,,,,10.654658499988727,10.693972299981397,10.693972299981397,10.693972299981397,10.693972299981397,10.85481729998719,right,0,0.15582280000671744,None,10.855136000027414,10.867357900016941,10.867357900016941,11.89443470002152,11.89443470002152,11.854842700005975,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
same/55a.png,left,same,0,5,5,0,11.89443470002152,,,,,,,11.85509720002301,11.89443470002152,11.89443470002152,11.89443470002152,11.89443470002152,12.108732799999416,right,0,0.21197860001120716,None,12.109070900012739,12.121195000014268,12.121195000014268,13.13482129998738,13.13482129998738,13.108603600005154,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
different/22a.png,right,different,0,6,6,28,13.13482129998738,,,,,,,13.10882840002887,13.13482129998738,13.13482129998738,13.13482129998738,13.13482129998738,13.429093700018711,right,1,0.29053390002809465,None,13.429448699986096,13.455011699988972,13.455011699988972,,,14.44211910001468,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
different/21a.png,right,different,0,7,7,27,14.482077600026969,,,,,,,14.442371800018009,14.482077600026969,14.482077600026969,14.482077600026969,14.482077600026969,14.750100200006273,right,1,0.2555232000304386,None,14.750822600035463,14.76217619999079,14.76217619999079,15.789201200008392,15.789201200008392,15.749569200037513,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
same/58a.png,left,same,0,8,8,3,15.789201200008392,,,,,,,15.749784199986607,15.789201200008392,15.789201200008392,15.789201200008392,15.789201200008392,16.576947800000198,right,0,0.7800231000292115,None,16.577263800019864,16.58951259998139,16.58951259998139,17.60321329999715,17.60321329999715,17.577003700018395,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
different/17a.png,right,different,0,9,9,24,17.60321329999715,,,,,,,17.577234100026544,17.60321329999715,17.60321329999715,17.60321329999715,17.60321329999715,18.59099190001143,right,1,0.9750659000128508,None,18.591295599995647,18.60359499999322,18.60359499999322,19.617273200012278,19.617273200012278,19.59112210001331,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
same/89a.png,left,same,0,10,10,18,19.617273200012278,,,,,,,19.591370399983134,19.617273200012278,19.617273200012278,19.617273200012278,19.617273200012278,20.631812800012995,left,1,1.0083178000058979,None,20.632118800014723,20.644342900021,20.644342900021,21.658059099980164,21.658059099980164,21.631778399983887,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
same/82a.png,left,same,0,11,11,15,21.658059099980164,,,,,,,21.632028300024103,21.658059099980164,21.658059099980164,21.658059099980164,21.658059099980164,22.659194600011688,left,1,0.9924497000174597,None,22.659503999981098,22.67179260001285,22.67179260001285,23.68547550000949,23.68547550000949,23.659293600008823,,,,001,cris,2024-03-27_12h34.50.473,GFMT_short,2023.2.3,74.99709386885895,2024-03-27 12h35.08.839062 -0300,
