Instructions.started,Instructions.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,imageFile,corrAns,sameOrDiff,thanks.started
0,9.633,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,,,,,,,,,,,,,,,,,
,,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,9.659,13.408,right,1,3.692,,13.409,14.408,0,0,0,8,1,different/025_235_L.jpg,right,different,
,,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,14.409,15.816,left,1,1.379,,15.818,16.816,0,1,1,1,1,same/139_DV_C2.jpg,left,same,
,,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,16.818,18.491,right,1,1.648,,18.491,19.492,0,2,2,7,1,different/019_074_L.jpg,right,different,
,,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,19.492,22.066,right,1,2.55,,22.066,23.067,0,3,3,9,1,different/049_218_L.jpg,right,different,
,,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,23.067,25.859,left,1,2.764,,25.86,26.859,0,4,4,2,1,same/168_C2_DV.jpg,left,same,
,,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,26.86,28.833,left,0,1.948,,28.833,29.833,0,5,5,11,1,different/077_133_R.jpg,right,different,
,,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,29.834,31.725,left,1,1.864,,31.725,32.725,0,6,6,4,1,same/235_C2_DV.jpg,left,same,
,,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,32.725,34.865,right,1,2.116,,34.866,35.866,0,7,7,10,1,different/076_109_R.jpg,right,different,
,,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,35.867,37.566,left,1,1.674,,37.567,38.566,0,8,8,0,1,same/136_C2_DV.jpg,left,same,
,,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,38.567,39.558,left,1,0.966,,39.558,40.557,0,9,9,3,1,same/170_DV_C2.jpg,left,same,
,,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,40.558,42.12,left,1,1.536,,42.12,43.115,0,10,10,5,1,same/303_DV_C2.jpg,left,same,
,,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,43.116,44.24,right,1,1.098,,44.24,45.241,0,11,11,6,1,different/013_235_R.jpg,right,different,
,,724451,001,2023-11-06_11h41.07.854,glasgow_face_matching,2023.2.2,Win32,119.9040767,,,,,,,,,,,,,,,,,45.241
