13.9297 	EXP 	window1: mouseVisible = True
13.9299 	EXP 	window1: mouseVisible = True
13.9305 	EXP 	window1: mouseVisible = True
13.9311 	EXP 	window1: mouseVisible = True
0.0154 	EXP 	instructionstxt: autoLog = True
0.0154 	EXP 	trial_counter: autoLog = True
0.0154 	EXP 	reminder: autoLog = True
0.0154 	EXP 	textbox: autoLog = True
0.0154 	EXP 	reminder_2: autoLog = True
0.0154 	EXP 	trial_counter_2: autoLog = True
0.0154 	EXP 	endmsg: autoLog = True
0.0413 	EXP 	background: autoDraw = True
0.0413 	EXP 	instructionstxt: autoDraw = True
1.9722 	EXP 	Imported conditions_short.xlsx as conditions, 40 conditions, 3 params
1.9730 	EXP 	Created sequence: random, trialTypes=40, nReps=1, seed=None
1.9732 	EXP 	New trial (rep=0, index=0): {'imageFile': 'same/55a.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
2.0517 	DATA 	Keypress: right
2.0687 	EXP 	background: autoDraw = False
2.0687 	EXP 	instructionstxt: autoDraw = False
2.0687 	EXP 	faces: image = 'same/55a.png'
2.0687 	EXP 	background_2: autoDraw = True
2.0687 	EXP 	faces: autoDraw = True
2.0687 	EXP 	trial_counter: autoDraw = True
2.0687 	EXP 	reminder: autoDraw = True
7.1547 	DATA 	Keypress: right
7.1638 	EXP 	background_2: autoDraw = False
7.1638 	EXP 	faces: autoDraw = False
7.1638 	EXP 	trial_counter: autoDraw = False
7.1638 	EXP 	reminder: autoDraw = False
7.1638 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
7.1638 	EXP 	background_3: autoDraw = True
7.1638 	EXP 	textbox: autoDraw = True
7.1638 	EXP 	reminder_2: autoDraw = True
7.1638 	EXP 	trial_counter_2: autoDraw = True
8.1512 	EXP 	New trial (rep=0, index=1): {'imageFile': 'same/98a.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
8.2042 	EXP 	background_3: autoDraw = False
8.2042 	EXP 	textbox: autoDraw = False
8.2042 	EXP 	reminder_2: autoDraw = False
8.2042 	EXP 	trial_counter_2: autoDraw = False
8.2042 	EXP 	faces: image = 'same/98a.png'
8.2042 	EXP 	background_2: autoDraw = True
8.2042 	EXP 	faces: autoDraw = True
8.2042 	EXP 	trial_counter: autoDraw = True
8.2042 	EXP 	reminder: autoDraw = True
8.8494 	DATA 	Keypress: left
8.8977 	EXP 	background_2: autoDraw = False
8.8977 	EXP 	faces: autoDraw = False
8.8977 	EXP 	trial_counter: autoDraw = False
8.8977 	EXP 	reminder: autoDraw = False
8.8977 	EXP 	textbox: foreColor = <psychopy.colors.Color: green, alpha=1.0>
8.8977 	EXP 	background_3: autoDraw = True
8.8977 	EXP 	textbox: autoDraw = True
8.8977 	EXP 	reminder_2: autoDraw = True
8.8977 	EXP 	trial_counter_2: autoDraw = True
9.8719 	EXP 	New trial (rep=0, index=2): {'imageFile': 'same/74a.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
9.9248 	EXP 	background_3: autoDraw = False
9.9248 	EXP 	textbox: autoDraw = False
9.9248 	EXP 	reminder_2: autoDraw = False
9.9248 	EXP 	trial_counter_2: autoDraw = False
