Instructions.started,Instructions.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,corrAns,sameOrDiff
0.0001,6.0221,248900,001,2024-01-03_17h19.49.750,glasgow_face_matching,2023.2.2,Win32,59.88023952,,,,,,,,,,
,,248900,001,2024-01-03_17h19.49.750,glasgow_face_matching,2023.2.2,Win32,59.88023952,6.0311,0,0,0,9,1,11,different/049_218_L.jpg,right,different
