9.6911 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
10.3913 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019C75A37C40>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019C75A37BE0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019C75A37A00>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000019C75DD7700>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.3914 	EXP 	window1: mouseVisible = True
10.3914 	EXP 	window1: backgroundImage = ''
10.3914 	EXP 	window1: backgroundFit = 'none'
10.3934 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.3934 	EXP 	window1: recordFrameIntervals = False
10.5243 	EXP 	window1: recordFrameIntervals = True
10.6712 	EXP 	Screen (0) actual frame rate measured at 74.95Hz
10.6712 	EXP 	window1: recordFrameIntervals = False
10.6713 	EXP 	window1: mouseVisible = False
13.4144 	EXP 	glasgow_face_matching: status = STARTED
13.4147 	EXP 	window1: mouseVisible = True
13.4905 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
13.4909 	EXP 	window1: mouseVisible = True
13.4910 	EXP 	window1: mouseVisible = True
13.4916 	EXP 	window1: mouseVisible = True
13.4923 	EXP 	window1: mouseVisible = True
13.5930 	EXP 	window1: mouseVisible = True
13.5932 	EXP 	window1: mouseVisible = True
13.5938 	EXP 	window1: mouseVisible = True
13.5943 	EXP 	window1: mouseVisible = True
13.6030 	EXP 	window1: mouseVisible = True
13.6742 	EXP 	Created background_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
13.6743 	EXP 	window1: mouseVisible = True
13.6882 	EXP 	Created faces = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='faces', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.1, 0.8]), texRes=128, units='height', win=Window(...))
13.6886 	EXP 	window1: mouseVisible = True
13.6887 	EXP 	window1: mouseVisible = True
13.6893 	EXP 	window1: mouseVisible = True
13.6899 	EXP 	window1: mouseVisible = True
13.6937 	EXP 	window1: mouseVisible = True
13.6939 	EXP 	window1: mouseVisible = True
13.6944 	EXP 	window1: mouseVisible = True
13.6950 	EXP 	window1: mouseVisible = True
13.6986 	EXP 	window1: mouseVisible = True
13.6988 	EXP 	window1: mouseVisible = True
13.6994 	EXP 	window1: mouseVisible = True
13.7000 	EXP 	window1: mouseVisible = True
13.7185 	EXP 	window1: mouseVisible = True
13.7186 	EXP 	window1: mouseVisible = True
13.7192 	EXP 	window1: mouseVisible = True
13.7197 	EXP 	window1: mouseVisible = True
13.7233 	EXP 	window1: mouseVisible = True
