imageFile,corrAns,sameOrDiff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,background.started,startKey.started,instructionstxt.started,Instructions.stopped,trial.started,background_2.started,faces.started,resp.started,trial_counter.started,reminder.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,background_3.started,textbox.started,reminder_2.started,trial_counter_2.started,feedback.stopped,thanks.started,background_4.started,endmsg.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
same/89a.png,left,same,0,0,0,18,23.034701900032815,,0.012709999980870634,0.03837610001210123,0.03837610001210123,0.03837610001210123,22.689326899999287,22.74029960000189,23.034701900032815,23.034701900032815,23.034701900032815,23.034701900032815,23.034701900032815,33.7316488000215,right,0,10.691717399982736,None,33.73214169999119,33.75753770000301,33.75753770000301,33.75753770000301,33.75753770000301,34.74466999998549,,,,860583,001,2024-03-27_13h58.52.896,glasgow_face_matching,2023.2.3,74.97049910870504,2024-03-27 13h59.18.634900 -0300,
different/19b.png,right,different,0,1,1,26,34.78461909998441,,,,,,,34.74492219998501,34.78461909998441,34.78461909998441,34.78461909998441,34.78461909998441,34.78461909998441,37.18629240000155,right,1,2.3892059000208974,None,37.18660940002883,37.232485999993514,37.232485999993514,37.232485999993514,37.232485999993514,38.19930729997577,,,,860583,001,2024-03-27_13h58.52.896,glasgow_face_matching,2023.2.3,74.97049910870504,2024-03-27 13h59.18.634900 -0300,
different/21a.png,right,different,0,2,2,27,38.239234899985604,,,,,,,38.1995419000159,38.239234899985604,38.239234899985604,38.239234899985604,38.239234899985604,38.239234899985604,40.36083660001168,right,1,2.1177412000251934,None,40.36116680002306,40.386698900023475,40.386698900023475,40.386698900023475,40.386698900023475,41.37390330003109,,,,860583,001,2024-03-27_13h58.52.896,glasgow_face_matching,2023.2.3,74.97049910870504,2024-03-27 13h59.18.634900 -0300,
different/7c.png,right,different,0,3,3,22,41.42724490002729,,,,,,,41.37429940002039,41.42724490002729,41.42724490002729,41.42724490002729,41.42724490002729,41.42724490002729,45.00251979997847,right,1,3.5627964999875985,None,45.00287000002572,45.028425900032744,45.028425900032744,45.028425900032744,45.028425900032744,46.01554460002808,,,,860583,001,2024-03-27_13h58.52.896,glasgow_face_matching,2023.2.3,74.97049910870504,2024-03-27 13h59.18.634900 -0300,
same/56a.png,left,same,0,4,4,1,46.05546210001921,,,,,,,46.015792199992575,46.05546210001921,46.05546210001921,46.05546210001921,46.05546210001921,46.05546210001921,47.39007900003344,right,0,1.3261427999823354,None,47.39041150000412,47.41601530002663,47.41601530002663,47.41601530002663,47.41601530002663,48.40315299999202,,,,860583,001,2024-03-27_13h58.52.896,glasgow_face_matching,2023.2.3,74.97049910870504,2024-03-27 13h59.18.634900 -0300,
different/17a.png,right,different,0,5,5,24,48.443062599981204,,,,,,,48.40342240000609,48.443062599981204,48.443062599981204,48.443062599981204,48.443062599981204,48.443062599981204,51.47189759998582,right,1,3.026225699984934,None,51.472300500026904,51.497548300016206,51.497548300016206,51.497548300016206,51.497548300016206,52.48464789998252,,,,860583,001,2024-03-27_13h58.52.896,glasgow_face_matching,2023.2.3,74.97049910870504,2024-03-27 13h59.18.634900 -0300,
same/69c.png,left,same,0,6,6,7,52.524572500027716,,,,,,,52.48489179997705,52.524572500027716,52.524572500027716,52.524572500027716,52.524572500027716,52.524572500027716,53.912549300002865,right,0,1.3772110000136308,None,53.91289089998463,53.938444300030824,53.938444300030824,53.938444300030824,53.938444300030824,54.92553990002489,,,,860583,001,2024-03-27_13h58.52.896,glasgow_face_matching,2023.2.3,74.97049910870504,2024-03-27 13h59.18.634900 -0300,
same/58a.png,left,same,0,7,7,3,54.96550550003303,,,,,,,54.925804500002414,54.96550550003303,54.96550550003303,54.96550550003303,54.96550550003303,54.96550550003303,55.57985490001738,right,0,0.6009130000020377,None,55.58017899998231,55.60578909999458,55.60578909999458,55.60578909999458,55.60578909999458,56.592861099983566,,,,860583,001,2024-03-27_13h58.52.896,glasgow_face_matching,2023.2.3,74.97049910870504,2024-03-27 13h59.18.634900 -0300,
same/84a.png,left,same,0,8,8,16,56.63278400001582,,,,,,,56.593114499992225,56.63278400001582,56.63278400001582,56.63278400001582,56.63278400001582,56.63278400001582,57.353904300020076,right,0,0.7090400999877602,None,57.35428879997926,57.379722199984826,57.379722199984826,57.379722199984826,57.379722199984826,58.366824400029145,,,,860583,001,2024-03-27_13h58.52.896,glasgow_face_matching,2023.2.3,74.97049910870504,2024-03-27 13h59.18.634900 -0300,
different/22a.png,right,different,0,9,9,28,58.42012560000876,,,,,,,58.36706880002748,58.42012560000876,58.42012560000876,58.42012560000876,58.42012560000876,58.42012560000876,59.15464510000311,right,1,0.7289085000520572,None,59.154969300027005,59.180386500025634,59.180386500025634,59.180386500025634,59.180386500025634,60.167540099995676,,,,860583,001,2024-03-27_13h58.52.896,glasgow_face_matching,2023.2.3,74.97049910870504,2024-03-27 13h59.18.634900 -0300,
