imageFile,corrAns,sameOrDiff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,background.started,startKey.started,instructionstxt.started,Instructions.stopped,trial.started,background_2.started,faces.started,resp.started,trial_counter.started,reminder.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,background_3.started,textbox.started,reminder_2.started,trial_counter_2.started,feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
same/74a.png,left,same,0,0,0,9,3.956508399976883,,0.009103799995500594,0.03480630001286045,0.03480630001286045,0.03480630001286045,3.863748100004159,3.87485680001555,3.956508399976883,3.956508399976883,3.956508399976883,3.956508399976883,3.956508399976883,8.772238900011871,right,0,4.807661200000439,None,8.772768199967686,8.79807710001478,8.79807710001478,8.79807710001478,8.79807710001478,9.820638899982441,827815,001,2024-03-27_13h29.46.270,glasgow_face_matching,2023.2.3,75.00322512612925,2024-03-27 13h32.03.303482 -0300,
different/18a.png,right,different,0,1,1,25,10.025314799975604,,,,,,,9.822041800012812,10.025314799975604,10.025314799975604,10.025314799975604,10.025314799975604,10.025314799975604,12.293426399992313,right,1,2.259469899989199,None,12.293731899990235,12.31936909997603,12.31936909997603,12.31936909997603,12.31936909997603,13.306528299988713,827815,001,2024-03-27_13h29.46.270,glasgow_face_matching,2023.2.3,75.00322512612925,2024-03-27 13h32.03.303482 -0300,
same/56a.png,left,same,0,2,2,1,13.34640949999448,,,,,,,13.306789900001604,13.34640949999448,13.34640949999448,13.34640949999448,13.34640949999448,13.34640949999448,15.201399600016885,right,0,1.8420012000133283,None,15.201816299988423,15.227136800007429,15.227136800007429,15.227136800007429,15.227136800007429,16.214246699993964,827815,001,2024-03-27_13h29.46.270,glasgow_face_matching,2023.2.3,75.00322512612925,2024-03-27 13h32.03.303482 -0300,
same/55a.png,left,same,0,3,3,0,16.254210799990688,,,,,,,16.214460799994413,16.254210799990688,16.254210799990688,16.254210799990688,16.254210799990688,16.254210799990688,17.308969200006686,right,0,1.0536944000050426,None,17.30934300000081,17.334618099965155,17.334618099965155,17.334618099965155,17.334618099965155,18.335283199965488,827815,001,2024-03-27_13h29.46.270,glasgow_face_matching,2023.2.3,75.00322512612925,2024-03-27 13h32.03.303482 -0300,
different/11b.png,right,different,0,4,4,23,18.401680800016038,,,,,,,18.335852499993052,18.401680800016038,18.401680800016038,18.401680800016038,18.401680800016038,18.401680800016038,19.269499899994116,right,1,0.8580353000434116,None,19.26985679997597,19.29532009997638,19.29532009997638,19.29532009997638,19.29532009997638,20.282424499979243,827815,001,2024-03-27_13h29.46.270,glasgow_face_matching,2023.2.3,75.00322512612925,2024-03-27 13h32.03.303482 -0300,
different/17a.png,right,different,0,5,5,24,20.322317000012845,,,,,,,20.282674000016414,20.322317000012845,20.322317000012845,20.322317000012845,20.322317000012845,20.322317000012845,20.789982500020415,right,1,0.4567715000011958,None,20.790329099982046,20.815868799982127,20.815868799982127,20.815868799982127,20.815868799982127,21.803012099990156,827815,001,2024-03-27_13h29.46.270,glasgow_face_matching,2023.2.3,75.00322512612925,2024-03-27 13h32.03.303482 -0300,
different/26b.png,right,different,0,6,6,31,21.84295929997461,,,,,,,21.803275000012945,21.84295929997461,21.84295929997461,21.84295929997461,21.84295929997461,21.84295929997461,22.110502899973653,right,1,0.2562076000031084,None,22.11082770000212,22.13638300000457,22.13638300000457,22.13638300000457,22.13638300000457,23.123511600017082,827815,001,2024-03-27_13h29.46.270,glasgow_face_matching,2023.2.3,75.00322512612925,2024-03-27 13h32.03.303482 -0300,
same/58a.png,left,same,0,7,7,3,23.163407500018366,,,,,,,23.123750999977347,23.163407500018366,23.163407500018366,23.163407500018366,23.163407500018366,23.163407500018366,23.190921999979764,right,0,0.024430899997241795,None,23.191220199980307,23.216793600004166,23.216793600004166,23.216793600004166,23.216793600004166,24.203885299968533,827815,001,2024-03-27_13h29.46.270,glasgow_face_matching,2023.2.3,75.00322512612925,2024-03-27 13h32.03.303482 -0300,
different/19b.png,right,different,0,8,8,26,24.243827499973122,,,,,,,24.204126099997666,24.243827499973122,24.243827499973122,24.243827499973122,24.243827499973122,24.243827499973122,24.64494420000119,right,1,0.39964050002163276,None,24.64531160000479,24.670675800007302,24.670675800007302,24.670675800007302,24.670675800007302,25.686573199986015,827815,001,2024-03-27_13h29.46.270,glasgow_face_matching,2023.2.3,75.00322512612925,2024-03-27 13h32.03.303482 -0300,
,,,,,,,25.737713799986523,,,,,,,25.687205499969423,25.737713799986523,25.737713799986523,25.737713799986523,25.737713799986523,25.737713799986523,,,,,,,,,,,,,,,,,,,
