7.8319 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
8.5795 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021D23707C40>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021D23707BE0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021D23707A00>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021D23AA7700>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.5796 	EXP 	window1: mouseVisible = True
8.5796 	EXP 	window1: backgroundImage = ''
8.5796 	EXP 	window1: backgroundFit = 'none'
8.5813 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.5813 	EXP 	window1: recordFrameIntervals = False
8.7125 	EXP 	window1: recordFrameIntervals = True
8.7531 	WARNING 	t of last frame was 25.10ms (=1/39)
8.8861 	EXP 	Screen (0) actual frame rate measured at 75.35Hz
8.8861 	EXP 	window1: recordFrameIntervals = False
8.8862 	EXP 	window1: mouseVisible = False
11.9315 	EXP 	glasgow_face_matching: status = STARTED
11.9318 	EXP 	window1: mouseVisible = True
12.1747 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
12.1751 	EXP 	window1: mouseVisible = True
12.1752 	EXP 	window1: mouseVisible = True
12.1759 	EXP 	window1: mouseVisible = True
12.1766 	EXP 	window1: mouseVisible = True
12.2825 	EXP 	window1: mouseVisible = True
12.2826 	EXP 	window1: mouseVisible = True
12.2832 	EXP 	window1: mouseVisible = True
12.2837 	EXP 	window1: mouseVisible = True
12.2925 	EXP 	window1: mouseVisible = True
12.5601 	EXP 	Created background_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='background.jpg', interpolate=True, mask=None, maskParams=None, name='background_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([2., 1.]), texRes=128.0, units='height', win=Window(...))
