25.4141 	EXP 	window1: mouseVisible = True
25.4149 	EXP 	window1: mouseVisible = True
25.4155 	EXP 	window1: mouseVisible = True
0.0152 	EXP 	instructionstxt: autoLog = True
0.0152 	EXP 	trial_counter: autoLog = True
0.0152 	EXP 	reminder: autoLog = True
0.0152 	EXP 	textbox: autoLog = True
0.0152 	EXP 	reminder_2: autoLog = True
0.0152 	EXP 	trial_counter_2: autoLog = True
0.0152 	EXP 	endmsg: autoLog = True
0.0279 	EXP 	background: autoDraw = True
0.0279 	EXP 	instructionstxt: autoDraw = True
42.5343 	EXP 	Imported conditions_short.xlsx as conditions, 40 conditions, 3 params
42.5351 	EXP 	Created sequence: random, trialTypes=40, nReps=1, seed=None
42.5353 	EXP 	New trial (rep=0, index=0): {'imageFile': 'same/89a.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
42.6000 	DATA 	Keypress: right
42.6174 	EXP 	background: autoDraw = False
42.6174 	EXP 	instructionstxt: autoDraw = False
42.6174 	EXP 	faces: image = 'same/89a.png'
42.6174 	EXP 	background_2: autoDraw = True
42.6174 	EXP 	faces: autoDraw = True
42.6174 	EXP 	trial_counter: autoDraw = True
42.6174 	EXP 	reminder: autoDraw = True
51.5407 	DATA 	Keypress: right
51.6073 	EXP 	background_2: autoDraw = False
51.6073 	EXP 	faces: autoDraw = False
51.6073 	EXP 	trial_counter: autoDraw = False
51.6073 	EXP 	reminder: autoDraw = False
51.6073 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
51.6073 	EXP 	background_3: autoDraw = True
51.6073 	EXP 	textbox: autoDraw = True
51.6073 	EXP 	reminder_2: autoDraw = True
51.6073 	EXP 	trial_counter_2: autoDraw = True
52.5679 	EXP 	New trial (rep=0, index=1): {'imageFile': 'same/81b.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
52.6075 	EXP 	background_3: autoDraw = False
52.6075 	EXP 	textbox: autoDraw = False
52.6075 	EXP 	reminder_2: autoDraw = False
52.6075 	EXP 	trial_counter_2: autoDraw = False
52.6075 	EXP 	faces: image = 'same/81b.png'
52.6075 	EXP 	background_2: autoDraw = True
52.6075 	EXP 	faces: autoDraw = True
52.6075 	EXP 	trial_counter: autoDraw = True
52.6075 	EXP 	reminder: autoDraw = True
53.1516 	DATA 	Keypress: right
53.1677 	EXP 	background_2: autoDraw = False
53.1677 	EXP 	faces: autoDraw = False
53.1677 	EXP 	trial_counter: autoDraw = False
53.1677 	EXP 	reminder: autoDraw = False
53.1677 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
53.1677 	EXP 	background_3: autoDraw = True
53.1677 	EXP 	textbox: autoDraw = True
53.1677 	EXP 	reminder_2: autoDraw = True
53.1677 	EXP 	trial_counter_2: autoDraw = True
54.1551 	EXP 	New trial (rep=0, index=2): {'imageFile': 'same/75c.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
54.1948 	EXP 	background_3: autoDraw = False
54.1948 	EXP 	textbox: autoDraw = False
54.1948 	EXP 	reminder_2: autoDraw = False
54.1948 	EXP 	trial_counter_2: autoDraw = False
54.1948 	EXP 	faces: image = 'same/75c.png'
54.1948 	EXP 	background_2: autoDraw = True
54.1948 	EXP 	faces: autoDraw = True
54.1948 	EXP 	trial_counter: autoDraw = True
54.1948 	EXP 	reminder: autoDraw = True
57.5342 	DATA 	Keypress: escape
57.6099 	EXP 	glasgow_face_matching: status = STOPPED
57.6227 	EXP 	background_2: autoDraw = False
57.6227 	EXP 	faces: autoDraw = False
57.6227 	EXP 	trial_counter: autoDraw = False
57.6227 	EXP 	reminder: autoDraw = False
57.6228 	EXP 	glasgow_face_matching: status = STOPPED
57.7237 	EXP 	window1: mouseVisible = True
