imageFile,corrAns,sameOrDiff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,background.started,startKey.started,instructionstxt.started,Instructions.stopped,trial.started,background_2.started,faces.started,resp.started,trial_counter.started,reminder.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,background_3.started,textbox.started,reminder_2.started,trial_counter_2.started,feedback.stopped,background_3.stopped,textbox.stopped,reminder_2.stopped,trial_counter_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
different/17a.png,right,different,0,0,0,24,5.215675999992527,,0.014949099975638092,0.026792599994223565,0.026792599994223565,0.026792599994223565,5.122861799958628,5.132494499965105,5.215675999992527,5.215675999992527,5.215675999992527,5.215675999992527,5.215675999992527,9.97786859999178,left,0,4.760507899976801,None,9.978413999953773,10.003851899993606,10.003851899993606,10.003851899993606,10.003851899993606,10.990931599983014,,,,,631784,001,2024-04-16_12h30.28.487,glasgow_face_matching,2023.2.3,74.96954361573202,2024-04-16 12h30.40.463764 -0400,
same/98a.png,left,same,0,1,1,19,11.030892799957655,,,,,,,10.99114479997661,11.030892799957655,11.030892799957655,11.030892799957655,11.030892799957655,11.030892799957655,12.37870409997413,right,0,1.3375452000182122,None,12.378991399949882,12.404720299993642,12.404720299993642,12.404720299993642,12.404720299993642,13.3918391999905,,,,,631784,001,2024-04-16_12h30.28.487,glasgow_face_matching,2023.2.3,74.96954361573202,2024-04-16 12h30.40.463764 -0400,
different/25a.png,right,different,0,2,2,30,13.431724399968516,,,,,,,13.392100500001106,13.431724399968516,13.431724399968516,13.431724399968516,13.431724399968516,13.431724399968516,14.206035999988671,left,0,0.7609483000123873,None,14.206323099962901,14.232079899986275,14.232079899986275,14.232079899986275,14.232079899986275,15.21915729995817,,,,,631784,001,2024-04-16_12h30.28.487,glasgow_face_matching,2023.2.3,74.96954361573202,2024-04-16 12h30.40.463764 -0400,
different/22a.png,right,different,0,3,3,28,15.259116199973505,,,,,,,15.219380599970464,15.259116199973505,15.259116199973505,15.259116199973505,15.259116199973505,15.259116199973505,16.513679299969226,left,0,1.253024599980563,None,16.513953699963167,16.52624849998392,16.52624849998392,16.52624849998392,16.52624849998392,17.513684699952137,17.553304499946535,17.553304499946535,17.553304499946535,17.553304499946535,631784,001,2024-04-16_12h30.28.487,glasgow_face_matching,2023.2.3,74.96954361573202,2024-04-16 12h30.40.463764 -0400,
same/58a.png,left,same,0,4,4,3,17.553304499946535,,,,,,,17.513894599978812,17.553304499946535,17.553304499946535,17.553304499946535,17.553304499946535,17.553304499946535,18.741167399974074,right,0,1.1827466000104323,None,18.741474899987224,18.767096799972933,18.767096799972933,18.767096799972933,18.767096799972933,19.75419690000126,,,,,631784,001,2024-04-16_12h30.28.487,glasgow_face_matching,2023.2.3,74.96954361573202,2024-04-16 12h30.40.463764 -0400,
different/27b.png,right,different,0,5,5,32,19.794173299975228,,,,,,,19.754420699959155,19.794173299975228,19.794173299975228,19.794173299975228,19.794173299975228,19.794173299975228,20.835314799973276,left,0,1.0383818999980576,None,20.83563960000174,20.861283399979584,20.861283399979584,20.861283399979584,20.861283399979584,21.848402999981772,,,,,631784,001,2024-04-16_12h30.28.487,glasgow_face_matching,2023.2.3,74.96954361573202,2024-04-16 12h30.40.463764 -0400,
different/35b.png,right,different,0,6,6,37,21.8882992999861,,,,,,,21.848623299971223,21.8882992999861,21.8882992999861,21.8882992999861,21.8882992999861,21.8882992999861,22.836188299988862,right,1,0.9361229999922216,None,22.83648119994905,22.861941099981777,22.861941099981777,22.861941099981777,22.861941099981777,23.849059999978635,,,,,631784,001,2024-04-16_12h30.28.487,glasgow_face_matching,2023.2.3,74.96954361573202,2024-04-16 12h30.40.463764 -0400,
same/75c.png,left,same,0,7,7,10,23.95567719999235,,,,,,,23.849274999985937,23.95567719999235,23.95567719999235,23.95567719999235,23.95567719999235,23.95567719999235,24.756753999972716,right,0,0.7965665999799967,None,24.75706719997106,24.78266089997487,24.78266089997487,24.78266089997487,24.78266089997487,25.76978339999914,,,,,631784,001,2024-04-16_12h30.28.487,glasgow_face_matching,2023.2.3,74.96954361573202,2024-04-16 12h30.40.463764 -0400,
different/40b.png,right,different,0,8,8,39,25.809719899960328,,,,,,,25.770006299950182,25.809719899960328,25.809719899960328,25.809719899960328,25.809719899960328,25.809719899960328,32.51963599998271,right,1,6.702200400002766,None,32.519949199981056,32.54554699995788,32.54554699995788,32.54554699995788,32.54554699995788,33.53267089999281,,,,,631784,001,2024-04-16_12h30.28.487,glasgow_face_matching,2023.2.3,74.96954361573202,2024-04-16 12h30.40.463764 -0400,
same/84a.png,left,same,0,9,9,16,33.57260179996956,,,,,,,33.53289039997617,33.57260179996956,33.57260179996956,33.57260179996956,33.57260179996956,33.57260179996956,34.186959599959664,right,0,0.610996899951715,None,34.18727009999566,34.21281810000073,34.21281810000073,34.21281810000073,34.21281810000073,35.19994569994742,,,,,631784,001,2024-04-16_12h30.28.487,glasgow_face_matching,2023.2.3,74.96954361573202,2024-04-16 12h30.40.463764 -0400,
same/89a.png,left,same,0,10,10,18,35.2398811999592,,,,,,,35.200152799952775,35.2398811999592,35.2398811999592,35.2398811999592,35.2398811999592,35.2398811999592,35.907643499958795,left,1,0.6565235999878496,None,35.9079580999678,35.93348269996932,35.93348269996932,35.93348269996932,35.93348269996932,36.92064259998733,,,,,631784,001,2024-04-16_12h30.28.487,glasgow_face_matching,2023.2.3,74.96954361573202,2024-04-16 12h30.40.463764 -0400,
