Instructions.started,Instructions.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,imageFile,corrAns,sameOrDiff,thanks.started
0.0004,15.5968,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,
,,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,15.6195,19.4371,right,1,3.7576,,19.4373,20.4354,0,0,0,10,1,different/076_109_R.jpg,right,different,
,,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,20.4359,24.6209,right,1,4.1566,,24.6209,25.6196,0,1,1,6,1,different/013_235_R.jpg,right,different,
,,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,25.6201,28.0017,right,0,2.3537,,28.0017,29.0016,0,2,2,5,1,same/303_DV_C2.jpg,left,same,
,,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,29.0021,31.6685,left,0,2.6413,,31.6686,32.6707,0,3,3,8,1,different/025_235_L.jpg,right,different,
,,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,32.6711,34.2354,right,1,1.5386,,34.2355,35.2363,0,4,4,11,1,different/077_133_R.jpg,right,different,
,,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,35.2366,36.5519,right,0,1.2843,,36.5519,37.5548,0,5,5,2,1,same/168_C2_DV.jpg,left,same,
,,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,37.5553,40.1369,right,0,2.5505,,40.137,41.1363,0,6,6,1,1,same/139_DV_C2.jpg,left,same,
,,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,41.1366,46.2513,left,1,5.0909,,46.2513,47.2538,0,7,7,3,1,same/170_DV_C2.jpg,left,same,
,,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,47.2541,50.2842,right,1,3.0053,,50.2842,51.2848,0,8,8,7,1,different/019_074_L.jpg,right,different,
,,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,51.2853,55.5519,left,1,4.2353,,55.5519,56.5512,0,9,9,4,1,same/235_C2_DV.jpg,left,same,
,,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,56.5517,61.8844,left,0,5.3049,,61.8844,62.8857,0,10,10,9,1,different/049_218_L.jpg,right,different,
,,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,62.886,64.1689,right,0,1.2587,,64.1689,65.1687,0,11,11,0,1,same/136_C2_DV.jpg,left,same,
,,538002,001,2024-01-06_16h29.52.435,glasgow_face_matching,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,65.1692
