S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,CorrAns3,CorrAns4,CorrAns5,CorrAns6,CorrAns7,CorrAns8,CorrAns9,CorrAns10,CorrAns11,CorrAns12,CorrAns13,CorrAns14,CorrAns15,CorrAns16,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instr.started,Instr.stopped,InstrForward.started,InstrForward.stopped,routine_roundTrial.started,routine_roundTrial.stopped,routine_presTrial.started,routine_presTrial.stopped,routine_RespTrial.started,recall_resp,routine_RespTrial.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,routine_go.started,text_go.started,key_resp_5.started,routine_go.stopped,routine_round.started,routine_round.stopped,routine_Dpres.started,routine_Dpres.stopped,DS,routine_Dresp.started,routine_Dresp.stopped,key_resp2_2.keys,key_resp2_2.corr,key_resp2_2.rt,key_resp2_2.duration,score,participant,session,date,expName,psychopyVersion,frameRate,expStart,
8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"['8', '1', '6']",None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,28.190413800009992,,0.06352849997347221,2.234759899962228,2.2347736000083387,2.915082599967718,14.402631199976895,16.98701099999016,16.987026699993294,20.495708099973854,20.49575719999848,816,23.802878699963912,"['1', '2', '3', '4']",0,"[1.9138026000000536, 2.1371780000044964, 2.3855224999715574, 2.633896499988623, 3.289485599962063]","[None, None, None, None, None]",23.803207799966913,24.309248599980492,24.309248599980492,27.99135009996826,28.12976239999989,38.08818739996059,38.08820880000712,41.59583179996116,3,41.595846299955156,44.86403239995707,"['8', '1', '6']",0,"[1.3482866000267677, 1.924830700038001, 2.5969754999969155, 3.2522892000270076]","[None, None, None, None]",1,cris,001,2024-03-06_13h25.59.133,DS_Adapt1L,2023.2.3,74.93381472322318,2024-03-06 13h26.13.924525 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.876647599972785,,,,,,,,,,,,,,,,,,,,,44.86467579996679,48.30531649995828,48.305329700000584,,,,,,,,,,,,,,,,,
