mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[-0.2682291666666667,-0.2604166666666667,0.2760416666666667,0.26953125,0,0.3450520833333333]","[0.06770833333333333,-0.020833333333333332,0.0234375,-0.2942708333333333,-0.005208333333333333,0.3059895833333333]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.9502149999607354,1.3356999999377877,1.9665200000163168,2.5192849999293685,3.1021049998234957,3.7665799998212606]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,Jennalsh,2021-06-06_17h16.38.214,corsi-backward,2021.1.2,Win32,60.04202942,,
"[0.024739583333333332,0.2864583333333333,-0.06510416666666667,-0.23046875,-0.2643229166666667]","[0.33203125,0.3059895833333333,-0.29296875,0.2955729166666667,-0.2591145833333333]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.0472999999765307,2.516685000155121,3.2308100000955164,3.7506650001741946,4.34980500000529]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,Jennalsh,2021-06-06_17h16.38.214,corsi-backward,2021.1.2,Win32,60.04202942,,
"[0.2838541666666667,0.3411458333333333,-0.05078125,0.049479166666666664,0.018229166666666668,0.0026041666666666665]","[0.3411458333333333,-0.026041666666666668,0.010416666666666666,0.22916666666666666,-0.2760416666666667,-0.2903645833333333]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.1662399999331683,1.6662349998950958,2.0998700000345707,2.503030000021681,3.0519599998369813,3.299970000050962]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,Jennalsh,2021-06-06_17h16.38.214,corsi-backward,2021.1.2,Win32,60.04202942,,
"[0.23828125,0.3463541666666667,0.32421875,0.2513020833333333,0.032552083333333336,-0.01953125]","[0.296875,-0.018229166666666668,0.014322916666666666,-0.3268229166666667,0.08333333333333333,0.29296875]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.5329400000628084,1.0328349999617785,1.4854899998754263,2.102405000012368,2.618904999922961,3.0355950000230223]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,Jennalsh,2021-06-06_17h16.38.214,corsi-backward,2021.1.2,Win32,60.04202942,,
"[0.016927083333333332,0.3372395833333333,-0.0234375,0.23307291666666666,0.2565104166666667,0.29296875]","[-0.2682291666666667,-0.07942708333333333,-0.036458333333333336,0.3502604166666667,0.2682291666666667,-0.2630208333333333]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.5830699999351054,2.1527899999637157,2.6832000000867993,3.1855049999430776,3.5357200000435114,4.235919999890029]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,Jennalsh,2021-06-06_17h16.38.214,corsi-backward,2021.1.2,Win32,60.04202942,,
,,,,,,,,,,,,,,,Jennalsh,2021-06-06_17h16.38.214,corsi-backward,2021.1.2,Win32,60.04202942,space,3.14196
