mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate
"[-0.252662353515625,-0.2688886854383681,-0.006883477105034722,0.00148193359375,-0.03107062445746528]","[-0.2945952690972222,0.28166793823242187,-0.28009521484375,0.322838863796658,0.03478257921006944]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8513999999985131,1.7817999999970198,2.5316999999992547,3.316199999999256,3.8654999999999973]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,nicemalo,2021-06-15_21h48.46.860,corsi-backward,2021.1.2,MacIntel,60.0024001
"[-0.011904771592881945,0.2816077338324653,-0.27906304253472225,-0.0021527099609375,-0.07989142523871527]","[0.23714196099175347,0.0014190334743923612,0.292059071858724,0.04281314425998264,-0.2675086127387153]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.082800000000745,1.884600000001491,2.6008000000007456,3.1670000000000016,3.8016000000014856]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,nicemalo,2021-06-15_21h48.46.860,corsi-backward,2021.1.2,MacIntel,60.0024001
"[-0.2538184271918403,0.030674167209201388,0.2622085910373264,0.29322801378038194,-0.26382849799262154,-0.25769036187065975]","[-0.0016399468315972223,0.297427486843533,-0.017788831922743057,-0.03157355414496528,-0.29025160047743054,0.23762174818250867]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.7665000000000006,1.3336000000014963,1.999900000002242,2.4835000000000065,3.133199999999256,3.783699999999257]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,nicemalo,2021-06-15_21h48.46.860,corsi-backward,2021.1.2,MacIntel,60.0024001
"[0.32113267686631947,-0.020000745985243054,-0.04087639702690972,-0.04087639702690972,-0.26477718777126735,-0.3031808132595486]","[0.2779362318250868,0.0029564751519097223,-0.2294994439019097,-0.2525171576605903,0.2743873257107205,0.00042012532552083336]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.36599999999999966,1.066999999999993,1.750699999999263,2.18359999999776,2.8825999999977725,3.3655999999977624]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,nicemalo,2021-06-15_21h48.46.860,corsi-backward,2021.1.2,MacIntel,60.0024001
"[0.02259311252170139,-0.30743133544921875,-0.30784149169921876,-0.22456108940972222,0.19817864312065972,0.21679490831163195,0.24103190104166666]","[0.3292172071668837,-0.2817108154296875,-0.31496412489149306,0.0759383816189236,0.006534762912326389,0.0033768717447916667,-0.2574515787760417]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[0.5326000000014801,1.150100000001487,1.4826999999992552,2.01630000000074,2.683100000001488,3.083500000000001,3.567600000001491]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,nicemalo,2021-06-15_21h48.46.860,corsi-backward,2021.1.2,MacIntel,60.0024001
