12.8454 	EXP 	window1: mouseVisible = True
12.8465 	EXP 	Created blk3 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1, name='blk3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
12.8466 	EXP 	window1: mouseVisible = True
12.8477 	EXP 	Created blk4 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1, name='blk4', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
12.8477 	EXP 	window1: mouseVisible = True
12.8489 	EXP 	Created blk5 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1, name='blk5', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
12.8490 	EXP 	window1: mouseVisible = True
12.8491 	EXP 	window1: mouseVisible = True
12.8749 	EXP 	Created rng_instr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='rng_instr', opacity=1.0, ori=0.0, pos=array([0.  , 0.15]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.8751 	EXP 	window1: mouseVisible = True
12.8763 	EXP 	Created rng_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='rng_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
12.8763 	INFO 	keyboard.Keyboard is using iohub backend.
0.0363 	INFO 	Keyboard events cleared
0.0360 	EXP 	instrText: autoDraw = True
1.3231 	DEBUG 	Read excel file with openpyxl: conditions.xlsx
1.3233 	EXP 	Imported conditions.xlsx as conditions, 1 conditions, 2 params
1.3237 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
1.3239 	EXP 	New trial (rep=0, index=0): {'sequence': ['blk1', 'blk2', 'blk3', 'blk4', 'blk5'], 'blockDuration': 0.5}
1.3299 	EXP 	instrText: autoDraw = False
1.3299 	EXP 	blank: autoDraw = True
1.8371 	EXP 	blank: autoDraw = False
1.8371 	EXP 	blk1: foreColor = 'white'
1.8371 	EXP 	blk1: fillColor = 'white'
1.8371 	EXP 	blk1: borderColor = 'white'
1.8371 	EXP 	blk1: color = 'white'
1.8371 	EXP 	blk2: foreColor = 'white'
1.8371 	EXP 	blk2: fillColor = 'white'
1.8371 	EXP 	blk2: borderColor = 'white'
1.8371 	EXP 	blk2: color = 'white'
1.8371 	EXP 	blk3: foreColor = 'white'
1.8371 	EXP 	blk3: fillColor = 'white'
1.8371 	EXP 	blk3: borderColor = 'white'
1.8371 	EXP 	blk3: color = 'white'
1.8371 	EXP 	blk4: foreColor = 'white'
1.8371 	EXP 	blk4: fillColor = 'white'
