mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[-0.2966666666666667,-0.043333333333333335,-0.31555555555555553,-0.27,0.31777777777777777]","[-0.06555555555555556,-0.2911111111111111,-0.30666666666666664,0.2688888888888889,0.2588888888888889]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[3.5260000000000105,4.749000000000009,5.766000000000005,6.811000000000007,7.6229999999999976]","[""blk5"",""blk3"",""blk2"",""blk1"",""blk4""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,5b233660648d5b0001b7de87,2022-05-18_17h51.48.344,corsi-backward,2021.1.2,Win32,2.401306311,,
"[-0.21333333333333335,-0.28,-0.3,-0.28888888888888886,0.29444444444444445,0.021111111111111112]","[-0.01,-0.32222222222222224,0.24,0.27111111111111114,-0.2733333333333333,0.04666666666666667]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.3979999999999961,3.094999999999999,4.260999999999996,4.9669999999999845,6.590000000000003,9.389999999999986]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,5b233660648d5b0001b7de87,2022-05-18_17h51.48.344,corsi-backward,2021.1.2,Win32,2.401306311,,
"[-0.2877777777777778,-0.2677777777777778,0.0011111111111111111,0.2722222222222222,-0.03222222222222222]","[0.03333333333333333,-0.34,-0.3244444444444444,0.05333333333333334,0.3466666666666667]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.981000000000023,2.0060000000000002,2.8770000000000095,3.865000000000009,4.804000000000002]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,5b233660648d5b0001b7de87,2022-05-18_17h51.48.344,corsi-backward,2021.1.2,Win32,2.401306311,,
"[-0.2688888888888889,-0.30333333333333334,-0.32666666666666666,-0.0033333333333333335,0.011111111111111112]","[0.26222222222222225,-0.01888888888888889,-0.22444444444444445,-0.29333333333333333,-0.04]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.1340000000000146,1.990000000000009,2.7609999999999957,4.916000000000025,5.825000000000017]","[""blk1"",""blk2"",""blk3"",""blk5"",""blk4""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,5b233660648d5b0001b7de87,2022-05-18_17h51.48.344,corsi-backward,2021.1.2,Win32,2.401306311,,
"[0.23666666666666666,0.21666666666666667,-0.24444444444444444,-0.3111111111111111,-0.07555555555555556]","[-0.08444444444444445,-0.09,-0.2833333333333333,0.23777777777777778,0.2677777777777778]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.7469999999999857,6.717999999999989,9.469999999999999,10.365999999999985,11.033999999999992]","[""blk1"",""blk1"",""blk4"",""blk3"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,5b233660648d5b0001b7de87,2022-05-18_17h51.48.344,corsi-backward,2021.1.2,Win32,2.401306311,,
,,,,,,,,,,,,,,,5b233660648d5b0001b7de87,2022-05-18_17h51.48.344,corsi-backward,2021.1.2,Win32,2.401306311,space,13.301
