mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.061173638237847223,-0.30940989176432293,-0.012045694986979166,0.3125758870442708,0.23190355088975695]","[-0.26407585991753474,0.003917744954427083,0.27952207777235244,0.2997796291775174,-0.24931220160590278]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.48379999999981393,1.2836000000000922,2.267600000000094,3.119100000000092,3.9834999999999994]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,rachw,2021-06-12_14h14.26.299,corsi-backward,2021.1.2,MacIntel,59.99880002,,
"[-0.01772427029079861,-0.2523077392578125,-0.017642144097222222,-0.0065789794921875,0.008068440755208333,0.2973736572265625]","[-0.29302598741319447,0.2604791937934028,0.27793082343207465,0.010790167914496527,0.009581434461805555,0.2804354349772135]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.9473999999999059,1.7976000000000916,3.714600000000093,4.214399999999905,4.530899999999907,5.315600000000092]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,rachw,2021-06-12_14h14.26.299,corsi-backward,2021.1.2,MacIntel,59.99880002,,
"[0.3349542236328125,0.2843423800998264,0.27411756727430553,-0.3297354465060764,0.025788777669270832]","[0.042796156141493055,0.24514229668511284,-0.27788804796006944,0.32686692979600696,0.2768392774793837]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.0636000000000934,1.5978999999999104,2.2142999999998167,2.949299999999816,3.53089999999991]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,rachw,2021-06-12_14h14.26.299,corsi-backward,2021.1.2,MacIntel,59.99880002,,
"[-0.031515231662326386,-0.26256490071614585,-0.3187052069769965,-0.3348648410373264,0.016150919596354167,0.24405131022135418]","[0.043100111219618056,0.30418896145290797,0.33423144870334204,-0.2584197998046875,0.24251580132378472,-0.29489203559027777]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.9152999999998173,1.6151000000000977,2.6502999999998167,3.432100000000098,4.450600000000094,5.282299999999815]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,rachw,2021-06-12_14h14.26.299,corsi-backward,2021.1.2,MacIntel,59.99880002,,
"[-0.26926561143663197,0.22633551703559027,0.24867024739583332,0.017196926540798612,0.017196926540798612,0.23554728190104166]","[0.2779100545247396,-0.20527248806423612,-0.252318115234375,-0.2858941650390625,-0.015616861979166667,-0.015857374403211805]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.46650000000000347,1.2666000000000963,1.7165000000000035,2.349499999999999,2.9018999999999124,3.3997000000001876]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,rachw,2021-06-12_14h14.26.299,corsi-backward,2021.1.2,MacIntel,59.99880002,,
,,,,,,,,,,,,,,,rachw,2021-06-12_14h14.26.299,corsi-backward,2021.1.2,MacIntel,59.99880002,space,7.6216
