mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.002485198974609375,-0.3261255645751953,-0.3252960205078125,0.26237342834472654,0.05553131103515625]","[-0.06197101593017578,0.2452559280395508,-0.30259483337402343,-0.22471778869628906,0.26655696868896483]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8226999999880817,1.367199999988081,3.35160000002384,3.8679999999999986,4.336699999988081]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,nstaud,2021-06-17_19h27.08.529,corsi-backward,2021.1.2,MacIntel,59.97361161,,
"[0.289659423828125,-0.2795396423339844,-0.32076183319091794,-0.25981689453125,0.01804328918457031]","[0.31348237991333006,0.007364158630371094,0.3189682960510254,-0.24420112609863281,-0.35450637817382813]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.983699999988076,2.851699999988078,4.468899999976159,5.120600000023842,5.453300000011922]","[""blk5"",""blk2"",""blk4"",""blk3"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,nstaud,2021-06-17_19h27.08.529,corsi-backward,2021.1.2,MacIntel,59.97361161,,
"[0.2759207153320313,-0.011599807739257813,0.26873046875,-0.3556877899169922,0.06026519775390625]","[0.012132034301757813,-0.04736595153808594,0.3086282920837402,-0.04275146484375,0.295550537109375]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.5672000000476842,2.0184000000357614,4.485700000047686,5.086300000011924,5.620900000035768]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,nstaud,2021-06-17_19h27.08.529,corsi-backward,2021.1.2,MacIntel,59.97361161,,
"[-0.33496559143066407,0.004815521240234375,0.18507400512695313,0.2227557373046875,-0.27277542114257813,-0.269939079284668]","[0.2584792900085449,0.2339703369140625,0.255128173828125,0.255128173828125,-0.31866806030273437,-0.03422447204589844]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[2.5984000000357597,3.2326000000238437,3.6824999999999974,4.032700000047683,4.800100000023839,5.216499999999996]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,nstaud,2021-06-17_19h27.08.529,corsi-backward,2021.1.2,MacIntel,59.97361161,,
"[-0.32174068450927734,0.06638824462890625,0.3235927581787109,-0.26820343017578124,-0.022330856323242186]","[0.23954294204711915,0.011028060913085938,-0.31364830017089845,-0.3158900451660156,0.3625922584533691]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.0675999999642443,1.633299999952328,2.10269999998809,2.5520999999642413,3.034599999964243]","[""blk5"",""blk4"",""blk3"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,nstaud,2021-06-17_19h27.08.529,corsi-backward,2021.1.2,MacIntel,59.97361161,,
,,,,,,,,,,,,,,,nstaud,2021-06-17_19h27.08.529,corsi-backward,2021.1.2,MacIntel,59.97361161,space,12.3077
