mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.06451430559741256,-0.3233496503025512,0.034507638522057196,0.26122461081505277,-0.28222940282891607]","[0.24883308299887735,0.014336536595174327,-0.28795278240612365,0.033229623272249924,-0.2812847019990674]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.2714000000059613,3.1229000000059592,4.041300000011919,4.759400000005957,5.560900000005965]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,59d75f1b8fd07a0001841feb,2021-06-24_14h34.32.883,corsi-backward,2021.1.2,Win32,59.94125757,,
"[0.25233381432834057,0.26678146884610426,-0.28222940282891607,0.28011776532404,0.020059984004293503,-0.30223384754581967]","[0.3032896269504482,0.30884641714958805,-0.3135140851540787,-0.009001982241213177,-0.2812847019990674,-0.08124025483003164]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.2022999999821167,2.087299999982122,3.039199999988078,3.7572999999821164,4.492099999994039,5.443799999982119]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,59d75f1b8fd07a0001841feb,2021-06-24_14h34.32.883,corsi-backward,2021.1.2,Win32,59.94125757,,
"[0.34235381555440664,0.3434651735942346,-0.2388864731915808,0.30567900024008343,-0.005501250911749954]","[0.2321627293594356,-0.3035118627956269,0.2899533304725125,-0.011224664404913324,0.3188486395080399]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8685000000000045,1.5699000000059584,2.6386000000238425,3.557000000000002,4.341900000005964]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,59d75f1b8fd07a0001841feb,2021-06-24_14h34.32.883,corsi-backward,2021.1.2,Win32,59.94125757,,
"[0.052289367159304816,-0.276672646545732,0.26344732689470873,0.3501333218332025,-0.3177928601034113]","[0.2466103669192214,-0.27350519572027154,-0.3257390235921864,0.2843965402733726,0.32329407166735175]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5674999999999955,1.3857999999821118,2.287599999994036,2.888699999988077,3.673599999994039]","[""blk5"",""blk4"",""blk2"",""blk3"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,59d75f1b8fd07a0001841feb,2021-06-24_14h34.32.883,corsi-backward,2021.1.2,Win32,59.94125757,,
"[-0.286674834988228,-0.039953350146417224,-0.023282979548997575,0.26344732689470873,-0.325572400298163]","[0.01989332679431421,0.04434320367052969,-0.3424093941896061,-0.050122195798892495,0.2988441947911363]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.3839000000059585,1.0350999999940385,1.619599999994044,2.4045999999940406,3.1393000000119216]","[""blk5"",""blk4"",""blk3"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,59d75f1b8fd07a0001841feb,2021-06-24_14h34.32.883,corsi-backward,2021.1.2,Win32,59.94125757,,
,,,,,,,,,,,,,,,59d75f1b8fd07a0001841feb,2021-06-24_14h34.32.883,corsi-backward,2021.1.2,Win32,59.94125757,space,9.1868
