mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.06155877976190476,-0.2638075474330357,0.02575526646205357,-0.27693568638392857,-0.2931857445126488]","[-0.24506568545386906,0.2945633225213914,0.02582307361421131,-0.02603248232886905,-0.3000001162574405]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.48389999999850986,1.2008999999985122,1.6999999999999993,2.2002000000029796,2.6996000000014924]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,cebritt,2021-06-14_14h39.35.484,corsi-backward,2021.1.2,MacIntel,60.0024001,,
"[0.2482310267857143,-0.27365699404761906,-0.27365699404761906,-0.26813005719866073,0.05926263718377976]","[-0.2944110398065476,-0.056072474888392856,-0.056072474888392856,0.32399659656343005,0.2931067911783854]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.40130000000447197,1.8663999999985101,2.3498000000044748,3.684100000001493,4.066300000004475]","[""blk4"",""blk5"",""blk5"",""blk3"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,cebritt,2021-06-14_14h39.35.484,corsi-backward,2021.1.2,MacIntel,60.0024001,,
"[-0.29815185546875,-0.266190418061756,-0.2799534970238095,0.3738349841889881,0.26187465122767856]","[-0.329939197358631,0.06205662318638393,0.2528607177734375,-0.055098993210565474,0.30997359502883187]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.435200000002979,1.1351000000014864,1.5836000000014891,2.1502000000029753,2.635200000002982]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,cebritt,2021-06-14_14h39.35.484,corsi-backward,2021.1.2,MacIntel,60.0024001,,
"[0.3039065987723214,-0.3167198544456845,-0.04499598911830357,-0.043179466610863096,0.3169102260044643]","[-0.3254400344122024,0.3095386904761905,0.2873640950520833,-0.35063802083333334,0.3112484159923735]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5493999999985135,1.249600000001493,1.6497999999970219,2.2497999999970233,2.8826999999955305]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,cebritt,2021-06-14_14h39.35.484,corsi-backward,2021.1.2,MacIntel,60.0024001,,
"[-0.24738717215401787,0.01605654761904762,0.31482840401785717,-0.1675227283296131,-0.2620315406436012,0.009330473400297619]","[0.30602899460565475,0.04455827985491071,0.020357230050223215,-0.2534358142671131,-0.2845690336681548,-0.3008868117559524]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.28279999999702454,0.8652999999970206,1.3987999999970242,2.3655000000000044,2.8485999999940432,3.415299999997025]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,cebritt,2021-06-14_14h39.35.484,corsi-backward,2021.1.2,MacIntel,60.0024001,,
,,,,,,,,,,,,,,,cebritt,2021-06-14_14h39.35.484,corsi-backward,2021.1.2,MacIntel,60.0024001,space,3.2322
