mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.2770833969116211,0.0298611323038737,0.03680557674831814,0.02152782016330295,-0.33541663487752277,0.36180559794108075]","[0.31458332803514266,-0.011805587344699435,0.20208332273695204,0.22986110051472983,0.021527767181396484,-0.29791667726304794]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[2.499899999976151,3.0998999999761736,3.4797000000477,3.8297999999523142,4.240000000000009,4.9297999999523086]","[""blk5"",""blk3"",""blk2"",""blk4"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,5edad5d3b940fe72e6c321ac,2022-06-25_14h04.29.397,corsi-backward,2021.1.2,Win32,99.9000999,,
"[-0.04791662428114149,-0.25555557674831814,0.33194446563720703,0.2972222434149848,0.30416668785942924,0.04305553436279297,-0.01111104753282335]","[0.03333330154418945,0.27222222752041286,0.08819444974263509,0.049999978807237416,-0.26527780956692165,-0.3159722222222222,-0.3111111323038737]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[1.6100999999046337,2.020199999928451,2.500199999928469,2.8401999999284726,3.2399999999999807,3.790099999904612,4.180099999904627]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,5edad5d3b940fe72e6c321ac,2022-06-25_14h04.29.397,corsi-backward,2021.1.2,Win32,99.9000999,,
"[-0.22361108991834852,0.28611108991834855,-0.2520833545260959,0.0076389312744140625,0.3291667302449544]","[0.22986110051472983,0.08055554495917426,0.004861089918348525,0.2666666507720947,-0.24305555555555555]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.0400000000000205,1.450000000000017,1.960000000000008,2.400100000023855,3.0702000000476914]","[""blk5"",""blk4"",""blk3"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,5edad5d3b940fe72e6c321ac,2022-06-25_14h04.29.397,corsi-backward,2021.1.2,Win32,99.9000999,,
"[-0.01111104753282335,-0.30763885709974503,0.2923611534966363,-0.27222220102945965,-0.009027798970540365]","[0.018749978807237413,-0.05763891008165148,-0.24513891008165148,0.375,-0.35902780956692165]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6402000000476846,1.3701000000238537,1.8302000000476824,2.3100000000000023,2.890100000023864]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,5edad5d3b940fe72e6c321ac,2022-06-25_14h04.29.397,corsi-backward,2021.1.2,Win32,99.9000999,,
"[-0.04722224341498481,0.25972228580051,0.3229166666666667,-0.004166603088378906,-0.2999999788072374]","[-0.26875003178914386,0.040972232818603516,0.28958332538604736,0.27222222752041286,-0.2881944444444444]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.650200000047704,2.1801000000238275,2.6599999999999966,3.6201000000238253,4.5901000000238525]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,5edad5d3b940fe72e6c321ac,2022-06-25_14h04.29.397,corsi-backward,2021.1.2,Win32,99.9000999,,
,,,,,,,,,,,,,,,5edad5d3b940fe72e6c321ac,2022-06-25_14h04.29.397,corsi-backward,2021.1.2,Win32,99.9000999,space,25.6159
