mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[-0.23055555555555557,-0.30277777777777776,-0.049074074074074076,0.2518518518518518,-0.011111111111111112]","[0.3333333333333333,0.030555555555555555,-0.2611111111111111,-0.36018518518518516,-0.032407407407407406]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.26640000009536635,0.8004999999999995,1.2666000001430504,1.6833000001907337,2.0839000000953654]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,byazdi,2021-10-15_19h48.37.184,corsi-backward,2021.1.2,Win32,59.5521677,,
"[-0.027777777777777776,0.29814814814814816,0.28888888888888886,-0.07407407407407407,0.30648148148148147]","[-0.26481481481481484,-0.049074074074074076,-0.2851851851851852,0.03518518518518519,0.33796296296296297]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.1830999999046341,0.6661999998092654,1.150299999952317,1.6832999999523182,2.249399999856948]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,byazdi,2021-10-15_19h48.37.184,corsi-backward,2021.1.2,Win32,59.5521677,,
"[-0.32222222222222224,0.31574074074074077,0.03888888888888889,0.35833333333333334,-0.032407407407407406]","[0.36203703703703705,-0.2935185185185185,-0.04537037037037037,-0.000925925925925926,0.30185185185185187]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.2160999999046318,0.7330999999046313,1.283099999904632,1.716900000095368,2.183]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,byazdi,2021-10-15_19h48.37.184,corsi-backward,2021.1.2,Win32,59.5521677,,
"[0.020370370370370372,0.21203703703703702,0.24814814814814815,-0.3101851851851852,0.34074074074074073,-0.2814814814814815]","[0.3074074074074074,0.29444444444444445,0.28703703703703703,-0.018518518518518517,-0.26666666666666666,-0.2916666666666667]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.05020000004768477,0.45060000014305146,0.7829999999999977,1.3167000000476818,1.8669999999999973,2.4669000000953645]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,byazdi,2021-10-15_19h48.37.184,corsi-backward,2021.1.2,Win32,59.5521677,,
"[0.25092592592592594,0.29259259259259257,-0.2722222222222222,-0.2861111111111111,-0.26481481481481484,0.001851851851851852]","[-0.2518518518518518,0.26296296296296295,-0.2537037037037037,0.01574074074074074,-0.025925925925925925,-0.29074074074074074]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.5669000000953659,1.0336000001430534,1.6000000000000014,2.017300000190737,2.2498000001907386,2.8166000001430547]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,byazdi,2021-10-15_19h48.37.184,corsi-backward,2021.1.2,Win32,59.5521677,,
,,,,,,,,,,,,,,,byazdi,2021-10-15_19h48.37.184,corsi-backward,2021.1.2,Win32,59.5521677,space,2.3964
