mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[-0.2768518427317893,0.25370372072966013,-0.06666665441460079,0.03240742113579203,0.0055555688838164015,0.27314816546384935,0.31203705493222783]","[0.26481481131028245,0.3203703676936803,-0.05092593413536196,-0.26203704839227376,-0.26481482621144364,-0.2870370487648028,-0.26111117896658487]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[0.5210000000000008,0.9649999999999963,1.4309999999999974,1.930500000000002,2.4467999999988805,2.6794999999999973,3.1132999999988797]","[""blk4"",""blk3"",""blk5"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,61121faf4b6c800869c9509d,2021-08-19_17h23.28.113,corsi-backward,2021.1.2,Win32,60.0024001,,
"[0.31018520305278124,-0.3240740656576775,-0.3555555476082696,-0.04999998749958144,-0.034259246524285386,0.5509259473808386,0.3703703891347956]","[-0.26296297433199706,-7.450580596923828e-9,-0.24351852959780781,0.22037036620356418,0.26388888537055916,0.3805555537756946,0.34814814588537923]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[0.24909999999962906,0.637799999998883,0.8516999999992549,1.131999999999998,1.7146999999992545,1.8643999999985112,2.1807999999988823]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,61121faf4b6c800869c9509d,2021-08-19_17h23.28.113,corsi-backward,2021.1.2,Win32,60.0024001,,
"[0.2759259432830192,-0.33611110287408036,-0.33888888069325024,-0.32962962129601725,0.013888902341326078,0.3425926109430967]","[-0.042592600677852276,-0.340740753268754,0.3333333308498065,0.26203703349111257,-0.2509259371155942,-0.31111112319760853]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.7124000000003718,1.130400000000371,1.5449999999999946,1.7986999999992506,2.2444000000003683,2.4643000000007405]","[""blk5"",""blk4"",""blk3"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,61121faf4b6c800869c9509d,2021-08-19_17h23.28.113,corsi-backward,2021.1.2,Win32,60.0024001,,
"[-0.3175925840796144,-0.0055555423928631675,-0.2138888788306051,-0.23333332356479433,-0.27407406491261943,0.08796297751918987,0.22962964629685437,0.2583333504282766]","[-0.29907408598120566,0.2787037004061319,-0.0018518593300271917,0.08240737292777567,0.027777770741118327,-0.3231481604140114,0.3638888868606753,0.24814814439526311]","[1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[0.19919999999925153,0.5659999999999954,0.8148999999985094,1.1813999999985114,1.4649999999999963,1.6478999999985078,1.980399999998511,2.214299999998879]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,61121faf4b6c800869c9509d,2021-08-19_17h23.28.113,corsi-backward,2021.1.2,Win32,60.0024001,,
"[-0.0009259126942466806,-0.2703703611537262,0.3287037218472472,0.3268518699678006,0.2259259425379612,0.2490740910310436,0.2490740910310436]","[-0.2888889571582838,0.3046296267183842,0.04722221547530757,0.3518518496442724,-0.3916666799535354,-0.2481481592964243,-0.2851851968853562]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[0.10059999999963054,1.2302999999988913,1.596299999998891,1.795299999998889,2.0247999999988906,2.3078999999985115,2.4911999999992673]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,61121faf4b6c800869c9509d,2021-08-19_17h23.28.113,corsi-backward,2021.1.2,Win32,60.0024001,,
,,,,,,,,,,,,,,,61121faf4b6c800869c9509d,2021-08-19_17h23.28.113,corsi-backward,2021.1.2,Win32,60.0024001,space,33.8974
