sequence,blockDuration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrText.started,endInstructions.started,instructions.stopped,ISI.started,blank.started,ISI.stopped,trial.started,blk1.started,blk2.started,blk3.started,blk4.started,blk5.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,rng.started,participant,date,expName,psychopyVersion,frameRate,expStart,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,0,0,0,0,1.3298753999988548,,0.025268399971537292,0.03603289998136461,0.03603289998136461,1.3177459999569692,1.3238952999818139,1.3298753999988548,1.8238691999576986,1.8238786999718286,1.8371313999523409,1.8371313999523409,1.8371313999523409,1.8371313999523409,1.8371313999523409,3.0202628999832086,7.989426999993157,"[-0.11944444444444445, -0.33240740740740743, 0.19444444444444445, 0.36944444444444446, 0.04537037037037037]","[0.28425925925925927, -0.4, 0.2037037037037037, -0.3212962962962963, 0.3768518518518518]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.49811340001178905, 1.4277143000508659, 2.0409636000404134, 2.5479561000247486, 3.1481450000428595]","['blk2', 'blk1', 'blk3', 'blk4', 'blk5']",,criss,2024-03-06_17h41.00.814,corsi-backward,2023.2.3,74.95639410855534,2024-03-06 17h41.09.379676 -0300,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,1,0,1,0,7.998695299960673,,,,,,7.990525399975013,7.998695299960673,8.492299499979708,8.492307599983178,8.505564699997194,8.505564699997194,8.505564699997194,8.505564699997194,8.505564699997194,3.0163986000115983,14.36525360000087,"[0.19166666666666668, 0.24074074074074073, -0.12037037037037036, 0.058333333333333334, -0.22962962962962963]","[0.2953703703703704, -0.16111111111111112, -0.06296296296296296, -0.39351851851851855, -0.12129629629629629]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.6410710999625735, 1.5625581999775022, 1.988111899991054, 2.4280113999848254, 2.8552601999836043]","['blk5', 'blk4', 'blk3', 'blk2', 'blk1']",,criss,2024-03-06_17h41.00.814,corsi-backward,2023.2.3,74.95639410855534,2024-03-06 17h41.09.379676 -0300,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,2,0,2,0,14.374443599954247,,,,,,14.366079500003252,14.374443599954247,14.868006799952127,14.868015599960927,14.881318999978248,14.881318999978248,14.881318999978248,14.881318999978248,14.881318999978248,3.0165493999957107,20.38068750000093,"[-0.1648148148148148, -0.33425925925925926, 0.2740740740740741, 0.3277777777777778, -0.08518518518518518]","[0.2796296296296296, 0.06018518518518518, 0.35, -0.35462962962962963, -0.2962962962962963]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.5740754000144079, 0.9620710000162944, 1.4677626000484452, 2.041547000000719, 2.4948844000464305]","['blk5', 'blk4', 'blk3', 'blk2', 'blk1']",,criss,2024-03-06_17h41.00.814,corsi-backward,2023.2.3,74.95639410855534,2024-03-06 17h41.09.379676 -0300,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,3,0,3,0,20.390061899961438,,,,,,20.381465499987826,20.390061899961438,20.883554699947126,20.88356309995288,20.896874299971387,20.896874299971387,20.896874299971387,20.896874299971387,20.896874299971387,3.01675129996147,26.40903579996666,"[-0.10462962962962963, -0.1037037037037037, 0.22870370370370371, -0.2490740740740741, -0.22592592592592592]","[0.325, -0.33611111111111114, -0.09444444444444444, -0.006481481481481481, -0.03611111111111111]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.5339643999468535, 1.0944598999922164, 1.5478297999943607, 2.2813408999936655, 2.508239999995567]","['blk5', 'blk4', 'blk3', 'blk1', 'blk2']",,criss,2024-03-06_17h41.00.814,corsi-backward,2023.2.3,74.95639410855534,2024-03-06 17h41.09.379676 -0300,
"['blk1', 'blk2', 'blk3', 'blk4', 'blk5']",0.5,4,0,4,0,26.418943899974693,,,,,,26.40970809996361,26.418943899974693,26.912497999961488,26.91250619996572,26.92580019996967,26.92580019996967,26.92580019996967,26.92580019996967,26.92580019996967,3.0174520000000484,32.33124849997694,"[0.06666666666666667, 0.3425925925925926, -0.19537037037037036, 0.2212962962962963, 0.30925925925925923]","[0.03148148148148148, 0.32037037037037036, 0.26666666666666666, -0.31203703703703706, -0.14444444444444443]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.4807899000006728, 0.9483572000171989, 1.4949589999741875, 2.027885099989362, 2.401328600011766]","['blk5', 'blk4', 'blk2', 'blk3', 'blk1']",,criss,2024-03-06_17h41.00.814,corsi-backward,2023.2.3,74.95639410855534,2024-03-06 17h41.09.379676 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.33180749998428,,,,,,,
