mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.3407407773865594,0.30000003543164994,-0.02222219639354282,0.29074077589644326,-0.29259257482157813]","[0.3472222176690896,-0.24722224449117977,0.31018517952826286,0.04351847665729262,0.3222222169240316]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.7841999999955362,1.966799999997022,2.950000000000003,3.8331999999955286,4.900199999995536]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,zwendi,2021-09-17_22h02.06.772,corsi-backward,2021.1.2,Win32,60.25548325,,
"[0.23518521868520312,-0.27685183361172677,0.3379629995259974,-0.02222219639354282,-0.22777775807513131]","[0.25740740017758473,-0.27222224523623784,-0.2740741536573144,-0.012962978250450558,0.03333331942558289]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.9003000000044636,1.8503000000044665,2.8001000000014926,3.7502000000029767,4.499499999999998]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,zwendi,2021-09-17_22h02.06.772,corsi-backward,2021.1.2,Win32,60.25548325,,
"[0.25185188584857515,0.30833336901333597,-0.3638888732426696,-0.28981479696101614,-0.03055552997522884]","[0.2787036829800513,-0.3712963787769847,-0.3046297101234965,0.2787036829800513,-0.3064815055165026]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.2834999999999894,2.183499999999995,3.066800000004463,3.983300000004462,4.800200000002974]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,zwendi,2021-09-17_22h02.06.772,corsi-backward,2021.1.2,Win32,60.25548325,,
"[0.3101852209203773,0.053703731795152025,0.01111113793320126,0.37685188957386545,0.042592620352904,-0.32407405724128086]","[0.2787036829800513,-0.007407422529326545,-0.006481496575805876,-0.01851853397157457,0.29999999403953553,0.29722221617897354]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.6664999999999992,1.5493999999985135,2.3163999999985094,3.149399999998508,3.9663000000044804,4.732899999998509]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,zwendi,2021-09-17_22h02.06.772,corsi-backward,2021.1.2,Win32,60.25548325,,
"[-0.3287036870088842,-0.0009258429485321864,0.030555582957135306,0.005555582212077247,0.3370370735724767,0.01111113793320126]","[0.34537036576204827,0.02870368965797954,-0.0009259408546818627,0.24074073301421273,-0.04814816448423598,-0.3166666910052299]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.0001999999955302,1.8999999999999915,2.75,3.5330000000000013,4.433499999999995,5.383499999999998]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,zwendi,2021-09-17_22h02.06.772,corsi-backward,2021.1.2,Win32,60.25548325,,
,,,,,,,,,,,,,,,zwendi,2021-09-17_22h02.06.772,corsi-backward,2021.1.2,Win32,60.25548325,space,9.0171
