mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[-0.3055555381708675,0.2916667018499639,-0.23796294356385866,0.07129632491204474,-0.027777752114666834]","[0.032407365215044594,0.024999985843896864,-0.24351859719113236,0.02685180949392058,0.25555554827054344]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.1839999999999975,2.0818999999761587,3.0651000000238398,3.8155,4.5136000000238425]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,5d37c1724803980016b2207e,2021-06-24_17h17.15.299,corsi-backward,2021.1.2,Win32,60.09254252,,
"[-0.2740740557511648,0.2740741087330712,0.005555582212077247,-0.2814814633793301,0.0842592882613341]","[0.05833332017064095,-0.2907408208206865,-0.2574074864939424,-0.28425928263200656,0.3611111069718997]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8342999999523144,1.8521000000238388,2.5647999999523137,3.6143999999761576,4.899999999999999]","[""blk5"",""blk4"",""blk3"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,5d37c1724803980016b2207e,2021-06-24_17h17.15.299,corsi-backward,2021.1.2,Win32,60.09254252,,
"[0.31203707282741866,0.29444447971052595,-0.016666640672418805,-0.026851826161146165,-0.34814813203281825,-0.3351851686835289]","[-0.005555570622285207,0.3120370173067954,0.09907403386853275,0.07685181098403669,0.22777776966492336,0.036111097286144894]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.4668999999761567,1.2501999999284763,1.9822999999523176,2.714500000000001,3.4309999999999974,4.134699999928472]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,5d37c1724803980016b2207e,2021-06-24_17h17.15.299,corsi-backward,2021.1.2,Win32,60.09254252,,
"[0.3388888888888889,0.3370370652940538,-0.32592591179741753,-0.011111111111111112,-0.2490740458170573,-0.24814813401963975]","[0.040740712483723955,0.011111111111111112,-0.32222222222222224,-0.3509259541829427,0.1712962892320421,0.23240740034315321]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.5989999999999966,2.2354999999999947,3.3348999999761517,3.6696999999284685,4.067100000023835,4.8001999999284735]","[""blk5"",""blk5"",""blk2"",""blk4"",""blk3""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,5d37c1724803980016b2207e,2021-06-24_17h17.15.299,corsi-backward,2021.1.2,Win32,60.09254252,,
"[-0.3342592451307509,-0.3240740458170573,-0.02962960137261285,0.011111111111111112,0.015740797254774307,0.32129635281032987]","[0.31296295589870876,-0.2638888888888889,0.2814814673529731,-0.259259287516276,-0.33148150973849827,-0.2361111111111111]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.518399999976161,0.9355000000000047,1.4678999999761615,1.8346000000238405,2.5005000000000024,2.819600000023847]","[""blk5"",""blk4"",""blk3"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,5d37c1724803980016b2207e,2021-06-24_17h17.15.299,corsi-backward,2021.1.2,Win32,60.09254252,,
,,,,,,,,,,,,,,,5d37c1724803980016b2207e,2021-06-24_17h17.15.299,corsi-backward,2021.1.2,Win32,60.09254252,space,13.9361
