mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.32555555555555554,0.35333333333333333,-0.28,-0.2811111111111111,-0.29555555555555557,-0.27444444444444444]","[-0.2311111111111111,-0.06555555555555556,-0.2688888888888889,0.03666666666666667,0.05333333333333334,0.23777777777777778]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.41799999999999926,0.9830000000000005,1.7669999999999995,2.350999999999999,2.901,3.434000000000001]","[""blk4"",""blk5"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,blieberg,2021-09-10_10h19.30.726,corsi-backward,2021.1.2,MacIntel,62.5,,
"[-0.04555555555555556,-0.24444444444444444,0.2222222222222222,-0.30777777777777776,-0.0033333333333333335,-0.0033333333333333335]","[0.005555555555555556,-0.28888888888888886,-0.3433333333333333,0.04666666666666667,0.27444444444444444,0.33]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.1999999999999993,0.9670000000000023,1.6340000000000003,2.4510000000000005,3.0500000000000007,3.516000000000002]","[""blk5"",""blk4"",""blk3"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,blieberg,2021-09-10_10h19.30.726,corsi-backward,2021.1.2,MacIntel,62.5,,
"[-0.0011111111111111111,-0.04555555555555556,-0.34,0.011111111111111112,-0.31555555555555553]","[-0.03,0.36666666666666664,-0.3,-0.32555555555555554,0.052222222222222225]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.23400000000000176,0.8179999999999978,1.6340000000000003,2.4679999999999964,3.0829999999999984]","[""blk5"",""blk4"",""blk3"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,blieberg,2021-09-10_10h19.30.726,corsi-backward,2021.1.2,MacIntel,62.5,,
"[0.3211111111111111,-0.05333333333333334,-0.028888888888888888,-0.27555555555555555,0.29888888888888887,-0.27111111111111114]","[0.26222222222222225,-0.06666666666666667,-0.04777777777777778,-0.31333333333333335,-0.32222222222222224,0.28555555555555556]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.3340000000000032,1.118000000000002,1.618000000000002,2.350999999999999,3.1840000000000046,4.034000000000006]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,blieberg,2021-09-10_10h19.30.726,corsi-backward,2021.1.2,MacIntel,62.5,,
"[-0.29888888888888887,0.31777777777777777,0.2877777777777778,-0.28555555555555556,0.27111111111111114]","[-0.021111111111111112,0.014444444444444444,0.3233333333333333,-0.26222222222222225,-0.31222222222222223]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.16599999999999682,1,1.732999999999997,2.5999999999999943,3.3669999999999973]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,blieberg,2021-09-10_10h19.30.726,corsi-backward,2021.1.2,MacIntel,62.5,,
,,,,,,,,,,,,,,,blieberg,2021-09-10_10h19.30.726,corsi-backward,2021.1.2,MacIntel,62.5,space,7.736
