mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.28055557298163575,-0.3462962882110366,0.3518518703403296,0.014814828281049375,-0.059259246896814416,0.2555555726091067,0.3203703883897375]","[-0.33981488384306513,-0.27037043836381786,0.294444441381428,0.29351850131319607,0.2972222192005979,-0.04166667473812898,-0.014814822486153355]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[3.1688000000007435,4.068600000001489,4.869300000000745,5.419199999999254,6.052899999998509,6.753199999999254,7.17010000000149]","[""blk5"",""blk4"",""blk1"",""blk3"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,ethanrp,2021-09-10_09h52.08.526,corsi-backward,2021.1.2,Win32,60.21557175,,
"[0.2870370545596988,-0.26018517581677,-0.3148148062604445,-0.22870369386617784,-0.2777777686715126,-0.05092591343930474,0.3046297604425103]","[0.28240740416502513,-0.013888896546430059,0.3249999973922968,0.25555555191304946,0.250925922214433,0.27314814476779214,-0.22314815892389528]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[0.6333999999985096,1.250300000000749,1.6504999999999974,2.0174999999999947,2.3841999999992503,2.834800000000744,3.5348000000007396]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,ethanrp,2021-09-10_09h52.08.526,corsi-backward,2021.1.2,Win32,60.21557175,,
"[-0.33425925099463377,0.3212963143294608,-0.30092591716459505,0.34351853688281997,-0.059259246896814416]","[0.3324074049100832,0.27222221882806885,-0.2944444562825892,0.002777770368589295,-0.010185192787536868]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.7003999999985098,1.250399999998514,1.9508999999985122,2.534399999998513,3.152099999997766]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,ethanrp,2021-09-10_09h52.08.526,corsi-backward,2021.1.2,Win32,60.21557175,,
"[-0.2861111021290223,-0.04999998749958144,0.025000070132040055,0.31111112899250454,-0.2703703611537262,0.013888902341326078]","[0.2972222192005979,0.2981481310118126,0.2981481310118126,0.26388888537055916,-0.3314814938715211,-0.0037037112094737866]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.36650000000000205,0.7336000000014877,0.9836000000014877,1.450700000002982,2.2010000000000005,2.751800000000742]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,ethanrp,2021-09-10_09h52.08.526,corsi-backward,2021.1.2,Win32,60.21557175,,
"[-0.012036967456891843,0.3148148327513977,-0.059259246896814416,-0.04259257998179506,-0.22870369386617784,0.26388890606661636]","[-0.01666667436559995,-0.2750000680624343,0.362962960920952,0.3527777755839957,0.3166666498062785,0.06666666020949681]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.41589999999851557,0.9661000000014894,1.4500000000000028,1.7498000000007465,2.233600000001495,2.850500000000004]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,ethanrp,2021-09-10_09h52.08.526,corsi-backward,2021.1.2,Win32,60.21557175,,
,,,,,,,,,,,,,,,ethanrp,2021-09-10_09h52.08.526,corsi-backward,2021.1.2,Win32,60.21557175,space,6.7099
