mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate
"[-0.2472222126606438,0.23518520193519415,-0.25833332393732333,0.29907409177610167,-0.33518517693435707]","[-0.01666667436559995,-0.3537037729389146,-0.3129629750770551,-0.0712963048092745,0.26388888537055916]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.100799999952315,1.8837999999523163,2.6009000000953684,3.1507999999523157,3.8352999999523156]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,6101658a557682e1b130fe45,2021-07-29_19h15.14.590,corsi-backward,2021.1.2,Win32,60.20832079
"[-0.26296295363593986,0.2944444620774852,-0.29166665776736206,0.31666668463084435,0.2925926101980386]","[0.33055553890212797,0.2953703673211513,-0.26388890027172035,-0.2592592705731039,0.04999996503746026]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5166000001430504,1.0169000000953652,1.7504999999999988,2.2341000001430515,2.717400000095367]","[""blk5"",""blk4"",""blk3"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,6101658a557682e1b130fe45,2021-07-29_19h15.14.590,corsi-backward,2021.1.2,Win32,60.20832079
"[-0.3185185100193377,0.2490740910310436,0.2972222398966551,0.33981483312392674,-0.3425925844521434]","[-0.350000012665987,0.2592592556719427,-0.34722223484681713,0.06481480833005022,0.007407400067205782]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.3335000000000008,1.1672000000476856,1.9007999999523264,2.451099999904642,3.2009000000953733]","[""blk5"",""blk4"",""blk2"",""blk3"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,6101658a557682e1b130fe45,2021-07-29_19h15.14.590,corsi-backward,2021.1.2,Win32,60.20832079
"[-0.03703702434345528,-0.014814801790096142,-0.32962962129601725,0.2888889064391454,0.29907409177610167,0.2981481658363784]","[-0.004629637149197084,0.2453703665760932,0.04907406735475416,0.09259258652174915,0.030555548560288217,-0.25555556681421066]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.5672000000476771,1.0507000000476836,1.5835000000000008,2.083999999999989,2.4012000000476803,2.9009999999999962]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,6101658a557682e1b130fe45,2021-07-29_19h15.14.590,corsi-backward,2021.1.2,Win32,60.20832079
"[-0.01574072772981944,0.34629642773005864,0.3268518699678006,0.2842592767405289,-0.30925925062210474]","[-0.26481482621144364,0.29907407108004447,-0.023148155943663033,-0.2861111228250795,-0.33981488384306513]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5497999999523131,1.2165999999046306,1.6500999999046257,2.2537999999523066,3.0337999999523078]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,6101658a557682e1b130fe45,2021-07-29_19h15.14.590,corsi-backward,2021.1.2,Win32,60.20832079
