mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[-0.047699962797619046,0.23822079613095237,0.27270135788690475,0.0496923828125,-0.01874848865327381,0.26483479817708333]","[0.23433172316778275,0.022162969680059524,0.021127464657738095,0.009192940848214285,-0.25029825846354165,-0.3250184849330357]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[2.651199999999257,3.3845999999977643,3.8515999999977666,4.518199999999258,5.8835000000000015,6.417199999999255]","[""blk3"",""blk4"",""blk5"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,rishma,2021-09-10_10h40.34.656,corsi-backward,2021.1.2,MacIntel,60.0024001,,
"[-0.2732581728980655,0.30236793154761904,0.034373663039434524,-0.28577241443452384,0.2402705310639881]","[0.025050862630208334,0.2721253749302455,-0.21422589983258927,0.31437430245535714,0.0018605259486607142]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5844999999999985,1.2676999999992518,1.9834999999999958,2.6686999999992516,3.3000999999977587]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,rishma,2021-09-10_10h40.34.656,corsi-backward,2021.1.2,MacIntel,60.0024001,,
"[0.2848622349330357,-0.2866471935453869,-0.023650018601190478,0.07722423735119048,0.003532598586309524]","[-0.2823644438244048,0.2847132364908854,-0.27029924665178573,0.3278773135230655,-0.009860374813988096]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.7498999999985045,3.466799999997015,4.933,5.549899999998509,5.984999999999999]","[""blk5"",""blk4"",""blk2"",""blk1"",""blk3""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,rishma,2021-09-10_10h40.34.656,corsi-backward,2021.1.2,MacIntel,60.0024001,,
"[0.2523599097842262,-0.008246837797619047,0.005198916480654762,-0.25679542178199405,-0.31425101143973216]","[-0.2718464587983631,0.2974015299479167,-0.03446236746651786,-0.004845435732886905,-0.35098074776785715]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.1666999999992527,1.8166000000014861,2.2671999999992494,2.8001000000014855,3.233300000000746]","[""blk5"",""blk4"",""blk3"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,rishma,2021-09-10_10h40.34.656,corsi-backward,2021.1.2,MacIntel,60.0024001,,
"[-0.2730998302641369,0.32287620907738096,-0.2627861095610119,-0.26328450520833335,0.05182094029017857]","[-0.06734903971354167,0.0003016880580357143,-0.28533697219122023,0.2640030488513765,0.34058638799758184]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.9831999999992576,1.583199999999259,2.2331000000014924,2.8833000000007516,3.316900000002235]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,rishma,2021-09-10_10h40.34.656,corsi-backward,2021.1.2,MacIntel,60.0024001,,
,,,,,,,,,,,,,,,rishma,2021-09-10_10h40.34.656,corsi-backward,2021.1.2,MacIntel,60.0024001,space,7.1991
