mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[-0.27146990280598404,0.32019676826894283,0.25815973076969384,0.06047454411163926,-0.34739582929760215]","[0.2847222206182778,-0.3097222282551229,0.2624999982304871,0.30925925783813,-0.27638889467343686]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8902999999970191,1.6051000000089388,2.2642000000029796,2.8324000000059613,3.7551000000089374]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,roshnim,2021-06-30_08h39.20.835,corsi-backward,2021.1.2,Win32,60.11783095,,
"[-0.3247106439433992,-0.23582169787820248,0.3021412125788629,-0.02934027137234807,0.00723380297422409]","[-0.32175926538184285,0.3171296282671392,0.03379626456579103,-0.020370374247431756,-0.29814815409481527]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8330000000000055,1.599600000008941,2.4826000000089437,2.9997000000029814,3.7495000000000047]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,roshnim,2021-06-30_08h39.20.835,corsi-backward,2021.1.2,Win32,60.11783095,,
"[-0.23535879142582417,-0.025636567641049622,-0.028877308405935765,-0.0159143453463912,0.25723380483686925,-0.2534143471159041]","[-0.23379630176350474,0.25925925746560097,-0.20092593114823104,-0.2625000056810677,0.2870370354503393,0.3402777765877545]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.6162000000029764,1.3167000000029816,2.1662999999970154,3.2825999999940407,4.216000000000001,4.948799999997021]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,roshnim,2021-06-30_08h39.20.835,corsi-backward,2021.1.2,Win32,60.11783095,,
"[-0.21221064310520887,-0.27563656950369475,0.0021412103436887265,-0.31406249571591616,-0.03396990103647113,0.2938078791834414]","[-0.028240744676440954,-0.0009259296581149101,-0.3175925986841321,-0.3199074700302276,0.3555555544793606,-0.23657413607601258]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.21659999999403823,1.050099999994039,1.7837999999970222,2.5248999999910637,3.4179999999999993,4.441500000000005]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,roshnim,2021-06-30_08h39.20.835,corsi-backward,2021.1.2,Win32,60.11783095,,
"[-0.03304397510364652,0.25908576973058645,0.04288195138797164,-0.3450810144655406,0.25167824923992155]","[-0.29629630222916603,0.27407407239079473,0.2851851835846901,0.08564814506098628,0.06064814487472177]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.30679999999701835,0.9895999999940415,1.584099999994038,2.172799999997025,2.989299999997023]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,roshnim,2021-06-30_08h39.20.835,corsi-backward,2021.1.2,Win32,60.11783095,,
,,,,,,,,,,,,,,,roshnim,2021-06-30_08h39.20.835,corsi-backward,2021.1.2,Win32,60.11783095,space,3.0307
