mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.3277777777777778,-0.042222222222222223,0.005555555555555556,-0.2811111111111111,-0.0033333333333333335]","[-0.013333333333333334,-0.23444444444444446,0.26666666666666666,-0.3188888888888889,0.008888888888888889]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.021000000000001,2.904,3.687000000000001,4.704000000000001,5.357000000000003]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,gersonr,2021-06-14_09h01.36.934,corsi-backward,2021.1.2,MacIntel,62.5,,
"[-0.3277777777777778,0.2588888888888889,0.2577777777777778,0.02666666666666667,-0.28555555555555556]","[-0.058888888888888886,0.29888888888888887,-0.03222222222222222,-0.35888888888888887,-0.31444444444444447]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6449999999999996,1.3409999999999975,2.0269999999999975,2.6320000000000014,3.160999999999998]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,gersonr,2021-06-14_09h01.36.934,corsi-backward,2021.1.2,MacIntel,62.5,,
"[-0.3522222222222222,0.021111111111111112,0.2222222222222222,0.2511111111111111,-0.04]","[0.2722222222222222,-0.07444444444444444,0.01,-0.3333333333333333,-0.2811111111111111]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.2999999999999972,1.9099999999999966,2.4409999999999954,2.939,3.433]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,gersonr,2021-06-14_09h01.36.934,corsi-backward,2021.1.2,MacIntel,62.5,,
"[-0.30666666666666664,0.2911111111111111,0.35444444444444445,-0.2822222222222222,-0.02666666666666667,0.37777777777777777]","[0.31333333333333335,0.08666666666666667,0.04555555555555556,-0.25555555555555554,0.3566666666666667,0.3211111111111111]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.5009999999999977,1.1509999999999962,1.8669999999999973,2.6829999999999927,3.333999999999996,3.915999999999997]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,gersonr,2021-06-14_09h01.36.934,corsi-backward,2021.1.2,MacIntel,62.5,,
"[-0.24666666666666667,-0.3233333333333333,0.36333333333333334,-0.07333333333333333,0.2677777777777778]","[0.01888888888888889,0.3488888888888889,0.3211111111111111,0.30777777777777776,-0.021111111111111112]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.7160000000000011,1.2319999999999993,1.9750000000000014,2.493000000000002,3.1090000000000018]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,gersonr,2021-06-14_09h01.36.934,corsi-backward,2021.1.2,MacIntel,62.5,,
,,,,,,,,,,,,,,,gersonr,2021-06-14_09h01.36.934,corsi-backward,2021.1.2,MacIntel,62.5,space,7.909
