mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[-0.3046296122173468,0.33518522166543535,0.006481508165597916,0.26203707133730253,-0.009259176530218207]","[0.30462962380713887,0.26666665971279147,0.24166665896773337,-0.25555557807286583,-0.009259274436367882]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6664999999999992,1.3158000000044723,1.7823000000044722,2.4653999999985103,3.082200000002981]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,manaphy,2021-06-14_09h53.20.771,corsi-backward,2021.1.2,Win32,60.17933442,,
"[0.3259259621302287,0.34537040715416273,0.34537040715416273,-0.3018518343567848,0.01203706388672193,0.316666702595022]","[-0.01203705229692989,0.24537036278181606,0.2953703501434234,0.27499999329447744,-0.0018518668082025316,-0.32592595054043666]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.2826999999955291,0.682799999997016,0.9827999999970203,1.5325000000000024,2.115600000001489,2.6153999999985125]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,manaphy,2021-06-14_09h53.20.771,corsi-backward,2021.1.2,Win32,60.17933442,,
"[0.30370373924573263,0.030555582957135306,0.2277778110570378,0.10462965923878882,0.04907415854158393,-0.2805555374258094]","[0.3203703508884814,0.30370368372510936,0.007407392727004157,-1.4901161193847656e-8,0.007407392727004157,-0.3000000238418579]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.3152999999970234,0.7155000000000058,1.09879999999702,1.4317999999970255,1.6985000000000028,2.2150000000000034]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,manaphy,2021-06-14_09h53.20.771,corsi-backward,2021.1.2,Win32,60.17933442,,
"[0.33888892547951804,0.29444447971052595,-0.04629627118508021,0.2916667018499639,0.319444480455584,-0.3018518343567848]","[0.28425923870117537,0.04444443086783091,-0.02685186755326059,-0.24259261472357643,-0.2990741544023725,0.34074073599444493]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.3330999999940403,0.7665999999940425,1.1821999999955324,1.5657999999970187,1.9993999999985093,2.649000000000001]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,manaphy,2021-06-14_09h53.20.771,corsi-backward,2021.1.2,Win32,60.17933442,,
"[0.24351855226688915,-0.01574071471889814,-0.3222222053342395,-0.25092590691314803,0.08333336230781344]","[0.35277777339021366,-0.3518519337530506,0.2712962894803948,-0.04814816448423598,0.0018518370058801439]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.21610000000148943,0.7333000000044692,1.365700000002981,1.7156000000014942,2.082300000004473]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,manaphy,2021-06-14_09h53.20.771,corsi-backward,2021.1.2,Win32,60.17933442,,
,,,,,,,,,,,,,,,manaphy,2021-06-14_09h53.20.771,corsi-backward,2021.1.2,Win32,60.17933442,space,2.3456
