mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate
"[0.04236716591850829,-0.2873925646365677,-0.006767618590296961,0.2679018473756906,-0.3173426169716851]","[-0.2811319087750345,-0.04813299864036602,-0.00034537130956491713,-0.041646478979627075,-0.2650559904825622]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.8998000000044684,3.5167000000029773,3.96670000000298,4.549300000004468,5.1331000000014875]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,5de138525d4f9718abbd5f52,2021-07-23_11h48.23.552,corsi-backward,2021.1.2,MacIntel,58.12601721
"[-0.3566429854756561,-0.057131536494302484,0.29838961606526243,-0.24809442172392956,0.33765444255006904]","[0.26753158990849446,0.24382118520157114,0.2465605846426105,-0.241443208304558,-0.3021800678737914]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.2841000000014944,1.8165000000000049,2.4168000000044714,3.0330000000000013,3.7174000000059593]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,5de138525d4f9718abbd5f52,2021-07-23_11h48.23.552,corsi-backward,2021.1.2,MacIntel,58.12601721
"[-0.33015959513121546,0.021120457095994475,-0.24764478483252764,0.2625826840901243,-0.02486241799033149]","[-0.29059997895804557,-0.2878696504877417,-0.08449457495252072,0.2877440057406768,0.039808140538674035]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6002000000029852,1.1337000000029818,1.6866000000014907,2.3502000000029852,2.83289999999851]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,5de138525d4f9718abbd5f52,2021-07-23_11h48.23.552,corsi-backward,2021.1.2,MacIntel,58.12601721
"[0.2855248888553177,0.272357346339779,0.030481361684219613,0.05021911958304558,0.287736856871547]","[-0.37179966710549034,0.29874726184823897,-0.027215070355662983,-0.31122918734892957,-0.042046613324412986]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4002000000029824,0.8998000000044684,1.4324999999999974,1.91710000000149,2.4324999999999974]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,5de138525d4f9718abbd5f52,2021-07-23_11h48.23.552,corsi-backward,2021.1.2,MacIntel,58.12601721
"[-0.04023154242921271,-0.006036815327175414,-0.02434324823031768,-0.3425353666695442,-0.26045616529264504,0.3238827531508978]","[-0.2991109099835981,-0.05464622539709945,-0.016840307752071824,0.0015867117360151934,0.27293040238691296,0.2985906274279178]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.14960000000149165,0.6829999999999998,1.0997999999970247,1.6166000000014904,2.0493999999985135,2.6496999999955335]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,5de138525d4f9718abbd5f52,2021-07-23_11h48.23.552,corsi-backward,2021.1.2,MacIntel,58.12601721
