mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.03111111111111111,-0.2811111111111111,-0.31444444444444447,-0.03111111111111111,0.29444444444444445]","[-0.31555555555555553,-0.2733333333333333,-0.04777777777777778,-0.051111111111111114,-0.03]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.7501999999880802,1.2998000000119205,2.316300000011921,2.89969999998808,3.5158999999761598]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,628e0a156fc4ba41501598d1,2022-05-27_14h04.03.231,corsi-backward,2021.1.2,Win32,59.84440455,,
"[0.2877777777777778,-0.29888888888888887,-0.01,-0.024444444444444446,0.006666666666666667]","[0.3055555555555556,0.30333333333333334,0.3111111111111111,-0.05,-0.29]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6500000000000057,1.3333999999761588,1.8163000000119212,2.3661000000238417,2.949300000011924]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,628e0a156fc4ba41501598d1,2022-05-27_14h04.03.231,corsi-backward,2021.1.2,Win32,59.84440455,,
"[-0.008888888888888889,-0.37222222222222223,-0.3211111111111111,0.3566666666666667,0.24666666666666667]","[-0.3388888888888889,0.3477777777777778,-0.26222222222222225,0.3411111111111111,-0.04]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6000000000000014,1.2498000000119163,1.9338999999761555,2.749199999988079,3.44910000002384]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,628e0a156fc4ba41501598d1,2022-05-27_14h04.03.231,corsi-backward,2021.1.2,Win32,59.84440455,,
"[-0.2733333333333333,0.008888888888888889,-0.006666666666666667,0.2966666666666667,0.30444444444444446]","[0.28555555555555556,-0.29777777777777775,0.3188888888888889,-0.30666666666666664,0.24666666666666667]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5663000000119212,1.0830999999642401,1.6491999999880846,2.1993999999761584,2.7656999999880796]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,628e0a156fc4ba41501598d1,2022-05-27_14h04.03.231,corsi-backward,2021.1.2,Win32,59.84440455,,
"[0.37777777777777777,-0.03222222222222222,-0.03111111111111111,0.2722222222222222,0.012222222222222223]","[0.017777777777777778,-0.26222222222222225,0.0011111111111111111,0.2966666666666667,0.30333333333333334]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4164999999999992,1.0331999999880779,1.6828000000119232,2.249199999988079,2.749099999964237]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,628e0a156fc4ba41501598d1,2022-05-27_14h04.03.231,corsi-backward,2021.1.2,Win32,59.84440455,,
,,,,,,,,,,,,,,,628e0a156fc4ba41501598d1,2022-05-27_14h04.03.231,corsi-backward,2021.1.2,Win32,59.84440455,space,4.0182
