mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.2970355224609375,-0.34396769205729166,-0.30168853759765624,0.32128180609809026,0.0031095377604166666]","[0.23094119601779514,0.24730183919270834,-0.2982318793402778,-0.30540791829427083,0.35500106811523435]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5676049999892712,1.3325150000164285,2.1507149999961257,3.1500649999361485,3.9167550000129268]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,athreyas,2021-06-13_19h44.15.322,corsi-backward,2021.1.2,MacIntel,60.0024001,,
"[-0.2726282077365451,-0.2432416788736979,0.2752092149522569,-0.26489813910590276,0.032770657009548614,0.022333984375]","[0.037606268988715275,-0.021677347819010418,0.2577218967013889,-0.32047987196180555,-0.31224656846788196,0.28002510918511286]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.8657949999906123,1.41617999994196,2.0320849999552593,2.8828300000168383,3.5658650000113994,4.249210000038147]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,athreyas,2021-06-13_19h44.15.322,corsi-backward,2021.1.2,MacIntel,60.0024001,,
"[0.049629448784722224,0.32342820909288195,0.08786899142795139,-0.2700105455186632,-0.28782833523220486]","[-0.20404934353298612,-0.08705810546875,-0.06999098036024305,-0.2812185329861111,0.23047353108723959]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5654449999565259,1.2653299999656156,1.7486449999269098,2.598924999940209,3.3319499999051914]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,athreyas,2021-06-13_19h44.15.322,corsi-backward,2021.1.2,MacIntel,60.0024001,,
"[-0.30849734836154513,0.23544243706597223,0.0063262939453125,0.30250596788194445,-0.33168585883246526]","[0.3244024488661024,0.007105916341145833,-0.23320054796006945,0.24316880967881943,-0.30634969075520835]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.3176499999826774,1.0847150000045076,1.650679999962449,2.3335649999789894,3.2002599999541417]","[""blk5"",""blk4"",""blk3"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,athreyas,2021-06-13_19h44.15.322,corsi-backward,2021.1.2,MacIntel,60.0024001,,
"[0.25777818467881947,-0.29351199679904516,-0.30287445068359375,-0.2855085245768229,-0.05768948025173611,-0.04099541558159722]","[-0.04675086127387153,0.23750979953342014,0.2587624274359809,-0.34045789930555553,-0.3250824652777778,0.050954182942708336]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[2.701215000008233,3.5011249999515712,4.100304999970831,4.767875000019558,5.2670400000642985,5.883329999982379]","[""blk5"",""blk3"",""blk2"",""blk4"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,athreyas,2021-06-13_19h44.15.322,corsi-backward,2021.1.2,MacIntel,60.0024001,,
,,,,,,,,,,,,,,,athreyas,2021-06-13_19h44.15.322,corsi-backward,2021.1.2,MacIntel,60.0024001,space,4.10246
