mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.3675926113156257,-0.3333333250549104,-0.26388887957566315,-0.3453703622713133,0.2231481647187913]","[0.294444441381428,-0.2768518634278465,-0.011111118727260165,0.2564814778527728,0.021296289163055242]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[5.974099999904631,6.8241999998092595,7.424799999952313,8.158799999952315,8.793099999904626]","[""blk4"",""blk3"",""blk5"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,5fdbd0c98929f00b48b7a9a3,2021-06-23_17h20.45.660,corsi-backward,2021.1.2,Win32,59.88382538,,
"[0.09907408879586944,0.03148149519606873,-0.25370369423870687,-0.18888887845807606,-0.25740734148356564,0.03333334707551532,-0.027777764946222305]","[0.24259258875692333,0.260185181611666,0.04259258577669108,0.3249999973922968,0.30833333047727746,-0.021296304064216436,-0.3490741432402981]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[2.569499999999998,3.2532999999523113,4.20470000004768,4.721700000047683,5.105499999999999,5.672999999999995,6.2069000000953665]","[""blk4"",""blk5"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,5fdbd0c98929f00b48b7a9a3,2021-06-23_17h20.45.660,corsi-backward,2021.1.2,Win32,59.88382538,,
"[0.2870370545596988,0.053703717749427865,-0.05648146907764452,-0.3416666585124201,0.02314816173855905]","[-0.04722223037646876,-0.2592592705731039,0.2787037004061319,0.018518511343885352,0.04814814141503087]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[3.8876999998092643,4.521799999952314,6.523799999952317,7.207899999856949,7.7917999999523175]","[""blk5"",""blk4"",""blk3"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,5fdbd0c98929f00b48b7a9a3,2021-06-23_17h20.45.660,corsi-backward,2021.1.2,Win32,59.88382538,,
"[0.01666668016049597,-0.3129629543809979,0.2888889064391454,0.3212963143294608,0.043518588926506,-0.22777776792645454]","[0.26481481131028245,-0.26666667809089023,0.2083333289871613,0.23518518123913695,-0.30092593786065225,0.05925922443469323]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[2.352499999999999,3.1201000001430472,3.8374000000953643,4.32160000014305,4.871900000095366,5.405799999952315]","[""blk5"",""blk1"",""blk2"",""blk3"",""blk4""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,5fdbd0c98929f00b48b7a9a3,2021-06-23_17h20.45.660,corsi-backward,2021.1.2,Win32,59.88382538,,
"[-0.2796296205509592,-0.012036967456891843,-0.04444437534720725,-0.2861111021290223,0.2574074244885533]","[-0.2675926040306135,-0.3324074198112444,-0.018518526245046546,-0.08518519390512395,-0.26481482621144364]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.2014999999999958,1.803100000143047,2.386400000095364,2.7866000001430535,3.4372000000476817]","[""blk5"",""blk4"",""blk2"",""blk3"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,5fdbd0c98929f00b48b7a9a3,2021-06-23_17h20.45.660,corsi-backward,2021.1.2,Win32,59.88382538,,
,,,,,,,,,,,,,,,5fdbd0c98929f00b48b7a9a3,2021-06-23_17h20.45.660,corsi-backward,2021.1.2,Win32,59.88382538,space,9.7586
