mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[-0.04777777777777778,0.2866666666666667,0.08666666666666667,-0.32,-0.04666666666666667]","[0.24,0.015555555555555555,0.015555555555555555,-0.3422222222222222,-0.3422222222222222]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8999999999999986,1.5500000000000007,2.0330000000000013,2.6990000000000016,3.1660000000000004]","[""blk4"",""blk5"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,alexabrz,2021-06-02_21h04.09.411,corsi-backward,2021.1.2,MacIntel,55.55555556,,
"[0.011111111111111112,-0.24,0.29,0.021111111111111112,-0.30666666666666664]","[0.33,0.058888888888888886,-0.28,-0.016666666666666666,-0.2822222222222222]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4339999999999975,1.0670000000000002,1.600999999999999,2.232999999999997,2.866000000000003]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,alexabrz,2021-06-02_21h04.09.411,corsi-backward,2021.1.2,MacIntel,55.55555556,,
"[0.006666666666666667,-0.2688888888888889,-0.3111111111111111,-0.013333333333333334,0.3511111111111111]","[0.24666666666666667,0.2688888888888889,-0.015555555555555555,-0.008888888888888889,0.3]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.3009999999999948,0.8009999999999948,1.283999999999999,1.7849999999999966,2.402000000000001]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,alexabrz,2021-06-02_21h04.09.411,corsi-backward,2021.1.2,MacIntel,55.55555556,,
"[0.07555555555555556,-0.008888888888888889,0.3422222222222222,-0.3188888888888889,0.028888888888888888,-0.29888888888888887]","[0.0011111111111111111,0.0022222222222222222,0.011111111111111112,-0.31,-0.31,0.3088888888888889]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.4170000000000016,0.9510000000000005,1.4510000000000005,1.983000000000004,2.466000000000001,3.0180000000000007]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,alexabrz,2021-06-02_21h04.09.411,corsi-backward,2021.1.2,MacIntel,55.55555556,,
"[0.28444444444444444,0.24555555555555555,0.02666666666666667,-0.23666666666666666,0.011111111111111112]","[-0.2411111111111111,-0.0033333333333333335,-0.0033333333333333335,0.21777777777777776,-0.25333333333333335]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5489999999999995,1.131999999999998,1.6159999999999997,2.3159999999999954,3.3829999999999956]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,alexabrz,2021-06-02_21h04.09.411,corsi-backward,2021.1.2,MacIntel,55.55555556,,
,,,,,,,,,,,,,,,alexabrz,2021-06-02_21h04.09.411,corsi-backward,2021.1.2,MacIntel,55.55555556,space,4.779
