mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[-0.0296296168256689,-0.2870370280687456,-0.00833332021203306,0.30185186959527155,-0.33240739911518713]","[-0.004629637149197084,-0.26481482621144364,-0.28148149312646303,-0.0018518593300271917,-0.019444452184769843]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[3.6345000000000027,4.78329999995232,5.766799999952319,6.583399999856951,7.3836999998092665]","[""blk5"",""blk1"",""blk4"",""blk2"",""blk3""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,5ef293694fcaa01070854a99,2021-06-28_23h57.16.456,corsi-backward,2021.1.2,Win32,59.75143403,,
"[-0.2787036946112359,-0.09722221042546961,-0.07592591381183376,0.2879629804994221,-0.33888888069325024,-0.04259257998179506]","[0.03148144624299431,0.020370363223331946,0.012962955705545566,-0.01759260030532325,0.2592592556719427,0.29999999701976776]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.166800000190733,1.7838000001907304,2.516999999999996,3.2837000000476806,4.033400000095369,4.833800000190735]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,5ef293694fcaa01070854a99,2021-06-28_23h57.16.456,corsi-backward,2021.1.2,Win32,59.75143403,,
"[-0.3231481397179542,0.2851852026802522,0.017592606100219267,0.03148149519606873,0.020370440433423568]","[0.285185181984195,0.2768518485266853,0.33055553890212797,0.01574073352471546,-0.2898148265839727]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[3.4171000001430443,4.466999999999992,5.16690000009536,5.866800000190729,6.600600000143054]","[""blk5"",""blk2"",""blk4"",""blk3"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,5ef293694fcaa01070854a99,2021-06-28_23h57.16.456,corsi-backward,2021.1.2,Win32,59.75143403,,
"[0.043518588926506,-0.0037036905134165726,-0.2472222126606438,0.27407409140357264,0.2870370545596988]","[0.01944443728360865,0.2861111079239183,0.010185177886375674,-7.450580596923828e-9,-0.23611112208002144]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6671000001430514,1.3839000000953803,2.0336000001430534,3.083900000095369,3.9174000000953697]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,5ef293694fcaa01070854a99,2021-06-28_23h57.16.456,corsi-backward,2021.1.2,Win32,59.75143403,,
"[-0.27314813897289614,0.26296298012689306,-0.04444437534720725,-0.03240739464483879,-0.21944443446894488]","[0.22685184778162726,-0.04814815631619206,-0.30092593786065225,-0.023148155943663033,-0.03796297097923579]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8500999999046286,1.799700000047693,2.516599999904642,3.15009999990464,3.9170000000000016]","[""blk5"",""blk4"",""blk3"",""blk1"",""blk2""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,5ef293694fcaa01070854a99,2021-06-28_23h57.16.456,corsi-backward,2021.1.2,Win32,59.75143403,,
,,,,,,,,,,,,,,,5ef293694fcaa01070854a99,2021-06-28_23h57.16.456,corsi-backward,2021.1.2,Win32,59.75143403,space,8.3739
