mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[-0.2831509060329861,0.009520738389756945,-0.2905911933051215,0.2711883544921875,0.25936631944444444]","[-0.32951761881510416,0.3439328850640191,0.24441209581163195,0.0430364990234375,0.25535607231987845]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.297199999988079,1.9637999999523164,2.5301999999880795,3.145399999976158,3.746899999976156]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,erikabar,2021-10-06_10h31.26.642,corsi-backward,2021.1.2,MacIntel,59.99880002,,
"[0.2870123291015625,0.03438022189670139,0.36373589409722223,-0.23447435167100694,0.006699015299479166]","[0.284947747124566,0.3132649909125434,-0.05758775499131944,0.2703529018825955,-0.2551951090494792]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.46199999999999974,0.9314000000357616,1.5221999999880786,2.1786000000238417,2.747900000035763]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,erikabar,2021-10-06_10h31.26.642,corsi-backward,2021.1.2,MacIntel,59.99880002,,
"[-0.010128377278645833,0.3288262939453125,0.32736328125,-0.2648999362521701,-0.24666402180989583]","[0.24313973320855034,0.27380794949001735,-0.009818929036458333,-0.2766273328993056,0.2762876722547743]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.48240000003576,0.948300000011919,1.481600000023839,2.0832000000476825,2.6984999999999957]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,erikabar,2021-10-06_10h31.26.642,corsi-backward,2021.1.2,MacIntel,59.99880002,,
"[0.057365654839409724,0.3535563151041667,0.019821302625868054,-0.3424111599392361,0.27925591362847224]","[-0.3140305582682292,0.04832210964626736,0.30861156887478297,-0.26323872884114585,-0.3650021701388889]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.26470000004768934,0.7974999999999994,1.363700000047686,2.0806000000238427,2.814200000047684]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,erikabar,2021-10-06_10h31.26.642,corsi-backward,2021.1.2,MacIntel,59.99880002,,
"[0.3085443793402778,0.34155259874131944,-0.07048353407118056,-0.24157307942708334,-0.27174784342447916]","[-0.004368693033854167,0.2668860371907552,-0.28353949652777777,0.30732567681206596,-0.0080194091796875]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.2995999999642365,0.76759999996424,1.4329999999999998,2.0991999999880804,2.7394999999999996]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,erikabar,2021-10-06_10h31.26.642,corsi-backward,2021.1.2,MacIntel,59.99880002,,
,,,,,,,,,,,,,,,erikabar,2021-10-06_10h31.26.642,corsi-backward,2021.1.2,MacIntel,59.99880002,space,4.4032
