mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.04069912380642361,0.3153577338324653,-0.29156385633680554,-0.2689373101128472,-0.2651610649956597,-0.3035689290364583]","[0.30212731255425346,0.3628263346354167,0.33903489854600694,-0.0756622314453125,-0.03823584662543403,-0.30386610243055556]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.883900000005962,1.4344000000059616,2.1834999999999916,3.36620000001788,3.818300000011913,4.3836000000238435]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,nbaig,2021-06-14_14h40.13.874,corsi-backward,2021.1.2,MacIntel,59.99880002,,
"[0.25190009223090276,0.005366414388020833,-0.2767606947157118,-0.054294908311631945,-0.29316382514105904]","[0.256634775797526,0.2573741488986545,0.2747880215115017,-0.000560302734375,-0.21715962727864582]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5500999999940461,1.1178000000119255,1.7005000000000052,2.566300000011921,3.233200000017888]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,nbaig,2021-06-14_14h40.13.874,corsi-backward,2021.1.2,MacIntel,59.99880002,,
"[-0.30765570746527776,-0.3175840250651042,0.028298882378472223,0.05961683485243056,-0.2732534450954861]","[0.03714358859592014,-0.34780497233072916,-0.24385640462239583,-0.05611429850260417,0.33237419976128474]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.766799999982112,2.4009000000059615,2.966799999982115,3.516799999982112,4.151499999999999]","[""blk3"",""blk1"",""blk2"",""blk4"",""blk5""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,nbaig,2021-06-14_14h40.13.874,corsi-backward,2021.1.2,MacIntel,59.99880002,,
"[0.33287618001302083,-0.3211819118923611,0.3308956570095486,-0.008113538953993055,-0.23966861300998263]","[-0.026822577582465278,0.31885586208767364,-0.3039038764105903,-0.22250834147135418,-0.29364366319444446]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.1491999999880704,1.866400000005953,2.5495999999940295,3.0330000000000013,3.566400000005956]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,nbaig,2021-06-14_14h40.13.874,corsi-backward,2021.1.2,MacIntel,59.99880002,,
"[-0.005398423936631944,0.27218641493055556,0.3297465684678819,-0.25545467800564237,0.36678209092881947,-0.3194635009765625]","[0.2991938273111979,0.2725128173828125,0.26235746595594617,-0.3021693929036458,0.05694919162326389,0.27342364841037325]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.6997000000178701,1.2319000000059503,1.6659999999999968,2.4149000000059573,3.0991000000238387,3.833200000017868]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,nbaig,2021-06-14_14h40.13.874,corsi-backward,2021.1.2,MacIntel,59.99880002,,
,,,,,,,,,,,,,,,nbaig,2021-06-14_14h40.13.874,corsi-backward,2021.1.2,MacIntel,59.99880002,space,4.4819
