mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate,rng_resp.keys,rng_resp.rt
"[0.27546296296296297,-0.30092592592592593,-0.2743055555555556,-0.046296296296296294,-0.041666666666666664]","[-0.2847222222222222,-0.2800925925925926,0.006944444444444444,-0.017361111111111112,0.2534722222222222]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.7660000000000018,1.9320000000000022,2.798000000000002,3.4480000000000004,4.147000000000002]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,collehil,2021-09-10_10h51.39.052,corsi-backward,2021.1.2,Win32,60.16847172,,
"[0.34375,-0.023148148148148147,-0.04513888888888889,-0.26851851851851855,-0.33217592592592593]","[-0.3368055555555556,-0.03587962962962963,-0.23958333333333334,-0.3449074074074074,0.2986111111111111]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.2149999999999999,1.7149999999999999,2.0820000000000007,2.649000000000001,3.230999999999998]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,collehil,2021-09-10_10h51.39.052,corsi-backward,2021.1.2,Win32,60.16847172,,
"[-0.26157407407407407,0.30324074074074076,-0.24305555555555555,0.037037037037037035,0.013888888888888888]","[-0.27546296296296297,0.33101851851851855,0.30671296296296297,-0.32407407407407407,-0.03009259259259259]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.465999999999994,2.3659999999999997,2.932000000000002,3.5649999999999977,3.9980000000000047]","[""blk5"",""blk3"",""blk4"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,collehil,2021-09-10_10h51.39.052,corsi-backward,2021.1.2,Win32,60.16847172,,
"[-0.3125,-0.3715277777777778,-0.2650462962962963,0.29976851851851855,0.3599537037037037]","[0.32175925925925924,-0.0023148148148148147,-0.3159722222222222,-0.2534722222222222,0.04861111111111111]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4170000000000016,0.8329999999999984,1.2989999999999924,1.914999999999992,2.347999999999999]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,collehil,2021-09-10_10h51.39.052,corsi-backward,2021.1.2,Win32,60.16847172,,
"[-0.03009259259259259,-0.27199074074074076,0.05439814814814815,-0.30092592592592593,0.32523148148148145]","[-0.010416666666666666,-0.028935185185185185,-0.28703703703703703,0.33217592592592593,0.023148148148148147]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.38299999999999557,0.7660000000000053,1.365000000000009,1.948999999999998,2.4980000000000047]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,collehil,2021-09-10_10h51.39.052,corsi-backward,2021.1.2,Win32,60.16847172,,
,,,,,,,,,,,,,,,collehil,2021-09-10_10h51.39.052,corsi-backward,2021.1.2,Win32,60.16847172,space,3.703
