mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,respSequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,sequence,blockDuration,participant,date,expName,psychopyVersion,OS,frameRate
"[-0.24013157894736842,0.29989035087719296,0.03179824561403509,0.006578947368421052,-0.04111842105263158]","[-0.35855263157894735,-0.3267543859649123,0.2982456140350877,0.05043859649122807,-0.34539473684210525]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.9677999999523159,1.7345999999046349,2.4020999999046353,2.8857000000476845,3.4860000000000007]","[""blk5"",""blk4"",""blk2"",""blk3"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",0,0,0,0,1,,0.5,chloeej,2021-09-10_13h58.19.857,corsi-backward,2021.1.2,Win32,59.95922773
"[0.25,0.25548245614035087,-0.2817982456140351,-0.2538377192982456,-0.03892543859649123,-0.3574561403508772]","[0.29331140350877194,0.01918859649122807,0.2149122807017544,0.2543859649122807,0.23739035087719298,-0.3300438596491228]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.349299999952315,0.8167000000476854,1.3174000000953683,1.8009999999999984,2.1845,3.085000000000001]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",1,0,1,0,1,,0.5,chloeej,2021-09-10_13h58.19.857,corsi-backward,2021.1.2,Win32,59.95922773
"[-0.26096491228070173,-0.2779605263157895,-0.2850877192982456,0.2883771929824561,0.01206140350877193,0.03179824561403509]","[0.3125,0.01864035087719298,-0.042214912280701754,0.2905701754385965,-0.03618421052631579,0.31469298245614036]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.2667000000476918,0.7662000000476894,1.2169000000953787,1.8677000000476909,2.434799999952318,3.018500000000003]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",2,0,2,0,1,,0.5,chloeej,2021-09-10_13h58.19.857,corsi-backward,2021.1.2,Win32,59.95922773
"[-0.3201754385964912,-0.2708333333333333,-0.01644736842105263,0.3536184210526316,0.10032894736842106,0.044407894736842105]","[-0.28673245614035087,0.33497807017543857,0.3333333333333333,-0.2807017543859649,0.015350877192982455,0.03618421052631579]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.38349999999999795,1.2337999999523106,1.850999999999999,2.55149999999999,2.984299999952313,3.484700000047681]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",3,0,3,0,1,,0.5,chloeej,2021-09-10_13h58.19.857,corsi-backward,2021.1.2,Win32,59.95922773
"[-0.3508771929824561,0.2741228070175439,0.33278508771929827,-0.0356359649122807,-0.2324561403508772,-0.27850877192982454]","[-0.010964912280701754,-0.3470394736842105,0.004934210526315789,-0.07346491228070176,-0.3020833333333333,-0.25219298245614036]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.1998000001907343,0.7166000001430604,1.0504999999999995,1.3507000000476808,1.7009000000953733,2.2677000000476824]","[""blk5"",""blk4"",""blk3"",""blk2"",""blk1""]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]",4,0,4,0,1,,0.5,chloeej,2021-09-10_13h58.19.857,corsi-backward,2021.1.2,Win32,59.95922773
