instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,end.started
0.0003,33.5635,,0.490358211,0.12258949,1,0,0,33.5606,805330,001,2024-01-17_20h17.58.654,corsi_blocks,2023.2.2,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,805330,001,2024-01-17_20h17.58.654,corsi_blocks,2023.2.2,Win32,59.17159763,33.5832,"[[0.25625,0.0975],[-0.01875,0.235],[0.1925,-0.295],[0.4125,-0.1325],[0.54,0.03625],[0.6375,0.27375],[0.365,-0.27625],[0.19375,-0.17125],[-0.285,-0.27125]]",34.0805,34.0826,34.5793,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,805330,001,2024-01-17_20h17.58.654,corsi_blocks,2023.2.2,Win32,59.17159763,,,,34.5801,35.0787,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,805330,001,2024-01-17_20h17.58.654,corsi_blocks,2023.2.2,Win32,59.17159763,,,,35.0792,35.5788,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,805330,001,2024-01-17_20h17.58.654,corsi_blocks,2023.2.2,Win32,59.17159763,,,,,,,,,,,35.5796,41.6605,"[0.1949452534713017,0.38016967126193,0.42046659597030756,0.48621420996818665,0.49116304140707845]","[-0.2073170731707317,-0.2773064687168611,-0.1443973351131694,-0.426475808071812,-0.40102511878231045]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.9313999999761577,2.796899999976162,3.413399999976157,5.113600000023844,6.063700000047689]","[""blk8"",""blk7"",""blk4""]","[0,0,0]",0,41.6614,42.6623,0,0,0,0,1,
,,,,,,,,,805330,001,2024-01-17_20h17.58.654,corsi_blocks,2023.2.2,Win32,59.17159763,42.6632,"[[-0.485,0.34625],[0.62875,-0.1825],[-0.45875,-0.3],[-0.09875,0.065],[-0.675,0.29875],[-0.01125,-0.295],[-0.16125,-0.28],[0.28875,0.39875],[0.57875,-0.31375]]",43.1616,43.1628,43.6617,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,805330,001,2024-01-17_20h17.58.654,corsi_blocks,2023.2.2,Win32,59.17159763,,,,43.6621,44.1615,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,805330,001,2024-01-17_20h17.58.654,corsi_blocks,2023.2.2,Win32,59.17159763,,,,44.162,44.6618,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,805330,001,2024-01-17_20h17.58.654,corsi_blocks,2023.2.2,Win32,59.17159763,,,,,,,,,,,44.662,50.0121,"[-0.45546129374337224,0.646694988359955,-0.41092258748674443,0.44167550371155884]","[0.34411452810180276,-0.2256981696961161,-0.2900318133616119,-0.39042066491168476]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.8482999999523173,2.86489999997616,3.7816999999284775,5.348199999928475]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,50.0133,51.0113,1,0,1,0,1,
,,,,,,,,,805330,001,2024-01-17_20h17.58.654,corsi_blocks,2023.2.2,Win32,59.17159763,51.0118,"[[-0.26625,0.235],[-0.12125,-0.12625],[0.6375,0.27375],[0.57875,-0.31375],[0.16625,0.3825],[-0.55125,-0.13375],[0.0675,0.07375],[0.45375,0.175],[0.4625,0.35875]]",51.5112,51.5123,52.0113,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,805330,001,2024-01-17_20h17.58.654,corsi_blocks,2023.2.2,Win32,59.17159763,,,,52.0117,52.5112,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,805330,001,2024-01-17_20h17.58.654,corsi_blocks,2023.2.2,Win32,59.17159763,,,,52.5116,53.011,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,805330,001,2024-01-17_20h17.58.654,corsi_blocks,2023.2.2,Win32,59.17159763,,,,53.0115,53.5113,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
