instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order
0.001,4.11,,0.035185185,-0.12962963,1,0,0,4.103,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,4.119,"[[-0.01875,0.235],[0.62875,-0.1825],[-0.45875,-0.3],[-0.12125,-0.12625],[0.30125,-0.0175],[0.19375,-0.17125],[-0.35125,0.36625],[-0.55125,-0.13375],[-0.4075,0.11875]]",4.609,4.611,5.109,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,5.109,5.609,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,5.61,6.109,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,,,,,,,,6.109,9.977,"[-0.006481481481481481,0.6148148148148148,-0.4675925925925926,0.45185185185185184]","[0.2064814814814815,-0.17407407407407408,-0.325,-0.4064814814814815]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.7639999999999993,1.83,2.696999999999999,3.863999999999999]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,9.977,10.976,0,0,0,0,1,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,10.976,"[[-0.09875,0.065],[-0.18625,0.41125],[-0.45875,-0.3],[-0.35125,0.36625],[0.25625,0.0975],[0.03125,-0.41],[0.54,0.03625],[-0.675,0.29875],[-0.01875,0.235]]",11.475,11.476,11.976,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,11.976,12.475,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,12.475,12.976,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,12.976,13.475,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,,,,,,,,13.475,17.742,"[-0.09444444444444444,-0.17592592592592593,-0.4861111111111111,-0.37962962962962965,0.5259259259259259]","[0.05185185185185185,0.40185185185185185,-0.32407407407407407,0.3537037037037037,-0.4166666666666667]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4650000000000034,1.1990000000000052,1.9650000000000034,2.7650000000000006,4.265000000000001]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,17.742,18.742,1,0,1,0,1,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,18.743,"[[0.0675,0.07375],[0.4125,-0.1325],[-0.285,-0.27125],[-0.24625,0.04375],[-0.26625,0.235],[0.6375,0.27375],[0.16625,0.3825],[0.45375,0.175],[0.30125,-0.0175]]",19.241,19.242,19.742,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,19.742,20.242,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,20.242,20.743,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,20.743,21.242,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,21.242,21.743,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,,,,,,,,21.743,26.71,"[0.04351851851851852,0.3962962962962963,-0.30833333333333335,-0.24444444444444444,-0.2564814814814815,0.4546296296296296]","[0.041666666666666664,-0.11203703703703703,-0.2972222222222222,0.012037037037037037,0.26296296296296295,-0.3972222222222222]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.5649999999999977,1.3320000000000007,2.097999999999999,2.7650000000000006,3.597999999999999,4.964999999999996]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[1,1,1,1,1]",1,26.71,27.709,2,0,2,0,1,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,27.709,"[[-0.09875,0.065],[0.54,0.03625],[-0.285,-0.27125],[0.57875,-0.31375],[0.25625,0.0975],[0.28875,0.39875],[-0.16125,-0.28],[-0.485,0.34625],[-0.55125,-0.13375]]",28.208,28.209,28.709,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,28.709,29.209,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,29.21,29.709,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,29.709,30.208,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,30.208,30.709,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,642350,001,2023-12-21_11h19.56.812,corsi_blocks,2023.2.2,MacIntel,30.3030303,,,,30.71,31.209,5,0,5,0,1,,,,,,,,,,,,,,,,,,,
