instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order,block_sequence.order
0.0001,7.0612,space,7.046,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,7.0651,"[[-0.6025,0.0725],[-0.16125,-0.28],[-0.12125,-0.12625],[0.54,0.03625],[0.30125,-0.0175],[-0.24625,0.04375],[-0.68625,-0.225],[0.05875,-0.0575],[0.6375,0.27375]]",7.5634,7.5648,8.0529,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,,,,8.0533,8.554,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,,,,8.5542,9.0559,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,,,,,,,,,,,9.0563,14.8543,"[-0.6074074074074074,-0.15555555555555556,-0.08796296296296297,0.5333333333333333]","[0.05740740740740741,-0.31851851851851853,-0.14444444444444443,-0.42592592592592593]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[3.1208000001907354,4.157700000047685,4.709100000143051,5.796200000047683]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,14.8549,15.8464,0,0,0,0,1,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,15.8467,"[[-0.68625,-0.225],[-0.09875,0.065],[0.19375,-0.17125],[0.365,-0.27625],[0.22,0.2425],[-0.45875,-0.3],[-0.16125,-0.28],[0.03125,-0.41],[-0.675,0.29875]]",16.3415,16.3427,16.832,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,,,,16.8322,17.3284,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,,,,17.3294,17.8353,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,,,,17.8355,18.3317,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,,,,,,,,,,,18.3319,21.0582,"[-0.6981481481481482,-0.10740740740740741,0.18796296296296297,0.38333333333333336,0.5018518518518519]","[-0.22685185185185186,0.05277777777777778,-0.15462962962962962,-0.28888888888888886,-0.37962962962962965]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.48359999990463365,1.1704000000953627,1.7549000000953683,2.1895999999046296,2.7247999999523174]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,21.0585,22.061,1,0,1,0,1,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,22.0619,"[[0.22,0.2425],[-0.09875,0.065],[0.57875,-0.31375],[-0.12125,-0.12625],[-0.35125,0.36625],[0.30125,-0.0175],[0.16625,0.3825],[-0.68625,-0.225],[0.0675,0.07375]]",22.5625,22.5637,23.0643,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,,,,23.065,23.5659,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,,,,23.5665,24.0677,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,,,,24.0686,24.5746,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,,,,24.5748,25.0598,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,069212,001,2024-02-01_12h30.37.407,corsi_blocks,2023.2.2,Win32,59.88023952,,,,,,,,,,,25.0599,28.6005,"[0.1935185185185185,-0.0962962962962963,0.5990740740740741,-0.09166666666666666,-0.3648148148148148,0.4564814814814815]","[0.22037037037037038,0.03796296296296296,-0.3314814814814815,-0.15,0.3425925925925926,-0.3907407407407407]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.21690000009536448,0.6131000001430493,1.3656000001430542,2.0007999999523136,2.7711000001430506,3.539700000047681]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[1,1,1,1,1]",1,28.6009,29.6029,2,0,2,0,1,,
