instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,end.started
0.0002,0.5511,,-0.092592593,0.000925926,1,0,0,0.5488,733721,001,2023-10-25_11h56.23.427,corsi_blocks,2023.2.2,Win32,143.8848921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,733721,001,2023-10-25_11h56.23.427,corsi_blocks,2023.2.2,Win32,143.8848921,0.5551,"[[0.54,0.03625],[0.28875,0.39875],[-0.0225,0.395],[0.45375,0.175],[0.03125,-0.41],[0.57875,-0.31375],[0.30125,-0.0175],[-0.4075,0.11875],[-0.09875,0.065]]",1.0512,1.0519,1.5512,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,733721,001,2023-10-25_11h56.23.427,corsi_blocks,2023.2.2,Win32,143.8848921,,,,1.5515,2.051,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,733721,001,2023-10-25_11h56.23.427,corsi_blocks,2023.2.2,Win32,143.8848921,,,,2.0512,2.5509,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,733721,001,2023-10-25_11h56.23.427,corsi_blocks,2023.2.2,Win32,143.8848921,,,,,,,,,,,2.5512,4.7873,"[0.5203703703703704,0.3453703703703704,0.2611111111111111,-0.03425925925925926,0.4462962962962963,0.4537037037037037]","[0.006481481481481481,0.3712962962962963,0.40370370370370373,0.4027777777777778,-0.37222222222222223,-0.39166666666666666]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.24249999999999972,0.5614999999999997,0.8810000000000002,1.16570000001788,1.7489999999999988,2.2351000000238415]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,4.7876,5.787,0,0,0,0,1,
,,,,,,,,,733721,001,2023-10-25_11h56.23.427,corsi_blocks,2023.2.2,Win32,143.8848921,5.7873,"[[-0.0225,0.395],[-0.285,-0.27125],[0.19375,-0.17125],[-0.16125,-0.28],[-0.01125,-0.295],[-0.12125,-0.12625],[0.05875,-0.0575],[-0.45875,-0.3],[0.4125,-0.1325]]",6.2871,6.2875,6.7869,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,733721,001,2023-10-25_11h56.23.427,corsi_blocks,2023.2.2,Win32,143.8848921,,,,6.7872,7.2869,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,733721,001,2023-10-25_11h56.23.427,corsi_blocks,2023.2.2,Win32,143.8848921,,,,7.2872,7.787,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,733721,001,2023-10-25_11h56.23.427,corsi_blocks,2023.2.2,Win32,143.8848921,,,,7.7871,8.287,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,733721,001,2023-10-25_11h56.23.427,corsi_blocks,2023.2.2,Win32,143.8848921,,,,,,,,,,,8.287,10.3426,"[0.013888888888888888,-0.287962962962963,0.1648148148148148,-0.14074074074074075,0.4842592592592593]","[0.3527777777777778,-0.26851851851851855,-0.17222222222222222,-0.25555555555555554,-0.3824074074074074]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5483000000119205,1.02030000001192,1.3745999999940395,1.6939000000059607,2.05509999999404]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,10.3427,11.3423,1,0,1,0,1,
