instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order
0.0001,11.6523,,-0.072008728,-0.24601687,1,0,0,11.651,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,11.6571,"[[0.05875,-0.0575],[0.45375,0.175],[-0.16125,-0.28],[0.03125,-0.41],[0.365,-0.27625],[-0.285,-0.27125],[-0.24625,0.04375],[-0.26625,0.235],[-0.485,0.34625]]",12.1558,12.157,12.654,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,12.6544,13.1539,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,13.154,13.6541,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,,,,,,,,13.6543,23.3543,"[0.07981882569045806,0.42845993256501874,-0.1682286785379569,0.5165574021057873]","[-0.04732895970009372,0.17010309278350516,-0.276632321473026,-0.3953452427586106]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[5.646900000002233,6.888300000000747,7.695,9.698900000002233]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,23.3546,24.3545,0,0,0,0,1,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,24.3548,"[[0.45375,0.175],[-0.675,0.29875],[-0.285,-0.27125],[0.19375,-0.17125],[-0.12125,-0.12625],[0.30125,-0.0175],[0.05875,-0.0575],[-0.01875,0.235],[0.6375,0.27375]]",24.8556,24.8562,25.354,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,25.3543,25.8541,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,25.8544,26.354,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,26.3542,26.8515,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,,,,,,,,26.8516,32.9499,"[0.4497032558795103,-0.6636988345774514,-0.2788191190253046,0.20103092783505155,0.5021868547548618,0.5378007254202788]","[0.18072475444075095,0.29756326148078727,-0.2797563261480787,-0.16729147141518275,-0.43345829428303656,-0.39659483318811506]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.2783000000007405,2.11060000000149,2.7768000000007405,3.4103000000007455,4.870800000000742,6.09769999999925]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,32.9503,33.9495,1,0,1,0,1,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,33.9498,"[[-0.35125,0.36625],[0.57875,-0.31375],[-0.3575,-0.05625],[0.30125,-0.0175],[0.4125,-0.1325],[-0.18625,0.41125],[-0.16125,-0.28],[-0.4075,0.11875],[-0.09875,0.065]]",34.449,34.4494,34.9491,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,34.9493,35.4497,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,35.4499,35.9496,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,35.9498,36.4478,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,36.448,36.9453,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,,,,,,,,36.9454,42.285,"[-0.3294283036551078,-0.36254293625893275,0.30662300660438147,0.39472047614514993,0.5840363149455249,0.5303030684380857]","[0.34817244611059045,-0.027335226815106608,-0.027335226815106608,-0.10418621088258552,-0.3016245304811973,-0.3865979381443299]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[2.029899999998513,3.388600000001489,4.046699999999255,4.3278000000007495,4.71180000000075,5.339100000001494]","[""blk1"",""blk3"",""blk4"",""blk5"",""blk2""]","[1,0,0,0,0]",0,42.2852,43.2843,2,0,2,0,1,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,43.2845,"[[0.365,-0.27625],[0.62875,-0.1825],[-0.01125,-0.295],[-0.24625,0.04375],[0.03125,-0.41],[-0.0225,0.395],[0.4125,-0.1325],[-0.485,0.34625],[-0.6025,0.0725]]",43.7847,43.7852,44.2873,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,44.2875,44.785,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,44.7853,45.2825,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,45.2826,45.7828,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,45.783,46.2823,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,,,,,,,,46.2824,51.1995,"[0.3784755145486762,0.6452671040299907,-0.2557013242626816,0.03858171228839621,0.009840674789128397,0.5253045923149016]","[-0.2453921031147493,-0.18041237113402062,0.08200562324273665,-0.39097159045147023,-0.29787570199010077,-0.3872227619603737]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[2.2040000000000006,2.6833000000007416,3.285100000001492,4.1166999999992555,4.341600000001492,4.916499999999999]","[""blk1"",""blk2"",""blk4"",""blk5"",""blk3""]","[1,1,0,0,0]",0,51.1998,52.1971,3,0,3,0,1,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,52.1974,"[[0.1925,-0.295],[0.45375,0.175],[-0.68625,-0.225],[0.19375,-0.17125],[0.4625,0.35875],[-0.09875,0.065],[0.30125,-0.0175],[0.03125,-0.41],[-0.01125,-0.295]]",52.6967,52.6978,53.1949,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,53.1951,53.6926,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,53.6928,54.1926,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,54.1928,54.6932,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,648346,001,2024-02-15_18h28.41.606,corsi_blocks,2023.2.2,Win32,238.0952381,,,,54.6935,55.1908,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
